monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,state,region,publishedDatetime,ads_id,latitude,longitude,address
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1100 sq.ft.,Fully Furnished,"Security, Jogging Track, Parking, Swimming Pool, Multipurpose hall, Gymnasium, Barbeque area, Lift",,Penang,Simpang Ampat,2025-01-13 16:51,109715767,,,"Jalan Eco Meadows Off Jalan Paboi, Simpang Ampat, Penang"
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1465 sq.ft.,Fully Furnished,"Swimming Pool, Lift, Barbeque area, Security, Playground, Parking, Gymnasium",,Penang,Bayan Baru,2025-01-13 16:50,109777873,,,"Lengkok Mayang Pasir 1, Bandar Bayan Baru, Bayan Baru, Penang"
"RM 2,300 per month","Apartment / Condominium, For rent",Apartment,3,2,1045 sq.ft.,Fully Furnished,"Security, Gymnasium, Sauna, Multipurpose hall, Tennis Court, Lift, Parking, Jogging Track, Barbeque area, Club house, Swimming Pool, Playground","Cooking Allowed, Washing Machine, Air-Cond",Johor,Iskandar Puteri,2025-01-13 16:50,109777525,1.4700772999999998,103.6468534,"Lingkungan Indah Utama, Taman Bukit Indah 2, Iskandar Puteri, Johor"
"RM 1,100 per month","Apartment / Condominium, For rent",Condominium,3,2,850 sq.ft.,Partially Furnished,Barbeque area,,Selangor,Puchong,2025-01-13 16:50,109777553,3.0357909021948606,101.62606309764239,"Jalan Wawasan 4/2, Pusat Bandar Puchong, Puchong, Selangor"
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1130 sq.ft.,Fully Furnished,"Multipurpose hall, Swimming Pool, Parking, Security, Playground, Gymnasium, Barbeque area, Lift","Air-Cond, Cooking Allowed, Washing Machine",Penang,Bayan Lepas,2025-01-13 16:50,109777592,,,"Jalan Sungai Tiram 6, Taman Tunas Damai, Bayan Lepas, Penang"
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1100 sq.ft.,Partially Furnished,"Multipurpose hall, Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Jogging Track",,Kuala Lumpur,Cheras,2025-01-13 16:50,109777543,3.0988424,101.7171335,"Jalan Permaisuri 1, Cheras, Kuala Lumpur"
RM 899 per month,"Apartment / Condominium, For rent",Condominium,3,2,860 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Gymnasium","Cooking Allowed, Near KTM/LRT",Selangor,Bangi,2025-01-13 16:50,109777528,,,
"RM 2,300 per month","Apartment / Condominium, For rent",Condominium,2,2,650 sq.ft.,Fully Furnished,"Parking, Security, Barbeque area, Playground, Swimming Pool, Jogging Track, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Old Klang Road,2025-01-13 16:49,109777858,3.0823276,101.66184214694951,"Old Klang Road, Taman Sri Sentosa, Old Klang Road, Kuala Lumpur"
"RM 2,300 per month","Apartment / Condominium, For rent",Condominium,3,2,850 sq.ft.,Fully Furnished,"Playground, Parking",,Penang,Gelugor,2025-01-13 16:49,109777850,,,"Persiaran Bayan Mutiara 3, Gelugor, Penang"
RM 700 per month,"Apartment / Condominium, For rent",Apartment,3,2,678 sq.ft.,Not Furnished,"Parking, Playground",,Selangor,Bandar Puteri Puchong,2025-01-13 16:48,109777843,3.008000071066707,101.62547071246804,"Jalan Laman Puteri 3, Bandar Puteri, Bandar Puteri Puchong, Selangor"
"RM 1,400 per month","Apartment / Condominium, For rent",Service Residence,1,1,650 sq.ft.,Fully Furnished,"Playground, Parking, Lift, Barbeque area, Security, Gymnasium, Sauna, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Penang,Perai,2025-01-13 16:48,109361240,,,"Jalan Laguna 1, Off Jalan Baru, Kampung Jawa, Perai, Penang"
"RM 4,800 per month","Apartment / Condominium, For rent",Service Residence,2,2,980 sq.ft.,Fully Furnished,"Gymnasium, Parking, Lift, Security, Playground, Minimart, Swimming Pool, Jogging Track",Air-Cond,Penang,Jelutong,2025-01-13 16:48,109777829,5.4016431359530594,100.32459566000567,"Lebuh Sungai Pinang 6, Jelutong, Penang"
