monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 2,300 per month","Apartment / Condominium, For rent",Condominium,3,2,1216 sq.ft.,Not Furnished,"Security, Minimart, Tennis Court, Parking, Swimming Pool, Playground, Gymnasium, Lift",Air-Cond,"Jalan Pantai Murni 8, Bukit Kerinchi, Bangsar South, Kuala Lumpur",Kuala Lumpur,Bangsar South,2025-02-10 19:25,2025-02-11,110080445,,
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,3,2,872 sq.ft.,Fully Furnished,"Barbeque area, Sauna, Multipurpose hall, Parking, Security, Gymnasium, Minimart, Playground, Jogging Track, Club house, Swimming Pool",,"Off Jalan Klang Banting, Bandar Bestari, Klang, Selangor",Selangor,Klang,2025-02-10 19:25,2025-02-11,110080443,,
"RM 3,900 per month","Apartment / Condominium, For rent",Condominium,3,3,2185 sq.ft.,Fully Furnished,"Security, Sauna, Swimming Pool, Squash Court, Parking, Playground, Gymnasium, Multipurpose hall",,"Off Jalan Pantai Sinaran, Gelugor, Penang",Penang,Gelugor,2025-02-10 19:24,2025-02-11,110080558,,
"RM 1,400 per month","House, For rent",1-storey Terraced House,4,2,1500 sq.ft.,Not Furnished,,,,Selangor,Klang,2025-02-10 19:24,2025-02-11,109847830,,
"RM 1,400 per month","Apartment / Condominium, For rent",Service Residence,1,1,545 sq.ft.,Fully Furnished,"Parking, Security, Playground, Swimming Pool, Lift, Gymnasium, Sauna, Barbeque area, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Persiaran Bangi, Bandar Baru Bangi, Bangi, Selangor",Selangor,Bangi,2025-02-10 19:23,2025-02-11,109887863,2.9655370000000003,101.7815432
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,2,2,800 sq.ft.,Fully Furnished,"Jogging Track, Barbeque area, Parking, Swimming Pool, Playground, Lift, Security, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan 4/108a, Salak Selatan, Sungai Besi, Kuala Lumpur",Kuala Lumpur,Sungai Besi,2025-02-10 19:23,2025-02-11,110080536,3.0772047,101.6993551
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,1023 sq.ft.,Partially Furnished,,,"Persiaran Kemuning Prima, Shah Alam, Selangor",Selangor,Shah Alam,2025-02-10 19:23,2025-02-11,109719170,3.0198361,101.5390282
"RM 1,400 per month","House, For rent",1-storey Terraced House,3,2,1400 sq.ft.,Fully Furnished,"Parking, Playground, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",,Selangor,Pulau Indah (Pulau Lumut),2025-02-10 19:22,2025-02-11,110080505,,
"RM 1,700 per month","House, For rent",2-storey Terraced House,4,3,1540 sq.ft.,Not Furnished,"Security, Parking",,,Selangor,Rawang,2025-02-10 19:21,2025-02-11,110080478,,
"RM 2,400 per month","Apartment / Condominium, For rent",Service Residence,4,2,1351 sq.ft.,Partially Furnished,"Minimart, Jogging Track, Gymnasium, Parking, Security, Playground",Cooking Allowed,"Off Persiaran Dato Menteri, Vista Alam, Seksyen 14, Shah Alam, Selangor",Selangor,Shah Alam,2025-02-10 19:21,2025-02-11,109952508,,
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,1,1,466 sq.ft.,Fully Furnished,"Security, Swimming Pool, Gymnasium, Multipurpose hall, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan Plumbum 7/102, Shah Alam, Selangor",Selangor,Shah Alam,2025-02-10 19:21,2025-02-11,109848690,3.0647791269756985,101.48606686973181
"RM 2,300 per month","House, For rent",2-storey Terraced House,4,3,2000 sq.ft.,Partially Furnished,Parking,Cooking Allowed,,Penang,Bayan Lepas,2025-02-10 19:18,2025-02-11,109760017,,
"RM 1,950 per month","Apartment / Condominium, For rent",Condominium,3,2,1400 sq.ft.,Fully Furnished,"Lift, Parking, Swimming Pool, Gymnasium, Security, Sauna","Air-Cond, Cooking Allowed, Washing Machine, Internet, Near KTM/LRT","Lorong 2C, Off Jalan Abdul Samad, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-10 19:18,2025-02-11,109145772,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,911 sq.ft.,Partially Furnished,"Minimart, Tennis Court, Squash Court, Sauna, Security, Barbeque area, Parking, Playground, Swimming Pool, Gymnasium",,"No.2, Jalan Mata Air 2, Taman Ayer Panas, Setapak, Kuala Lumpur",Kuala Lumpur,Setapak,2025-02-10 19:14,2025-02-11,109192682,,
"RM 2,500 per month","Apartment / Condominium, For rent",Service Residence,1,1,500 sq.ft.,Partially Furnished,"Security, Tennis Court, Multipurpose hall, Parking, Playground, Barbeque area, Minimart, Swimming Pool, Gymnasium, Lift, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Kepong, Kepong, Kuala Lumpur",Kuala Lumpur,Kepong,2025-02-10 19:14,2025-02-11,108753010,3.2106390365137436,101.64930164214557
"RM 2,800 per month","Apartment / Condominium, For rent",Condominium,3,3,1200 sq.ft.,Fully Furnished,"Security, Lift, Playground, Swimming Pool, Barbeque area, Multipurpose hall, Parking, Gymnasium",,"Persiaran Danga Perdana, Country Garden Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-10 19:12,2025-02-11,110034473,1.4676996579290054,103.7249724411857
"RM 1,700 per month","Apartment / Condominium, For rent",Condominium,1,1,500 sq.ft.,Fully Furnished,"Barbeque area, Multipurpose hall, Parking, Security, Lift, Playground, Gymnasium, Swimming Pool",,"Off Lebuh Skudai, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-10 19:12,2025-02-11,110009117,,
RM 850 per month,"Apartment / Condominium, For rent",Apartment,3,2,750 sq.ft.,Partially Furnished,"Security, Playground, Parking",Cooking Allowed,"Jalan SP 4/2, Bandar Saujana Putra, Bandar Saujana Putra, Selangor",Selangor,Bandar Saujana Putra,2025-02-10 19:12,2025-02-11,108498385,2.954035961995176,101.5834997315083
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,3,2,1350 sq.ft.,Fully Furnished,"Gymnasium, Lift, Sauna, Multipurpose hall, Security, Swimming Pool, Jogging Track, Parking, Barbeque area, Playground","Air-Cond, Cooking Allowed, Washing Machine","Changkat Sungai Ara 6, Setia Greens, Sungai Ara, Penang",Penang,Sungai Ara,2025-02-10 19:11,2025-02-11,110004495,,
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,3,2,888 sq.ft.,Fully Furnished,"Gymnasium, Barbeque area, Playground, Swimming Pool, Lift, Parking, Security","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT","Jalan BBLS 1, Southville City, Bangi, Selangor",Selangor,Bangi,2025-02-10 19:10,2025-02-11,110080438,,
"RM 3,500 per month","House, For rent",Bungalow House,6,5,3950 sq.ft.,Fully Furnished,,,,Selangor,Semenyih,2025-02-10 19:10,2025-02-11,109155917,,
"RM 2,500 per month","House, For rent",Cluster House,4,3,1540 sq.ft.,Partially Furnished,"Playground, Parking",Cooking Allowed,,Johor,Skudai,2025-02-10 19:10,2025-02-11,110080311,,
"RM 1,800 per month","House, For rent",2-storey Terraced House,4,4,1560 sq.ft.,Fully Furnished,,,,Melaka,Ujong Pasir,2025-02-10 19:10,2025-02-11,110080303,,
"RM 2,200 per month","House, For rent",3-storey Terraced House,5,4,2400 sq.ft.,Partially Furnished,,"Air-Cond, Washing Machine",,Penang,Sungai Nibong,2025-02-10 19:10,2025-02-11,110080288,,
"RM 2,200 per month","Apartment / Condominium, For rent",Service Residence,2,2,879 sq.ft.,Fully Furnished,"Swimming Pool, Tennis Court, Jogging Track, Barbeque area, Sauna, Security, Parking, Minimart, Playground, Gymnasium, Multipurpose hall, Lift","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Singgahsana, Off Persiaran Gerbang Utama, Bukit Jelutong, Selangor",Selangor,Bukit Jelutong,2025-02-10 19:10,2025-02-11,110080322,,
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,2,2,950 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Barbeque area, Jogging Track, Club house, Playground, Gymnasium, Security, Sauna",,"Jalan Timah, Off Kampung Jawa Baru, Georgetown, Penang",Penang,Georgetown,2025-02-10 19:10,2025-02-11,110080309,,
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,3,1600 sq.ft.,Fully Furnished,"Security, Swimming Pool, Parking, Gymnasium, Lift",,"No.1, Lengkok Merbah 3, Taman Sri Bayan, Sungai Ara, Penang",Penang,Bayan Lepas,2025-02-10 19:10,2025-02-11,110080308,,
RM 999 per month,"Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Not Furnished,"Parking, Lift, Security, Playground, Minimart",,"Jalan PJU 8/9, Bandar Damansara Perdana, Damansara Perdana, Selangor",Selangor,Damansara Perdana,2025-02-10 19:10,2025-02-11,108140005,,
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1105 sq.ft.,Partially Furnished,"Sauna, Multipurpose hall, Gymnasium, Squash Court, Barbeque area, Swimming Pool, Lift, Parking, Security, Playground, Minimart, Jogging Track","Air-Cond, Near KTM/LRT, Cooking Allowed","Jalan Mas 3, Bukit Jalil, Kuala Lumpur",Kuala Lumpur,Bukit Jalil,2025-02-10 19:09,2025-02-11,109476875,,
RM 950 per month,"Apartment / Condominium, For rent",Service Residence,3,2,860 sq.ft.,Partially Furnished,"Lift, Parking, Gymnasium, Barbeque area, Swimming Pool, Multipurpose hall, Security, Playground, Jogging Track","Air-Cond, Cooking Allowed","Off Jalan Semenyih, Bandar Rinching Seksyen 6, Semenyih, Selangor",Selangor,Semenyih,2025-02-10 19:09,2025-02-11,109508674,,
