monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,ads_id,latitude,longitude
RM 500 per month,"Apartment / Condominium, For rent",Flat,3,2,700 sq.ft.,Not Furnished,Playground,Cooking Allowed,"Bandar Sunway Semenyih, Semenyih, Selangor",Selangor,Semenyih,2025-01-27 18:42,109169689,2.9699571,101.8418482
RM 350 per month,"Apartment / Condominium, For rent",Flat,3,1,590 sq.ft.,Partially Furnished,Parking,,,Selangor,Rawang,2025-01-27 18:42,109944390,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Partially Furnished,"Security, Playground, Jogging Track, Parking, Lift","Cooking Allowed, Air-Cond","Jalan Flora Taman Desaminium, Lestari Perdana, Seri Kembangan, Selangor",Selangor,Seri Kembangan,2025-01-27 18:40,109381856,,
RM 900 per month,"Apartment / Condominium, For rent",Condominium,3,2,960 sq.ft.,Not Furnished,"Security, Parking, Swimming Pool, Lift",Cooking Allowed,"No. 90, Jalan Karunmas 5, Taman Desa Karunmas, Seri Kembangan, Selangor",Selangor,Seri Kembangan,2025-01-27 18:40,109609120,,
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,3,2,1050 sq.ft.,Partially Furnished,"Jogging Track, Lift, Security, Parking, Playground","Cooking Allowed, Near KTM/LRT","Jalan 3/91A, Taman Shamelin Perkasa, Cheras, Kuala Lumpur",Kuala Lumpur,Cheras,2025-01-27 18:40,109777889,3.1213917,101.7381116
"RM 2,500 per month","House, For rent",2-storey Terraced House,4,3,2400 sq.ft.,Not Furnished,"Parking, Security","Air-Cond, Cooking Allowed",,Penang,Bayan Lepas,2025-01-27 18:36,109659381,,
"RM 1,498 per month","Apartment / Condominium, For rent",Condominium,2,1,1200 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan 21/13, Section 21, Petaling Jaya, Selangor",Selangor,Petaling Jaya,2025-01-27 18:35,109758444,3.1120457170070344,101.62233483808257
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,4,5,2544 sq.ft.,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Multipurpose hall, Squash Court, Jogging Track",Cooking Allowed,"Jalan Putra Prima Utama, Taman Putra Prima, Puchong, Selangor",Selangor,Puchong,2025-01-27 18:33,109807402,,
RM 850 per month,"Apartment / Condominium, For rent",Flat,3,1,700 sq.ft.,Not Furnished,Minimart,Cooking Allowed,"Jalan Hentian 1, Pusat Hentian Kajang, Kajang, Selangor",Selangor,Kajang,2025-01-27 18:33,109898987,2.9571079196137022,101.79115986114087
"RM 1,200 per month","Apartment / Condominium, For rent",Service Residence,3,2,1000 sq.ft.,Partially Furnished,"Multipurpose hall, Playground, Security, Gymnasium, Jogging Track, Barbeque area, Parking, Swimming Pool","Air-Cond, Cooking Allowed","Off Jalan Semenyih, Semenyih, Selangor",Selangor,Semenyih,2025-01-27 18:33,109678065,2.936387445047508,101.8525682681381
