monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,ads_id,latitude,longitude
"RM 2,600 per month","Apartment / Condominium, For rent",Service Residence,2,2,820 sq.ft.,Fully Furnished,"Gymnasium, Tennis Court, Multipurpose hall, Parking, Security, Playground, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine","Jalan Danga 1/1, Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-02 09:42,107072566,1.4819545,103.7203675
"RM 1,499 per month","Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Partially Furnished,"Parking, Security, Playground, Lift, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT","Persiaran Laman View, Laman View, Cyber 9, Cyberjaya, Selangor",Selangor,Cyberjaya,2025-01-02 09:42,109600030,2.903002543315359,101.64081123048611
"RM 2,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1044 sq.ft.,Fully Furnished,"Playground, Gymnasium, Security, Minimart, Jogging Track, Lift, Barbeque area, Parking, Swimming Pool, Sauna",,"Lebuh Tunku Kudin 3, Gelugor, Penang",Penang,Gelugor,2025-01-02 09:42,107845678,,
"RM 1,100 per month","Apartment / Condominium, For rent",Condominium,4,3,1285 sq.ft.,Partially Furnished,"Playground, Jogging Track, Parking, Barbeque area, Minimart, Swimming Pool, Gymnasium, Security, Lift",,"Jalan Kemacahaya 11, Taman Kemacahaya, Cheras, Selangor",Selangor,Cheras,2025-01-02 09:42,109310779,,
"RM 1,600 per month","Apartment / Condominium, For rent",Apartment,3,2,861 sq.ft.,Not Furnished,"Security, Parking, Lift, Minimart","Cooking Allowed, Near KTM/LRT","Jalan Datuk Jamil Rais, Jalan 14/20, Seksyen 14, Petaling Jaya, Selangor",Selangor,Petaling Jaya,2025-01-02 09:42,109624348,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,973 sq.ft.,Not Furnished,"Parking, Minimart, Gymnasium, Security, Swimming Pool, Playground, Lift",Near KTM/LRT,"Jalan Mas Utama Off Cheras-Kajang Highway, Taman Sri Aman, Cheras, Selangor",Selangor,Cheras,2025-01-02 09:42,109311017,,
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,3,2,1038 sq.ft.,Partially Furnished,"Parking, Security, Playground, Gymnasium, Swimming Pool, Lift","Air-Cond, Washing Machine","Jalan Zamrud Utama, Kajang 2, Kajang, Selangor",Selangor,Kajang,2025-01-02 09:42,109310926,2.9600519,101.79473955
"RM 2,200 per month","Apartment / Condominium, For rent",Service Residence,3,2,990 sq.ft.,Fully Furnished,"Parking, Playground, Lift, Security, Squash Court, Barbeque area, Multipurpose hall, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine","Off Persiaran Multimedia, Cyber 11, Cyberjaya, Selangor",Selangor,Cyberjaya,2025-01-02 09:42,109310841,,
"RM 1,000 per month","House, For rent",1-storey Terraced House,3,2,1240 sq.ft.,Partially Furnished,,,,Selangor,Klang,2025-01-02 09:41,109251294,,
"RM 3,300 per month","Apartment / Condominium, For rent",Service Residence,3,2,1054 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Tennis Court, Barbeque area, Playground, Parking, Security, Lift","Air-Cond, Cooking Allowed, Washing Machine, Internet","The Northbank, Off Kuching - Samarahan Expressway, Kuching, Sarawak",Sarawak,Kuching,2025-01-02 09:41,109396355,,
"RM 1,750 per month","Apartment / Condominium, For rent",Service Residence,3,2,935 sq.ft.,Fully Furnished,"Swimming Pool, Playground, Security, Parking, Lift, Minimart","Air-Cond, Cooking Allowed, Washing Machine, Internet, Near KTM/LRT","Jalan Kuchai Maju 13, Kuchai Lama, Kuala Lumpur",Kuala Lumpur,Kuchai Lama,2025-01-02 09:39,109558023,3.088484247433249,101.69204880428437
"RM 3,000 per month","House, For rent",Bungalow House,6,4,4000 sq.ft.,Fully Furnished,,,,Selangor,Kajang,2025-01-02 09:38,109447613,,
"RM 5,000 per month","House, For rent",Semi-Detached House,5,5,3520 sq.ft.,Fully Furnished,,"Air-Cond, Cooking Allowed",,Selangor,Kajang,2025-01-02 09:37,109349157,,
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,3,2,800 sq.ft.,Fully Furnished,"Lift, Playground, Swimming Pool, Gymnasium, Jogging Track, Parking, Security, Barbeque area, Multipurpose hall","Cooking Allowed, Air-Cond, Internet, Washing Machine","Jalan Santuari Utama, Kampung Baru Air Panas, Setapak, Kuala Lumpur",Kuala Lumpur,Setapak,2025-01-02 09:36,109394249,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,800 sq.ft.,Fully Furnished,"Gymnasium, Barbeque area, Parking, Security, Jogging Track, Multipurpose hall, Playground, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Internet","Jalan Santuari Utama, Kampung Baru Air Panas, Setapak, Kuala Lumpur",Kuala Lumpur,Setapak,2025-01-02 09:36,107429840,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,800 sq.ft.,Fully Furnished,"Gymnasium, Jogging Track, Playground, Lift, Barbeque area, Multipurpose hall, Parking, Swimming Pool, Security","Air-Cond, Cooking Allowed, Washing Machine, Internet, Near KTM/LRT","Jalan Santuari 2, Kampung Baru Air Panas, Setapak, Kuala Lumpur",Kuala Lumpur,Setapak,2025-01-02 09:36,108273012,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,800 sq.ft.,Fully Furnished,"Gymnasium, Jogging Track, Playground, Lift, Barbeque area, Multipurpose hall, Parking, Swimming Pool, Security","Air-Cond, Cooking Allowed, Washing Machine, Internet","Jalan Santuari 2, Kampung Baru Air Panas, Setapak, Kuala Lumpur",Kuala Lumpur,Setapak,2025-01-02 09:36,108272951,,
"RM 2,900 per month","Apartment / Condominium, For rent",Condominium,3,3,1400 sq.ft.,Fully Furnished,"Playground, Gymnasium, Barbeque area, Parking, Security, Lift, Multipurpose hall, Swimming Pool",,"Persiaran Danga Perdana, Country Garden Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-02 09:33,109303628,1.4676996579290054,103.7249724411857
"RM 2,000 per month","House, For rent",Semi-Detached House,4,3,1875 sq.ft.,Not Furnished,"Security, Playground, Jogging Track, Minimart","Cooking Allowed, Near KTM/LRT",,Selangor,Cheras,2025-01-02 09:31,108984821,,
RM 600 per month,"House, For rent",Terraced House,3,1,1 sq.ft.,Not Furnished,Parking,,,Johor,Bukit Gambir,2025-01-02 09:31,97865493,,
"RM 1,800 per month","Apartment / Condominium, For rent",Apartment,3,2,1043 sq.ft.,Fully Furnished,"Parking, Security",,"Lrg Ganang 1A, Taman Ganang, Penampang, Sabah",Sabah,Penampang,2025-01-02 09:30,109624120,,
"RM 2,900 per month","Apartment / Condominium, For rent",Condominium,3,2,1313 sq.ft.,Fully Furnished,"Gymnasium, Lift, Security, Swimming Pool, Parking, Minimart, Jogging Track, Barbeque area, Playground, Sauna",,"Lebuh Tunku Kudin 3, Gelugor, Penang",Penang,Gelugor,2025-01-02 09:30,108774213,,
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1258 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Changkat Kenari, Desa Ria, Sungai Ara, Penang",Penang,Sungai Ara,2025-01-02 09:30,107165003,,
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Fully Furnished,"Playground, Security, Parking",,"Persiaran Sungai Emas, Batu Ferringhi, Penang",Penang,Batu Ferringhi,2025-01-02 09:28,108389691,5.475775097177312,100.25402889547698
RM 770 per month,"Apartment / Condominium, For rent",Flat,2,1,550 sq.ft.,Partially Furnished,,"Cooking Allowed, Air-Cond, Near KTM/LRT",,Kuala Lumpur,Cheras,2025-01-02 09:27,109624223,,
RM 850 per month,"Apartment / Condominium, For rent",Service Residence,3,2,900 sq.ft.,Fully Furnished,"Swimming Pool, Barbeque area, Parking, Gymnasium, Security, Lift, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan Atmosphere Utama 2, Off Jalan Putra Permai, Seri Kembangan, Selangor",Selangor,Seri Kembangan,2025-01-02 09:24,109527627,,
"RM 1,250 per month","Apartment / Condominium, For rent",Condominium,3,2,850 sq.ft.,Partially Furnished,"Minimart, Playground, Tennis Court, Jogging Track, Security, Swimming Pool, Gymnasium, Parking, Barbeque area",,"Persiaran Bukit Jaya, Taman Bukit Jaya, Ampang, Selangor",Selangor,Ampang,2025-01-02 09:24,108609602,3.182836580969797,101.771951677353
RM 750 per month,"Apartment / Condominium, For rent",Flat,3,2,680 sq.ft.,Not Furnished,Parking,"Cooking Allowed, Near KTM/LRT","Persiaran Lestari Puchong, Taman Lestari Putra, Seri Kembangan, Selangor",Selangor,Seri Kembangan,2025-01-02 09:24,109522207,,
RM 840 per month,"Apartment / Condominium, For rent",Condominium,3,2,950 sq.ft.,Fully Furnished,"Playground, Parking, Jogging Track, Minimart, Swimming Pool, Security, Lift, Gymnasium, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan 3/93A, Batu 2 ½, Jalan Cheras, Cheras, Kuala Lumpur",Kuala Lumpur,Cheras,2025-01-02 09:24,107861335,,
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,3,3,1180 sq.ft.,Fully Furnished,"Minimart, Parking, Playground, Security, Gymnasium, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine, Internet","Persiaran Institut, Section 7, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-02 09:22,107372736,3.07385015,101.50117645
"RM 2,100 per month","Apartment / Condominium, For rent",Service Residence,3,2,1200 sq.ft.,Fully Furnished,"Security, Gymnasium, Parking, Playground, Swimming Pool, Lift","Air-Cond, Washing Machine, Cooking Allowed","Jalan PBS 14/2, Taman Bukit Serdang, Seri Kembangan, Selangor",Selangor,Seri Kembangan,2025-01-02 09:22,109310948,3.0439877873683443,101.69490344851917
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,3,2,987 sq.ft.,Partially Furnished,"Security, Lift, Parking, Minimart, Playground",,"Jalan Sepakat Indah 2/1, Taman Sepakat Indah 2, Kajang, Selangor",Selangor,Kajang,2025-01-02 09:22,109337345,2.9742431589853173,101.78162336618789
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,4,3,960 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Gymnasium, Security, Barbeque area, Lift",,"Jalan Atmosphere Utama 2, Off Jalan Putra Permai, Seri Kembangan, Selangor",Selangor,Seri Kembangan,2025-01-02 09:22,109311070,,
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1082 sq.ft.,Fully Furnished,"Security, Gymnasium, Jogging Track, Swimming Pool, Parking, Playground, Lift","Air-Cond, Washing Machine","Jalan Ceria, Off Persiaran Sepang, Cyberjaya, Selangor",Selangor,Cyberjaya,2025-01-02 09:21,109337295,,
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,2,2,756 sq.ft.,Fully Furnished,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Parking","Air-Cond, Cooking Allowed, Washing Machine","Jalan Multimedia, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-02 09:21,109593491,3.064566002894011,101.48383924536768
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,3,2,1162 sq.ft.,Partially Furnished,"Parking, Lift, Security","Air-Cond, Cooking Allowed","Jalan Kuning 1, Taman Pelangi, Off Jalan Kuning, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-02 09:21,109470426,,
"RM 3,800 per month","Apartment / Condominium, For rent",Condominium,4,4,2640 sq.ft.,Fully Furnished,"Parking, Security, Playground, Minimart, Swimming Pool, Gymnasium, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT","No. 30 & 32, Jalan Bukit Desa 3, Taman Bukit Desa, Taman Desa, Kuala Lumpur",Kuala Lumpur,Taman Desa,2025-01-02 09:21,107036364,,
RM 935 per month,"Apartment / Condominium, For rent",Flat,2,1,565 sq.ft.,Not Furnished,,"Air-Cond, Near KTM/LRT, Cooking Allowed","Off Jalan 3/27A, Seksyen 1, Wangsa Maju, Kuala Lumpur",Kuala Lumpur,Wangsa Maju,2025-01-02 09:20,109540889,,
"RM 3,500 per month","House, For rent",Semi-Detached House,5,4,3000 sq.ft.,Fully Furnished,,,,Selangor,Kajang,2025-01-02 09:16,109500536,,
"RM 3,000 per month","House, For rent",Semi-Detached House,5,4,3000 sq.ft.,Fully Furnished,,,,Selangor,Bangi,2025-01-02 09:16,109500551,,
RM 950 per month,"Apartment / Condominium, For rent",Apartment,3,2,800 sq.ft.,Partially Furnished,"Security, Playground, Multipurpose hall, Parking, Lift, Minimart, Jogging Track","Cooking Allowed, Washing Machine","Jalan BP 14, Bandar Bukit Puchong, Puchong, Selangor",Selangor,Puchong,2025-01-02 09:14,109624091,2.9881146,101.6303559
"RM 2,050 per month","House, For rent",Semi-Detached House,7,5,3970 sq.ft.,Not Furnished,"Parking, Playground, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",,Selangor,Kajang,2025-01-02 09:14,109624089,,
RM 750 per month,"Apartment / Condominium, For rent",Flat,3,2,650 sq.ft.,Partially Furnished,"Parking, Security, Playground",,"Jalan 9/9M, Seksyen 9, Bangi, Selangor",Selangor,Bangi,2025-01-02 09:14,109624087,2.960322648287486,101.74899321729933
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,870 sq.ft.,Not Furnished,"Parking, Security, Tennis Court, Playground, Swimming Pool, Lift",Cooking Allowed,"Jalan Pinggiran Mas 2, Puchong, Selangor",Selangor,Puchong,2025-01-02 09:13,109624075,,
"RM 1,450 per month","House, For rent",Cluster House,3,2,1011 sq.ft.,Not Furnished,"Playground, Jogging Track, Parking, Minimart",Near KTM/LRT,,Penang,Bandar Perda,2025-01-02 09:12,109624063,,
"RM 2,000 per month","House, For rent",2-storey Terraced House,4,3,1540 sq.ft.,Not Furnished,"Security, Playground",,,Selangor,Klang,2025-01-02 09:12,109624057,,
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,800 sq.ft.,Not Furnished,"Lift, Parking, Security, Playground, Minimart",,"Jalan PJU 8/9, Bandar Damansara Perdana, Damansara Perdana, Selangor",Selangor,Damansara Perdana,2025-01-02 09:12,109624055,,
RM 800 per month,"House, For rent",1-storey Terraced House,3,2,1100 sq.ft.,Partially Furnished,"Parking, Security, Playground, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Cooking Allowed, Near KTM/LRT",,Penang,Tasek Gelugor,2025-01-02 09:12,109624054,,
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,4,2,1100 sq.ft.,Fully Furnished,"Parking, Gymnasium, Squash Court, Swimming Pool, Security, Playground, Multipurpose hall, Lift","Air-Cond, Cooking Allowed, Washing Machine, Internet","Persiaran S2 G1, Seremban 2, Negeri Sembilan",Negeri Sembilan,Seremban 2,2025-01-02 09:12,109624052,2.690712845945139,101.92496424269207
"RM 1,400 per month","House, For rent",2-storey Terraced House,4,3,1600 sq.ft.,Not Furnished,,,,Selangor,Kapar,2025-01-02 09:11,109624051,,
