monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,ads_id,latitude,longitude
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,1,1,454 sq.ft.,Fully Furnished,"Playground, Security, Swimming Pool, Parking, Barbeque area, Minimart, Lift, Multipurpose hall, Gymnasium, Sauna, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT","Persiaran Bangi, Bandar Baru Bangi, Bangi, Selangor",Selangor,Bangi,2025-01-02 09:58,74350774,2.9625136,101.75867844999999
"RM 2,400 per month","Apartment / Condominium, For rent",Condominium,3,2,1100 sq.ft.,Fully Furnished,"Parking, Jogging Track, Security, Gymnasium, Club house, Minimart, Playground, Swimming Pool, Multipurpose hall, Barbeque area, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Kampung Wira Jaya, Setapak, Kuala Lumpur",Kuala Lumpur,Setapak,2025-01-02 09:56,109534475,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,810 sq.ft.,Not Furnished,"Security, Playground, Parking, Gymnasium, Lift, Swimming Pool, Minimart, Multipurpose hall, Club house",Cooking Allowed,"Jalan 1/21c, Off Jalan Gombak, Setapak, Kuala Lumpur",Kuala Lumpur,Setapak,2025-01-02 09:56,109280101,,
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,4,2,1065 sq.ft.,Partially Furnished,,,"Jalan Lestari, Kampung Padang Tembak, Keramat, Kuala Lumpur",Kuala Lumpur,Keramat,2025-01-02 09:55,109624326,,
RM 650 per month,"Apartment / Condominium, For rent",Apartment,3,2,650 sq.ft.,Not Furnished,,,"Jalan Penghulu, Bandar Mahkota Cheras, Kajang, Selangor",Selangor,Kajang,2025-01-02 09:53,108875993,3.0621473777064967,101.78713315950569
"RM 2,300 per month","House, For rent",2-storey Terraced House,5,4,2280 sq.ft.,Partially Furnished,,,,Selangor,Puchong,2025-01-02 09:51,109596265,,
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1022 sq.ft.,Fully Furnished,"Playground, Jogging Track, Barbeque area, Sauna, Minimart, Squash Court, Parking, Lift, Multipurpose hall, Club house, Security, Swimming Pool, Gymnasium, Tennis Court",,"Jalan Bukit Puchong, Bandar Bukit Puchong, Puchong, Selangor",Selangor,Puchong,2025-01-02 09:51,109596306,2.978143922936972,101.62623709373838
"RM 2,000 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Partially Furnished,"Parking, Security, Playground","Air-Cond, Cooking Allowed, Washing Machine",,Selangor,Saujana Utama,2025-01-02 09:50,109624474,,
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,2,1,656 sq.ft.,Partially Furnished,"Security, Lift, Swimming Pool, Barbeque area, Playground, Jogging Track, Parking, Minimart, Gymnasium, Multipurpose hall","Cooking Allowed, Air-Cond, Near KTM/LRT","Off Lebuhraya Utara Selatan, Southville City, Bangi, Selangor",Selangor,Bangi,2025-01-02 09:50,109624283,,
"RM 1,000 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Fully Furnished,"Parking, Playground","Air-Cond, Cooking Allowed, Washing Machine",,Perak,Ipoh,2025-01-02 09:50,109624281,,
"RM 2,500 per month","Apartment / Condominium, For rent",Service Residence,2,2,832 sq.ft.,Partially Furnished,"Multipurpose hall, Security, Swimming Pool, Sauna, Gymnasium, Playground",,"Jalan Bersatu, Damai, Kota Kinabalu, Sabah",Sabah,Kota Kinabalu,2025-01-02 09:50,108865030,5.96684616568953,116.09667462063587
RM 750 per month,"Apartment / Condominium, For rent",Apartment,3,2,750 sq.ft.,Not Furnished,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",,,Selangor,Semenyih,2025-01-02 09:50,107221608,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,2,1,600 sq.ft.,Fully Furnished,"Jogging Track, Parking",,"Lengkok Nipah 3, Taman Lip Sin,, Gelugor, Penang",Penang,Gelugor,2025-01-02 09:49,109018184,,
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,1,1,521 sq.ft.,Fully Furnished,"Barbeque area, Club house, Squash Court, Jogging Track, Lift, Minimart, Swimming Pool, Gymnasium, Playground, Sauna, Parking, Security",,"Jalan Kempas 17, Taman Megah Ria, Masai, Johor",Johor,Masai,2025-01-02 09:48,109624454,,
"RM 1,900 per month","House, For rent",Cluster House,4,3,1800 sq.ft.,Partially Furnished,,,,Johor,Gelang Patah,2025-01-02 09:48,109624453,,
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Fully Furnished,"Jogging Track, Gymnasium, Security, Playground, Barbeque area, Parking, Swimming Pool",,"Lengkok Kelicap, Bayan Lepas, Penang",Penang,Bayan Lepas,2025-01-02 09:48,109624450,5.299869445908428,100.25744319800339
"RM 1,399 per month","Apartment / Condominium, For rent",Condominium,2,1,600 sq.ft.,Fully Furnished,"Jogging Track, Multipurpose hall, Lift, Playground, Swimming Pool, Gymnasium, Security, Parking, Barbeque area, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Zamrud Utama, Kajang 2, Kajang, Selangor",Selangor,Kajang,2025-01-02 09:48,109466295,2.9600519,101.79473955
"RM 2,500 per month","House, For rent",2-storey Terraced House,4,3,1650 sq.ft.,Partially Furnished,,Air-Cond,,Selangor,Kajang,2025-01-02 09:48,109624444,,
"RM 1,000 per month","House, For rent",1-storey Terraced House,3,1,1200 sq.ft.,Partially Furnished,,,,Penang,Juru,2025-01-02 09:47,109558137,,
"RM 4,000 per month","House, For rent",Semi-Detached House,5,4,3509 sq.ft.,Partially Furnished,"Parking, Jogging Track, Minimart",,,Penang,Batu Ferringhi,2025-01-02 09:47,108871330,,
"RM 1,700 per month","Apartment / Condominium, For rent",Condominium,3,2,1320 sq.ft.,Partially Furnished,"Playground, Swimming Pool, Gymnasium, Sauna, Parking, Security, Minimart, Squash Court, Barbeque area, Lift","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Tanjung Bungah, Tanjung Bungah, Penang",Penang,Tanjung Bungah,2025-01-02 09:47,108870238,5.469054745667162,100.27674015727543
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Partially Furnished,"Playground, Jogging Track, Parking, Security, Lift, Minimart, Multipurpose hall, Barbeque area, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Persiaran Apec, Cyberjaya, Selangor",Selangor,Cyberjaya,2025-01-02 09:47,109369483,2.927282922633598,101.65700719478211
"RM 2,200 per month","House, For rent",2-storey Terraced House,4,4,1500 sq.ft.,Fully Furnished,"Parking, Minimart","Air-Cond, Cooking Allowed, Washing Machine",,Selangor,Shah Alam,2025-01-02 09:47,109371254,,
"RM 1,600 per month","House, For rent",2-storey Terraced House,4,3,1520 sq.ft.,Partially Furnished,,Air-Cond,,Selangor,Dengkil,2025-01-02 09:47,109624430,,
"RM 2,300 per month","House, For rent",2-storey Terraced House,4,3,1540 sq.ft.,Partially Furnished,"Parking, Security, Playground",Cooking Allowed,,Selangor,Shah Alam,2025-01-02 09:47,109590439,,
"RM 1,450 per month","House, For rent",Townhouse,3,2,1100 sq.ft.,Partially Furnished,,,,Sabah,Kota Kinabalu,2025-01-02 09:46,109462334,,
"RM 3,300 per month","House, For rent",2-storey Terraced House,4,4,2143 sq.ft.,Partially Furnished,"Parking, Playground, Barbeque area, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT",,Putrajaya,Putrajaya,2025-01-02 09:46,109624417,,
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,865 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Security, Lift, Barbeque area, Gymnasium, Parking",,"Jalan Kitobu Keronggu, Inanam, Sabah",Sabah,Inanam,2025-01-02 09:46,107685038,,
RM 800 per month,"Apartment / Condominium, For rent",Service Residence,4,2,80 sq.ft.,Fully Furnished,"Barbeque area, Security, Gymnasium, Parking, Swimming Pool, Lift, Playground, Minimart, Multipurpose hall, Jogging Track, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan Atmosphere Utama 2, Off Jalan Putra Permai, Seri Kembangan, Selangor",Selangor,Seri Kembangan,2025-01-02 09:45,109624266,,
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,2,1,550 sq.ft.,Fully Furnished,"Barbeque area, Tennis Court, Squash Court, Security, Swimming Pool, Gymnasium, Lift, Parking, Playground, Sauna, Multipurpose hall",,"Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-02 09:45,109624258,1.4623036,103.7303918
"RM 2,000 per month","House, For rent",3-storey Terraced House,4,3,2600 sq.ft.,Partially Furnished,"Parking, Security, Playground, Minimart, Barbeque area","Cooking Allowed, Near KTM/LRT, Air-Cond",,Selangor,Kajang,2025-01-02 09:45,109624256,,
"RM 2,100 per month","Apartment / Condominium, For rent",Apartment,3,3,1073 sq.ft.,Fully Furnished,"Minimart, Swimming Pool, Parking, Security, Playground, Gymnasium, Barbeque area, Sauna, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Ambong Kanan 2, Kepong Baru, Kepong, Kuala Lumpur",Kuala Lumpur,Kepong,2025-01-02 09:45,109624277,,
"RM 1,400 per month","Apartment / Condominium, For rent",Service Residence,2,2,550 sq.ft.,Partially Furnished,"Security, Swimming Pool, Barbeque area, Parking, Playground, Gymnasium","Air-Cond, Washing Machine","Jalan PJU 8/8A, Damansara Perdana, Selangor",Selangor,Damansara Perdana,2025-01-02 09:44,109624388,3.1663774798595226,101.61278514681526
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Partially Furnished,"Club house, Playground, Swimming Pool, Multipurpose hall, Parking, Barbeque area, Security, Gymnasium, Lift, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Kinrara 5B, Bandar Kinrara 5, Puchong, Selangor",Selangor,Puchong,2025-01-02 09:44,109624386,3.0458216,101.644088
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,856 sq.ft.,Partially Furnished,"Multipurpose hall, Sauna, Barbeque area, Parking, Gymnasium, Lift, Security, Playground, Swimming Pool",,"Thean Tek Hwy,, Ayer Itam, Penang",Penang,Ayer Itam,2025-01-02 09:44,109624378,,
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,2,2,965 sq.ft.,Fully Furnished,"Swimming Pool, Lift, Barbeque area, Playground, Multipurpose hall, Parking, Security, Gymnasium",,"Lorong Bunga Matahari 1, Taman Fantasi, Kota Kinabalu, Sabah",Sabah,Kota Kinabalu,2025-01-02 09:44,109356202,5.9766795,116.0849223
"RM 1,700 per month","Apartment / Condominium, For rent",Condominium,3,2,850 sq.ft.,Fully Furnished,"Swimming Pool, Jogging Track, Playground, Gymnasium, Squash Court, Barbeque area, Parking, Minimart, Tennis Court, Security, Sauna, Lift","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Bayan Indah, Bayan Lepas, Penang",Penang,Bayan Lepas,2025-01-02 09:43,109624366,5.3409497,100.3106651
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,3,2,600 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Gymnasium, Minimart, Jogging Track, Barbeque area, Multipurpose hall, Security, Lift, Parking","Air-Cond, Cooking Allowed, Washing Machine","Jalan Bukit Aliff Utama, Taman Damansara Aliff, Tampoi, Johor",Johor,Tampoi,2025-01-02 09:42,109542965,,
"RM 1,399 per month","Apartment / Condominium, For rent",Condominium,3,3,1022 sq.ft.,Partially Furnished,"Multipurpose hall, Jogging Track, Playground, Swimming Pool, Parking, Security, Club house, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT","Persiaran Tropicana Heights 1B, Bandar Teknologi Kajang, Kajang, Selangor",Selangor,Kajang,2025-01-02 09:42,109466209,,
