monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,ads_id,latitude,longitude
"RM 1,500 per month","Apartment / Condominium, For rent",Studio,1,1,490 sq.ft.,Fully Furnished,"Minimart, Swimming Pool, Lift, Security, Parking, Playground, Multipurpose hall, Barbeque area, Sauna, Club house, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine","Tamarind Square, Persiaran Multimedia, Cyber 10, Cyberjaya, Selangor",Selangor,Cyberjaya,2025-01-30 06:26,109628260,,
"RM 3,500 per month","House, For rent",Semi-Detached House,6,5,2813 sq.ft.,Partially Furnished,"Parking, Security, Club house","Air-Cond, Cooking Allowed",,Selangor,Selayang,2025-01-30 06:00,109306246,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,800 sq.ft.,Fully Furnished,"Parking, Playground, Security","Air-Cond, Cooking Allowed","Lorong Seri Warisan 2, Off Jalan Tuaran, Kota Kinabalu, Sabah",Sabah,Kota Kinabalu,2025-01-30 05:10,109958172,,
"RM 1,650 per month","Apartment / Condominium, For rent",Service Residence,3,2,996 sq.ft.,Partially Furnished,"Barbeque area, Multipurpose hall, Playground, Gymnasium, Parking, Security, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Putra Permai, Bandar Putra Permai, Seri Kembangan, Selangor",Selangor,Seri Kembangan,2025-01-30 05:03,109567275,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,776 sq.ft.,Fully Furnished,"Parking, Security, Lift, Playground","Air-Cond, Cooking Allowed, Washing Machine","Jalan 1/2D, Taman Sri Murni, Selayang, Selangor",Selangor,Selayang,2025-01-30 05:01,109958176,,
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,3,2,890 sq.ft.,Fully Furnished,"Gymnasium, Jogging Track, Multipurpose hall, Security, Lift, Parking, Sauna, Swimming Pool, Squash Court, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan USJ 19/4, USJ 19, Off Persiaran Kewajipan, Subang Jaya, Selangor",Selangor,Subang Jaya,2025-01-30 03:45,108903930,,
"RM 1,650 per month","Apartment / Condominium, For rent",Service Residence,3,2,829 sq.ft.,Partially Furnished,"Barbeque area, Security, Playground, Swimming Pool, Minimart, Lift, Parking, Gymnasium, Multipurpose hall",,"Jalan Lang Emas, Taman Segambut Aman, Segambut, Kuala Lumpur",Kuala Lumpur,Segambut,2025-01-30 03:30,109142136,3.188705399966709,101.65491853601065
"RM 5,500 per month","Apartment / Condominium, For rent",Service Residence,3,3,1326 sq.ft.,Fully Furnished,"Gymnasium, Security, Playground, Swimming Pool, Barbeque area, Parking, Lift, Sauna, Multipurpose hall","Cooking Allowed, Air-Cond, Near KTM/LRT, Washing Machine","Jalan Kerinchi Kiri 2, Kampung Kerinchi, Bangsar South, Kuala Lumpur",Kuala Lumpur,Bangsar South,2025-01-30 03:10,109958121,3.1129258778420885,101.66718980251137
"RM 2,500 per month","Apartment / Condominium, For rent",Service Residence,1,1,638 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Security, Club house, Playground, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan 112H, Off Jalan Kerinchi, Bangsar South, Kuala Lumpur",Kuala Lumpur,Bangsar South,2025-01-30 03:04,109958126,,
"RM 2,000 per month","Apartment / Condominium, For rent",Apartment,3,2,935 sq.ft.,Fully Furnished,"Sauna, Multipurpose hall, Parking, Security, Lift, Playground, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Desa Bakti, Off Taman Desa, Taman Desa, Kuala Lumpur",Kuala Lumpur,Taman Desa,2025-01-30 03:01,109958125,,
