monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,ads_id,latitude,longitude
"RM 3,800 per month","Apartment / Condominium, For rent",Condominium,2,2,823 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool, Multipurpose hall, Playground, Gymnasium, Lift, Barbeque area, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Kerinchi Kiri 2, Kampung Kerinchi, Bangsar South, Kuala Lumpur",Kuala Lumpur,Bangsar South,2025-01-30 03:01,109958124,3.1129258778420885,101.66718980251137
"RM 3,600 per month","Apartment / Condominium, For rent",Service Residence,2,2,820 sq.ft.,Fully Furnished,"Swimming Pool, Sauna, Parking, Playground, Gymnasium, Lift, Barbeque area, Security, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Kerinchi Kiri 2, Kampung Kerinchi, Bangsar South, Kuala Lumpur",Kuala Lumpur,Bangsar South,2025-01-30 03:01,109958123,3.1129258778420885,101.66718980251137
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,2,2,850 sq.ft.,Fully Furnished,"Playground, Jogging Track, Lift, Multipurpose hall, Parking, Security, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Razak Mansion, Off Jalan Sungai Besi, Salak Selatan, Sungai Besi, Kuala Lumpur",Kuala Lumpur,Sungai Besi,2025-01-30 03:01,109958122,,
"RM 1,100 per month","Apartment / Condominium, For rent",Condominium,3,2,800 sq.ft.,Not Furnished,"Parking, Multipurpose hall, Lift, Playground, Security, Minimart, Jogging Track","Cooking Allowed, Near KTM/LRT","Jalan Metro Perdana Barat, Taman Usahawan, Kepong, Kepong, Kuala Lumpur",Kuala Lumpur,Kepong,2025-01-30 02:30,109958105,3.2192133653707145,101.64218924932626
"RM 1,800 per month","Apartment / Condominium, For rent",Apartment,3,3,1045 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground","Air-Cond, Cooking Allowed",,Selangor,Puchong,2025-01-30 02:27,109958103,,
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,3,2,1140 sq.ft.,Not Furnished,"Security, Playground, Gymnasium, Jogging Track, Swimming Pool, Lift, Parking, Barbeque area",Cooking Allowed,"Jalan 4/108a, Salak Selatan, Sungai Besi, Kuala Lumpur",Kuala Lumpur,Sungai Besi,2025-01-30 02:10,109958091,3.07681657889971,101.71511501126787
"RM 1,100 per month","Apartment / Condominium, For rent",Condominium,3,2,800 sq.ft.,Partially Furnished,"Parking, Minimart, Playground, Gymnasium, Security, Swimming Pool, Squash Court, Lift, Barbeque area, Jogging Track","Cooking Allowed, Near KTM/LRT, Internet","Jalan Rumbia, Kampung Seberang Paya, Bayan Lepas, Penang",Penang,Bayan Lepas,2025-01-30 02:05,109614166,,
"RM 1,400 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Partially Furnished,,,,Selangor,Rawang,2025-01-30 02:05,109958088,,
"RM 2,300 per month","Apartment / Condominium, For rent",Condominium,3,2,911 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Multipurpose hall, Jogging Track",Air-Cond,,Kuala Lumpur,Segambut,2025-01-30 02:03,109749601,,
"RM 1,000 per month","House, For rent",2-storey Terraced House,3,2,880 sq.ft.,Not Furnished,Security,Cooking Allowed,,Selangor,Rawang,2025-01-30 02:01,109378689,,
"RM 1,300 per month","House, For rent",2-storey Terraced House,4,3,1300 sq.ft.,Not Furnished,Parking,,,Selangor,Bangi,2025-01-30 01:55,109958057,,
"RM 1,900 per month","House, For rent",2-storey Terraced House,4,3,1491 sq.ft.,Partially Furnished,"Security, Playground, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed",,Selangor,Cyberjaya,2025-01-30 01:50,109866276,,
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,3,2,1250 sq.ft.,Fully Furnished,"Gymnasium, Lift, Multipurpose hall, Minimart, Playground, Swimming Pool, Security, Jogging Track, Barbeque area, Parking, Club house",,"Jalan Bayu Laut 7/KS9, Port Klang, Selangor",Selangor,Port Klang,2025-01-30 01:48,109958067,,
RM 850 per month,"Apartment / Condominium, For rent",Service Residence,1,2,310 sq.ft.,Fully Furnished,"Gymnasium, Barbeque area, Security, Swimming Pool, Playground, Parking","Air-Cond, Cooking Allowed, Washing Machine","Jalan Uranus U5/125, Subang Pelangi, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-30 01:47,109958066,,
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Fully Furnished,"Security, Swimming Pool, Parking, Playground, Gymnasium, Club house, Lift","Air-Cond, Cooking Allowed, Washing Machine","Off Jalan Lintas, Kota Kinabalu, Sabah",Sabah,Kota Kinabalu,2025-01-30 00:31,109356201,,
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,2,2,850 sq.ft.,Fully Furnished,"Security, Gymnasium, Multipurpose hall, Swimming Pool, Jogging Track, Parking, Club house",,"Jalan Dato Abdullah Tahir, Taman Abad, Skudai, Johor",Johor,Skudai,2025-01-30 00:25,109957969,,
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,1,2,775 sq.ft.,Fully Furnished,"Jogging Track, Security, Barbeque area, Parking, Swimming Pool, Gymnasium",,"Jalan Klang Lama, Old Klang Road, Kuala Lumpur",Kuala Lumpur,Old Klang Road,2025-01-30 00:25,109957963,3.09346915,101.67657204176042
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,3,2,1107 sq.ft.,Partially Furnished,"Parking, Security, Playground, Swimming Pool, Lift, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Persiaran 3, Bandar Baru Selayang, Selayang, Selangor",Selangor,Selayang,2025-01-30 00:23,109781828,3.259325940745779,101.6514959015733
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,3,2,958 sq.ft.,Fully Furnished,"Parking, Playground, Swimming Pool, Security, Gymnasium",,"Jalan 3/144a, Medan Connaught, Cheras, Kuala Lumpur",Kuala Lumpur,Cheras,2025-01-30 00:11,109956385,,
"RM 2,800 per month","Apartment / Condominium, For rent",Condominium,3,3,1186 sq.ft.,Fully Furnished,"Lift, Minimart, Swimming Pool, Security, Gymnasium, Parking, Playground, Club house",,"Lorong Timur, Sentul Timur, Sentul, Kuala Lumpur",Kuala Lumpur,Sentul,2025-01-30 00:10,108662115,,
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,1,2,775 sq.ft.,Fully Furnished,"Security, Gymnasium, Jogging Track, Parking, Swimming Pool, Barbeque area",,"Jalan Klang Lama, Old Klang Road, Kuala Lumpur",Kuala Lumpur,Old Klang Road,2025-01-30 00:10,109957945,3.09346915,101.67657204176042
RM 950 per month,"Apartment / Condominium, For rent",Flat,2,1,700 sq.ft.,Partially Furnished,,,"Tingkat Nipah, Taman Lip Sin,, Bayan Lepas, Penang",Penang,Bayan Lepas,2025-01-30 00:05,109957956,,
RM 800 per month,"House, For rent",1-storey Terraced House,4,2,1500 sq.ft.,Not Furnished,,,,Negeri Sembilan,Seremban,2025-01-30 00:05,109957927,,
"RM 1,200 per month","House, For rent",2-storey Terraced House,4,3,1530 sq.ft.,Not Furnished,"Parking, Security, Playground",,,Negeri Sembilan,Lukut,2025-01-30 00:01,109870464,,
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1008 sq.ft.,Fully Furnished,"Parking, Multipurpose hall, Security, Playground, Swimming Pool, Lift, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan Kajang Villa 3, Taman Kajang Villa, Kajang, Selangor",Selangor,Kajang,2025-01-29 23:55,109957906,2.96124235,101.79580920000001
"RM 2,500 per month","Apartment / Condominium, For rent",Service Residence,2,2,950 sq.ft.,Fully Furnished,"Sauna, Gymnasium, Multipurpose hall, Security, Barbeque area, Parking, Swimming Pool, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan Kolam Air, Off Jalan Kuching, KL City, Kuala Lumpur",Kuala Lumpur,KL City,2025-01-29 23:51,109956276,,
RM 800 per month,"Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Not Furnished,"Security, Minimart, Playground, Tennis Court, Parking, Swimming Pool, Gymnasium, Lift, Barbeque area, Multipurpose hall, Jogging Track",,"Jalan Eco Majestic 3A/5, Eco Majestic, Semenyih, Selangor",Selangor,Semenyih,2025-01-29 23:49,108384711,,
"RM 1,000 per month","House, For rent",Semi-Detached House,3,3,1503 sq.ft.,Not Furnished,"Parking, Playground",,,Negeri Sembilan,Port Dickson,2025-01-29 23:48,109930567,,
RM 550 per month,"Apartment / Condominium, For rent",Condominium,1,1,280 sq.ft.,Partially Furnished,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Melati Utama 3, Taman Melati Utama, Setapak, Kuala Lumpur",Kuala Lumpur,Setapak,2025-01-29 23:45,109957917,,
"RM 1,400 per month","Apartment / Condominium, For rent",Studio,1,1,450 sq.ft.,Fully Furnished,"Gymnasium, Swimming Pool, Security, Lift","Air-Cond, Near KTM/LRT, Washing Machine","Jalan PJU 8/1, Damansara Perdana, Selangor",Selangor,Damansara Perdana,2025-01-29 23:45,109957897,3.16493604883916,101.61251304535719
"RM 1,000 per month","House, For rent",2-storey Terraced House,3,2,1300 sq.ft.,Not Furnished,Parking,,,Negeri Sembilan,Port Dickson,2025-01-29 23:44,109934849,,
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,700 sq.ft.,Partially Furnished,"Swimming Pool, Parking, Tennis Court, Playground, Security, Barbeque area",Cooking Allowed,"Hilir Paya Terubong 1, Relau, Penang",Penang,Relau,2025-01-29 23:41,109957908,5.331575278107223,100.27701656456263
"RM 1,400 per month","Apartment / Condominium, For rent",Apartment,4,3,1500 sq.ft.,Not Furnished,"Parking, Security, Lift, Playground, Multipurpose hall, Minimart",Cooking Allowed,"Jalan Kajangan P6, Presint 6, Putrajaya, Putrajaya",Putrajaya,Putrajaya,2025-01-29 23:41,109957907,,
"RM 2,400 per month","Apartment / Condominium, For rent",Service Residence,2,2,947 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Lingkaran SV1 Sunway Velocity, Cheras, Kuala Lumpur",Kuala Lumpur,Cheras,2025-01-29 23:33,109778550,3.1275428615406726,101.72347787579912
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,1,2,775 sq.ft.,Fully Furnished,"Parking, Security, Gymnasium, Jogging Track, Swimming Pool, Barbeque area",,"Jalan Klang Lama, Old Klang Road, Kuala Lumpur",Kuala Lumpur,Old Klang Road,2025-01-29 23:30,109955787,3.09346915,101.67657204176042
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,1,2,775 sq.ft.,Fully Furnished,"Parking, Security, Gymnasium, Jogging Track, Swimming Pool, Barbeque area",,"Jalan Klang Lama, Old Klang Road, Kuala Lumpur",Kuala Lumpur,Old Klang Road,2025-01-29 23:29,109955721,3.09346915,101.67657204176042
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,950 sq.ft.,Fully Furnished,"Parking, Security, Playground, Lift, Barbeque area, Minimart, Jogging Track","Air-Cond, Washing Machine, Cooking Allowed","Jalan Kenanga 3/31, Kampung Tujuh Gajah Berang, Melaka City, Melaka",Melaka,Melaka City,2025-01-29 23:29,109907888,,
"RM 3,000 per month","Apartment / Condominium, For rent",Condominium,5,3,2200 sq.ft.,Fully Furnished,"Parking, Barbeque area, Jogging Track, Gymnasium, Lift, Sauna, Playground, Swimming Pool, Squash Court, Security",,"Halaman York, Taman Dhoby Ghaut, Georgetown, Penang",Penang,Georgetown,2025-01-29 23:27,109895571,,
"RM 2,500 per month","Apartment / Condominium, For rent",Service Residence,3,2,956 sq.ft.,Fully Furnished,"Parking, Lift, Multipurpose hall, Minimart, Swimming Pool, Playground, Gymnasium, Barbeque area, Security","Air-Cond, Cooking Allowed","Off Lebuhraya Utara Selatan, Southville City, Bangi, Selangor",Selangor,Bangi,2025-01-29 23:27,109957884,,
"RM 2,300 per month","Apartment / Condominium, For rent",Condominium,3,2,1302 sq.ft.,Fully Furnished,"Playground, Multipurpose hall, Parking, Swimming Pool, Gymnasium, Lift, Barbeque area, Security","Air-Cond, Near KTM/LRT","Jalan Jelatek, Off Jalan Ampang, Setiawangsa, Kuala Lumpur",Kuala Lumpur,Setiawangsa,2025-01-29 23:25,109957839,,
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,865 sq.ft.,Fully Furnished,"Parking, Gymnasium, Swimming Pool, Security, Playground, Barbeque area, Jogging Track, Lift",,"Jalan Kitobu Keronggu, Inanam, Sabah",Sabah,Inanam,2025-01-29 23:24,109157539,,
"RM 1,500 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Fully Furnished,"Jogging Track, Security, Playground, Swimming Pool, Parking, Lift",,"Jalan Bundusan Penampang, Kota Kinabalu, Sabah",Sabah,Kota Kinabalu,2025-01-29 23:22,109844170,5.9430136,116.1029847
"RM 2,100 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Fully Furnished,"Security, Swimming Pool, Club house, Parking, Playground, Gymnasium",,"Off Jalan Lintas, Kota Kinabalu, Sabah",Sabah,Kota Kinabalu,2025-01-29 23:22,109771373,,
"RM 3,399 per month","Apartment / Condominium, For rent",Service Residence,2,2,850 sq.ft.,Fully Furnished,"Sauna, Swimming Pool, Barbeque area, Gymnasium, Club house, Parking, Security, Playground, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","No.126,  Jalan Damai, Ampang, Kuala Lumpur",Kuala Lumpur,Ampang,2025-01-29 23:15,109957809,,
"RM 1,450 per month","Apartment / Condominium, For rent",Service Residence,3,3,1045 sq.ft.,Partially Furnished,"Parking, Security, Lift, Playground, Multipurpose hall, Minimart, Jogging Track",,,Selangor,Puchong,2025-01-29 23:12,109749835,,
"RM 1,250 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Partially Furnished,"Swimming Pool, Barbeque area, Multipurpose hall, Playground, Gymnasium, Parking, Security, Lift, Minimart, Jogging Track","Air-Cond, Cooking Allowed","Jalan 1/12D, Kampung Batu Muda, Sentul, Kuala Lumpur",Kuala Lumpur,Sentul,2025-01-29 23:11,108493703,,
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,3,1118 sq.ft.,Partially Furnished,"Tennis Court, Jogging Track, Security, Barbeque area, Multipurpose hall, Playground, Gymnasium, Lift, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Taman Setiawangsa, AU2, Setiawangsa, Kuala Lumpur",Kuala Lumpur,Setiawangsa,2025-01-29 23:11,109914321,3.177684337559281,101.73793934782941
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,2,1,800 sq.ft.,Not Furnished,"Security, Minimart, Lift",,"Jalan PJS 11/6, PJS 11, Bandar Sunway, Selangor",Selangor,Bandar Sunway,2025-01-29 23:11,109836365,3.0718655,101.603261
"RM 2,400 per month","Apartment / Condominium, For rent",Condominium,2,1,770 sq.ft.,Partially Furnished,"Tennis Court, Jogging Track, Parking, Security, Barbeque area, Multipurpose hall, Playground, Gymnasium, Lift",,"Jalan Taman Setiawangsa, AU2, Setiawangsa, Kuala Lumpur",Kuala Lumpur,Setiawangsa,2025-01-29 23:10,109914798,3.177684337559281,101.73793934782941
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,1,1,396 sq.ft.,Fully Furnished,"Gymnasium, Barbeque area, Multipurpose hall, Playground, Sauna, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan SS 15/8 Off Lebuhraya Baru Pantai, SS 15, Subang Jaya, Selangor",Selangor,Subang Jaya,2025-01-29 23:10,109117638,,
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,1,1,1 sq.ft.,Fully Furnished,"Security, Parking",,"13, Jalan Datuk Mohammad Musa, Kota Samarahan, Sarawak",Sarawak,Kota Samarahan,2025-01-29 23:08,109652101,,
"RM 3,800 per month","Apartment / Condominium, For rent",Condominium,3,2,950 sq.ft.,Fully Furnished,"Gymnasium, Multipurpose hall, Barbeque area, Swimming Pool, Lift, Sauna, Parking, Security, Playground",,"Persiaran Bayan Indah 2, Bayan Lepas, Penang",Penang,Bayan Lepas,2025-01-29 23:06,109816481,5.3374074,100.3099021
"RM 2,900 per month","Apartment / Condominium, For rent",Service Residence,3,2,900 sq.ft.,Fully Furnished,"Security, Lift, Parking, Gymnasium, Playground, Swimming Pool, Multipurpose hall",,"Jalan 1/13a, Old Klang Road, Kuala Lumpur",Kuala Lumpur,Old Klang Road,2025-01-29 23:05,109957794,,
"RM 1,000 per month","Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Partially Furnished,"Squash Court, Playground, Gymnasium, Sauna, Parking, Minimart, Security, Lift, Swimming Pool",,"Pinggiran Dato Senu, Bandar Baru Sentul, Sentul, Kuala Lumpur",Kuala Lumpur,Sentul,2025-01-29 23:05,109957788,,
"RM 3,300 per month","House, For rent",2-storey Terraced House,5,5,3085 sq.ft.,Partially Furnished,Security,Cooking Allowed,,Selangor,Shah Alam,2025-01-29 23:05,102261182,,
"RM 3,500 per month","House, For rent",2-storey Terraced House,5,5,3085 sq.ft.,Partially Furnished,,Cooking Allowed,,Selangor,Shah Alam,2025-01-29 23:05,104194947,,
"RM 1,000 per month","Apartment / Condominium, For rent",Apartment,3,2,657 sq.ft.,Partially Furnished,,,"Flat PKNS Blok 79, Jalan Timun 24/1, Seksyen 24, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-29 23:05,109145162,,
"RM 1,900 per month","Apartment / Condominium, For rent",Service Residence,1,1,350 sq.ft.,Fully Furnished,"Security, Lift, Parking, Gymnasium, Playground, Swimming Pool, Multipurpose hall",,"Jalan 1/13a, Old Klang Road, Kuala Lumpur",Kuala Lumpur,Old Klang Road,2025-01-29 23:03,109957818,,
"RM 3,500 per month","House, For rent",2-storey Terraced House,5,5,3085 sq.ft.,Partially Furnished,Security,,,Selangor,Shah Alam,2025-01-29 23:03,107332417,,
"RM 1,700 per month","Apartment / Condominium, For rent",Condominium,3,2,864 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Jogging Track, Security, Playground, Gymnasium","Air-Cond, Cooking Allowed","Lorong Lembah Permai 3, Tanjung Bungah, Penang",Penang,Tanjung Bungah,2025-01-29 23:01,105674148,5.45226375,100.28505003014706
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,3,2,864 sq.ft.,Fully Furnished,"Security, Jogging Track, Gymnasium, Parking, Playground, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine","Lorong Lembah Permai 3, Tanjung Bungah, Penang",Penang,Tanjung Bungah,2025-01-29 23:01,106221422,5.45226375,100.28505003014706
"RM 1,950 per month","Apartment / Condominium, For rent",Condominium,3,2,864 sq.ft.,Fully Furnished,"Parking, Playground, Jogging Track, Security, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine","Lorong Lembah Permai 3, Tanjung Bungah, Penang",Penang,Tanjung Bungah,2025-01-29 23:00,105693878,5.45226375,100.28505003014706
"RM 1,950 per month","Apartment / Condominium, For rent",Condominium,3,2,864 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Security, Parking, Jogging Track, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine","Lorong Lembah Permai 3, Tanjung Bungah, Penang",Penang,Tanjung Bungah,2025-01-29 23:00,105532390,5.45226375,100.28505003014706
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,864 sq.ft.,Fully Furnished,"Security, Gymnasium, Parking, Playground, Swimming Pool, Jogging Track","Air-Cond, Cooking Allowed","Lorong Lembah Permai 3, Tanjung Bungah, Penang",Penang,Tanjung Bungah,2025-01-29 22:59,105497581,5.45226375,100.28505003014706
"RM 1,700 per month","Apartment / Condominium, For rent",Condominium,3,2,864 sq.ft.,Partially Furnished,"Security, Playground, Swimming Pool, Jogging Track, Parking, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine","Lorong Lembah Permai 3, Tanjung Bungah, Penang",Penang,Tanjung Bungah,2025-01-29 22:56,107528468,5.45226375,100.28505003014706
"RM 1,700 per month","Apartment / Condominium, For rent",Condominium,3,2,864 sq.ft.,Fully Furnished,"Security, Jogging Track, Gymnasium, Parking, Playground, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine","Lorong Lembah Permai 3, Tanjung Bungah, Penang",Penang,Tanjung Bungah,2025-01-29 22:55,106221378,5.45226375,100.28505003014706
"RM 3,900 per month","Apartment / Condominium, For rent",Service Residence,3,2,883 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Gymnasium, Lift, Multipurpose hall, Barbeque area, Security, Playground, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Peel, Sunway Velocity, Cheras, Kuala Lumpur",Kuala Lumpur,Cheras,2025-01-29 22:54,109567101,,
"RM 1,799 per month","Apartment / Condominium, For rent",Service Residence,2,1,648 sq.ft.,Fully Furnished,"Parking, Barbeque area, Multipurpose hall, Minimart, Lift, Jogging Track, Swimming Pool, Security, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine","Jalan Bukit Aliff Utama, Taman Damansara Aliff, Tampoi, Johor",Johor,Tampoi,2025-01-29 22:52,109284193,,
"RM 1,300 per month","Apartment / Condominium, For rent",Flat,3,2,750 sq.ft.,Partially Furnished,"Playground, Minimart, Parking, Lift, Security","Cooking Allowed, Near KTM/LRT, Washing Machine","Off Jalan 4/155, Kampung Muhibbah, Bukit Jalil, Kuala Lumpur",Kuala Lumpur,Bukit Jalil,2025-01-29 22:50,109957784,,
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,2,2,975 sq.ft.,Partially Furnished,"Swimming Pool, Gymnasium, Parking, Minimart, Sauna, Playground, Tennis Court, Security",Air-Cond,"Jalan Putramas 2, Off Jalan Kuching, Jalan Kuching, Kuala Lumpur",Kuala Lumpur,Jalan Kuching,2025-01-29 22:50,109957780,,
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,2,2,862 sq.ft.,Partially Furnished,"Club house, Parking, Security, Barbeque area, Sauna, Swimming Pool, Gymnasium, Lift, Playground, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed","Jalan Rinting, Taman Rinting, Masai, Johor",Johor,Masai,2025-01-29 22:48,108595540,1.4849442808687643,103.86165335319482
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,2,2,1001 sq.ft.,Fully Furnished,"Parking, Barbeque area, Swimming Pool, Gymnasium, Lift, Security, Minimart, Multipurpose hall, Playground, Sauna, Club house, Tennis Court, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine","Jalan Mersawa 16, Taman Cahaya, Masai, Johor",Johor,Masai,2025-01-29 22:48,108504994,,
"RM 2,699 per month","Apartment / Condominium, For rent",Apartment,3,2,1007 sq.ft.,Fully Furnished,"Security, Playground, Lift, Multipurpose hall, Parking","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT","Jalan Thamby Abdullah 1, Off Jalan Tun Sambanthan 1, Brickfields, Kuala Lumpur",Kuala Lumpur,Brickfields,2025-01-29 22:47,109068882,,
