monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 1,100 per month","Apartment / Condominium, For rent",Condominium,3,2,850 sq.ft.,Fully Furnished,"Barbeque area, Sauna, Playground, Tennis Court, Gymnasium, Squash Court, Parking, Security, Minimart, Swimming Pool, Jogging Track, Lift","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Bukit Gambier 1, Gelugor, Penang",Penang,Gelugor,2025-02-09 14:50,2025-02-09,110065556,,
"RM 2,000 per month","House, For rent",2-storey Terraced House,4,3,1170 sq.ft.,Partially Furnished,"Security, Parking",,,Johor,Setia Indah,2025-02-09 14:50,2025-02-09,110065553,,
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,1,1,400 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Lift, Barbeque area, Parking, Sauna, Security, Gymnasium",,"Jalan Laguna 1, Off Jalan Baru, Kampung Jawa, Perai, Penang",Penang,Perai,2025-02-09 14:50,2025-02-09,110065552,,
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,2,2,852 sq.ft.,Fully Furnished,"Parking, Security, Playground, Gymnasium, Swimming Pool, Lift, Barbeque area, Sauna, Multipurpose hall, Minimart, Jogging Track","Air-Cond, Washing Machine, Cooking Allowed","Jalan Forest City - Lebuhraya Tanjung Pelepas, Gelang Patah, Johor",Johor,Gelang Patah,2025-02-09 14:50,2025-02-09,110065550,,
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,2,2,700 sq.ft.,Fully Furnished,"Parking, Security, Playground, Gymnasium, Barbeque area, Multipurpose hall, Club house, Swimming Pool, Sauna","Air-Cond, Cooking Allowed, Washing Machine","Jalan Perda Selatan, Bandar Baru Perda, Bukit Mertajam, Penang",Penang,Bukit Mertajam,2025-02-09 14:50,2025-02-09,110065548,,
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,2,1,852 sq.ft.,Fully Furnished,"Parking, Security, Playground, Swimming Pool, Lift, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine","Jalan Forest City, Forest City, Gelang Patah, Johor",Johor,Gelang Patah,2025-02-09 14:50,2025-02-09,110065546,,
"RM 1,500 per month","Apartment / Condominium, For rent",Apartment,2,2,752 sq.ft.,Fully Furnished,"Parking, Security, Playground, Swimming Pool, Lift, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Minimart, Jogging Track","Air-Cond, Washing Machine, Cooking Allowed","Jalan Forest City, Forest City, Gelang Patah, Johor",Johor,Gelang Patah,2025-02-09 14:50,2025-02-09,110065544,,
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,2,2,775 sq.ft.,Fully Furnished,"Swimming Pool, Barbeque area, Multipurpose hall, Security, Playground, Gymnasium, Sauna, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan Lintang Selatan, Batu Lintang, Kuching, Sarawak",Sarawak,Kuching,2025-02-09 14:50,2025-02-09,110065542,,
"RM 2,350 per month","Apartment / Condominium, For rent",Apartment,2,2,950 sq.ft.,Fully Furnished,"Playground, Barbeque area, Lift, Gymnasium, Multipurpose hall, Parking, Security, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Persiaran Danga Perdana, Country Garden Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-09 14:49,2025-02-09,109620960,1.4676996579290054,103.7249724411857
"RM 2,100 per month","Apartment / Condominium, For rent",Apartment,2,2,950 sq.ft.,Fully Furnished,"Multipurpose hall, Parking, Security, Lift, Playground, Gymnasium, Swimming Pool, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-09 14:49,2025-02-09,109597062,1.467763139109315,103.7250491807238
"RM 1,600 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Partially Furnished,,,,Johor,Senai,2025-02-09 14:49,2025-02-09,110065800,,
"RM 3,700 per month","House, For rent",Semi-Detached House,4,4,2625 sq.ft.,Partially Furnished,,,,Selangor,Kota Emerald,2025-02-09 14:49,2025-02-09,110065793,,
"RM 1,800 per month","Apartment / Condominium, For rent",Apartment,1,1,550 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-09 14:49,2025-02-09,110026110,1.467763139109315,103.7250491807238
"RM 2,400 per month","Apartment / Condominium, For rent",Condominium,3,3,1260 sq.ft.,Fully Furnished,"Swimming Pool, Lift, Parking, Multipurpose hall, Playground, Gymnasium, Security, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-09 14:49,2025-02-09,110065780,1.467763139109315,103.7250491807238
"RM 2,300 per month","Apartment / Condominium, For rent",Condominium,2,2,861 sq.ft.,Fully Furnished,"Minimart, Sauna, Parking, Swimming Pool, Barbeque area, Security, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan Bedara, Bukit Bintang, Kuala Lumpur",Kuala Lumpur,Bukit Bintang,2025-02-09 14:48,2025-02-09,110043733,3.1484365555282574,101.70998481812838
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1036 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Club house, Gymnasium, Lift, Barbeque area, Security, Sauna, Multipurpose hall, Playground",,"Lorong Slim, Taman Desa Green, Jelutong, Penang",Penang,Jelutong,2025-02-09 14:47,2025-02-09,110065752,,
"RM 1,400 per month","Apartment / Condominium, For rent",Apartment,3,2,830 sq.ft.,Partially Furnished,"Swimming Pool, Playground, Security, Parking, Gymnasium, Lift, Minimart, Multipurpose hall, Jogging Track, Club house","Air-Cond, Cooking Allowed, Washing Machine","No.4, Jalan Setia Gemilang U13/45C, Seksyen U13, Setia Alam, Selangor",Selangor,Setia Alam,2025-02-09 14:47,2025-02-09,110038971,3.131853597195424,101.47140998572945
"RM 1,300 per month","House, For rent",2-storey Terraced House,4,3,1170 sq.ft.,Not Furnished,,Cooking Allowed,,Johor,Senai,2025-02-09 14:47,2025-02-09,110065751,,
"RM 2,500 per month","House, For rent",1-storey Terraced House,4,3,1800 sq.ft.,Not Furnished,,Cooking Allowed,,Penang,Bayan Baru,2025-02-09 14:47,2025-02-09,108938175,,
"RM 2,100 per month","House, For rent",Terraced House,4,3,1746 sq.ft.,Partially Furnished,,,,Selangor,Dengkil,2025-02-09 14:47,2025-02-09,110065746,,
"RM 2,099 per month","Apartment / Condominium, For rent",Service Residence,1,1,560 sq.ft.,Fully Furnished,"Security, Minimart, Lift, Sauna, Multipurpose hall, Jogging Track, Parking, Swimming Pool, Playground, Gymnasium, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine","Jalan Bemban, Ampang, Selangor",Selangor,Ampang,2025-02-09 14:46,2025-02-09,109660045,,
"RM 1,499 per month","Apartment / Condominium, For rent",Service Residence,1,1,476 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine","Jalan Kangkar Tebrau, Off Jalan Pandan, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-09 14:45,2025-02-09,109698554,,
"RM 1,500 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Not Furnished,,Cooking Allowed,,Penang,Bayan Lepas,2025-02-09 14:45,2025-02-09,109101037,,
"RM 2,300 per month","House, For rent",2-storey Terraced House,4,3,1300 sq.ft.,Partially Furnished,Parking,,,Johor,Johor Bahru,2025-02-09 14:45,2025-02-09,110065471,,
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,3,2,770 sq.ft.,Partially Furnished,"Parking, Lift, Security, Swimming Pool, Playground, Gymnasium, Minimart","Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan PJS8/9, Petaling Jaya, Selangor",Selangor,Petaling Jaya,2025-02-09 14:45,2025-02-09,110065468,,
"RM 3,500 per month","House, For rent",Terraced House,4,3,2119 sq.ft.,Fully Furnished,"Parking, Playground, Jogging Track","Air-Cond, Cooking Allowed",,Putrajaya,Putrajaya,2025-02-09 14:45,2025-02-09,110065520,,
"RM 1,250 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Partially Furnished,"Jogging Track, Barbeque area, Security, Gymnasium, Lift, Parking, Multipurpose hall, Swimming Pool",,"Off Jalan Laguna 1, Kampung Jawa, Seberang Jaya, Penang",Penang,Seberang Jaya,2025-02-09 14:45,2025-02-09,110065512,,
"RM 1,800 per month","House, For rent",1-storey Terraced House,3,2,1800 sq.ft.,Not Furnished,,,,Kuala Lumpur,Puchong,2025-02-09 14:45,2025-02-09,110065507,,
"RM 2,199 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Partially Furnished,"Parking, Security, Playground, Minimart, Jogging Track",Cooking Allowed,,Johor,Skudai,2025-02-09 14:45,2025-02-09,110065483,,
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,1,1,530 sq.ft.,Fully Furnished,"Jogging Track, Lift, Parking, Security, Swimming Pool, Tennis Court, Sauna, Multipurpose hall, Minimart, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine","Jalan Mutiara Emas 9/23, Taman Mount Austin, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-09 14:45,2025-02-09,110065476,1.5472139532473548,103.78789878770715
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1300 sq.ft.,Fully Furnished,"Security, Playground, Squash Court, Gymnasium, Barbeque area, Swimming Pool, Tennis Court, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine","Tingkat Kelicap, Off Persiaran Kelicap, Bayan Lepas, Penang",Penang,Bayan Lepas,2025-02-09 14:45,2025-02-09,110065475,,
"RM 2,500 per month","Apartment / Condominium, For rent",Service Residence,4,2,890 sq.ft.,Fully Furnished,"Barbeque area, Security, Playground, Swimming Pool, Gymnasium, Parking, Lift, Multipurpose hall, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine","Jalan Selingsing, Taman City, Jalan Kuching, Kuala Lumpur",Kuala Lumpur,Jalan Kuching,2025-02-09 14:44,2025-02-09,108728853,,
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,803 sq.ft.,Partially Furnished,"Parking, Playground, Multipurpose hall","Cooking Allowed, Washing Machine","Jalan Pusat Perniagaan Falim 6, Ipoh, Perak",Perak,Ipoh,2025-02-09 14:44,2025-02-09,110065715,4.58257845,101.0673189
"RM 2,300 per month","House, For rent",2-storey Terraced House,4,3,1679 sq.ft.,Fully Furnished,,,,Penang,Sungai Ara,2025-02-09 14:43,2025-02-09,110065696,,
"RM 4,200 per month","Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Fully Furnished,"Minimart, Swimming Pool, Playground, Sauna, Parking, Security, Lift, Multipurpose hall, Gymnasium",,"Jalan Tengku Azizah, Bukit Chagar, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-09 14:43,2025-02-09,110065695,1.4660804421910185,103.76485714263775
"RM 1,000 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Not Furnished,"Playground, Gymnasium, Swimming Pool, Barbeque area, Parking, Security, Multipurpose hall, Lift","Air-Cond, Cooking Allowed","Bandar Alam Suria, Puncak Alam, Selangor",Selangor,Puncak Alam,2025-02-09 14:42,2025-02-09,109416118,,
"RM 1,300 per month","House, For rent",Bungalow House,4,2,4000 sq.ft.,Partially Furnished,,,,Negeri Sembilan,Lenggeng,2025-02-09 14:42,2025-02-09,110065676,,
"RM 1,200 per month","House, For rent",2-storey Terraced House,4,4,1400 sq.ft.,Not Furnished,"Jogging Track, Parking, Tennis Court, Playground","Cooking Allowed, Near KTM/LRT",,Perak,Chemor,2025-02-09 14:42,2025-02-09,110065674,,
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,2,1,590 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Multipurpose hall, Parking, Security, Jogging Track, Lift, Playground, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Zamrud Utama, Kajang 2, Kajang, Selangor",Selangor,Kajang,2025-02-09 14:42,2025-02-09,110065671,2.9600519,101.79473955
"RM 1,850 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Fully Furnished,"Parking, Jogging Track, Security, Lift, Playground, Minimart","Air-Cond, Cooking Allowed, Washing Machine","Jalan SS 8/7, Kelana Jaya, Petaling Jaya, Selangor",Selangor,Petaling Jaya,2025-02-09 14:42,2025-02-09,110065668,3.091524160387636,101.60307104490327
"RM 2,350 per month","Apartment / Condominium, For rent",Condominium,4,2,1290 sq.ft.,Fully Furnished,"Playground, Jogging Track, Barbeque area, Parking, Security, Lift, Swimming Pool, Gymnasium, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Cassia Barat 6, Bandar Cassia, Batu Kawan, Penang",Penang,Batu Kawan,2025-02-09 14:41,2025-02-09,110065656,5.237891149999999,100.4388965
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,4,2,1290 sq.ft.,Fully Furnished,"Lift, Multipurpose hall, Jogging Track, Swimming Pool, Barbeque area, Parking, Security, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Cassia Barat 6, Bandar Cassia, Batu Kawan, Penang",Penang,Batu Kawan,2025-02-09 14:41,2025-02-09,109461513,5.237891149999999,100.4388965
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1030 sq.ft.,Fully Furnished,"Playground, Lift, Jogging Track, Gymnasium, Security, Swimming Pool, Barbeque area, Multipurpose hall, Parking","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Cassia Barat 6, Bandar Cassia, Batu Kawan, Penang",Penang,Batu Kawan,2025-02-09 14:41,2025-02-09,109460998,5.237891149999999,100.4388965
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,4,2,1200 sq.ft.,Fully Furnished,"Parking, Gymnasium, Multipurpose hall, Security, Playground, Barbeque area, Jogging Track, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Cassia Barat 6, Bandar Cassia, Batu Kawan, Penang",Penang,Batu Kawan,2025-02-09 14:41,2025-02-09,109463853,5.237891149999999,100.4388965
"RM 1,800 per month","Apartment / Condominium, For rent",Apartment,2,2,1000 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Washing Machine","Jalan Sri Cemerlang 11/27, Kota Bharu, Kelantan",Kelantan,Kota Bharu,2025-02-09 14:39,2025-02-09,109779438,6.129771291563101,102.24522879757528
"RM 1,600 per month","Apartment / Condominium, For rent",Apartment,4,2,1136 sq.ft.,Partially Furnished,"Playground, Sauna, Jogging Track, Swimming Pool, Squash Court, Multipurpose hall, Parking, Security",,"Persiaran Golf, Bandar Baru Nilai, Nilai, Negeri Sembilan",Negeri Sembilan,Nilai,2025-02-09 14:37,2025-02-09,109133058,,
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,4,3,1850 sq.ft.,Partially Furnished,"Parking, Playground, Swimming Pool, Barbeque area, Gymnasium, Club house, Jogging Track, Lift, Security, Tennis Court","Air-Cond, Cooking Allowed","Jalan PJU 8/3a, Damansara Perdana, Selangor",Selangor,Damansara Perdana,2025-02-09 14:35,2025-02-09,109888403,3.16424327764691,101.6077593611553
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,3,2,877 sq.ft.,Partially Furnished,"Swimming Pool, Playground, Parking, Gymnasium, Security, Lift, Sauna, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan PJU 8/1, Damansara Perdana, Damansara Perdana, Selangor",Selangor,Damansara Perdana,2025-02-09 14:35,2025-02-09,109415571,3.166416424317879,101.60760605129686
"RM 2,500 per month","Apartment / Condominium, For rent",Service Residence,2,2,685 sq.ft.,Fully Furnished,"Playground, Sauna, Swimming Pool, Gymnasium, Parking, Security, Lift, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine","Jalan Cyber City, Kota Kinabalu, Sabah",Sabah,Kota Kinabalu,2025-02-09 14:35,2025-02-09,110065290,,
"RM 2,500 per month","Apartment / Condominium, For rent",Apartment,4,3,2254 sq.ft.,Partially Furnished,"Parking, Playground, Security, Gymnasium, Swimming Pool",Air-Cond,"Jalan Seri Tg Pinang, Tanjong Tokong, Penang",Penang,Tanjong Tokong,2025-02-09 14:33,2025-02-09,109025261,,
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1150 sq.ft.,Partially Furnished,"Security, Gymnasium, Parking, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine, Internet","Jalan Seaview 11, Melaka City, Melaka",Melaka,Melaka City,2025-02-09 14:32,2025-02-09,110065495,2.181228613724539,102.27074978619432
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,2,2,850 sq.ft.,Fully Furnished,"Security, Playground, Tennis Court, Parking, Gymnasium, Multipurpose hall, Swimming Pool, Lift",,"Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-09 14:30,2025-02-09,110065279,1.467763139109315,103.7250491807238
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,700 sq.ft.,Partially Furnished,"Swimming Pool, Parking, Tennis Court, Security, Playground, Barbeque area, Lift",Cooking Allowed,"Hilir Paya Terubong 1, Relau, Penang",Penang,Relau,2025-02-09 14:30,2025-02-09,110065277,5.333790713491341,100.27611793310287
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,2,2,850 sq.ft.,Fully Furnished,"Security, Multipurpose hall, Parking, Tennis Court, Lift, Barbeque area, Swimming Pool, Playground, Gymnasium",,"Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-09 14:30,2025-02-09,110065274,1.467763139109315,103.7250491807238
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,2,2,875 sq.ft.,Fully Furnished,"Lift, Multipurpose hall, Gymnasium, Swimming Pool, Parking, Playground, Barbeque area, Security",,"Persiaran Danga Perdana, Country Garden Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-09 14:30,2025-02-09,110065273,1.4676996579290054,103.7249724411857
"RM 2,900 per month","Apartment / Condominium, For rent",Condominium,3,3,1250 sq.ft.,Fully Furnished,"Security, Multipurpose hall, Parking, Tennis Court, Lift, Barbeque area, Swimming Pool, Playground, Gymnasium",,"Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-09 14:30,2025-02-09,110065272,1.467763139109315,103.7250491807238
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,2,1,511 sq.ft.,Fully Furnished,"Jogging Track, Parking, Swimming Pool, Playground, Security, Squash Court",,"Jalan Universiti Prima, Kota Kinabalu, Sabah",Sabah,Kota Kinabalu,2025-02-09 14:30,2025-02-09,110065264,,
"RM 2,500 per month","Apartment / Condominium, For rent",Service Residence,2,2,796 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Tennis Court, Gymnasium, Barbeque area, Security, Lift, Parking","Cooking Allowed, Air-Cond, Washing Machine","The Northbank, Off Kuching - Samarahan Expressway, Kuching, Sarawak",Sarawak,Kuching,2025-02-09 14:30,2025-02-09,110065260,,
"RM 3,300 per month","House, For rent",2-storey Terraced House,6,6,1650 sq.ft.,Fully Furnished,"Parking, Security, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",,Selangor,Kota Damansara,2025-02-09 14:30,2025-02-09,110065246,,
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,2,1,773 sq.ft.,Partially Furnished,"Gymnasium, Lift, Security, Barbeque area, Swimming Pool, Parking, Playground",,"Jalan Welfare, Kampung Baru Sungai Buloh, Sungai Buloh, Selangor",Selangor,Sungai Buloh,2025-02-09 14:30,2025-02-09,110065238,3.198233586627722,101.56606163849025
"RM 2,650 per month","Apartment / Condominium, For rent",Condominium,3,2,850 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool, Sauna, Playground, Barbeque area, Tennis Court, Gymnasium, Jogging Track",,"Jalan Seri Tanjung Pinang 1, Seri Tanjung Pinang, Tanjong Tokong, Penang",Penang,Tanjong Tokong,2025-02-09 14:30,2025-02-09,110065232,,
"RM 1,650 per month","House, For rent",2-storey Terraced House,3,3,1741 sq.ft.,Partially Furnished,,,,Selangor,Cyberjaya,2025-02-09 14:30,2025-02-09,108830240,,
RM 450 per month,"House, For rent",1-storey Terraced House,3,2,1000 sq.ft.,Not Furnished,,,,Perak,Ayer Tawar,2025-02-09 14:29,2025-02-09,110065435,,
RM 750 per month,"Apartment / Condominium, For rent",Apartment,2,1,603 sq.ft.,Not Furnished,,,"Jalan Desa 5/4, Bandar Country Homes, Rawang, Selangor",Selangor,Rawang,2025-02-09 14:29,2025-02-09,109295020,,
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,2,2,750 sq.ft.,Partially Furnished,"Playground, Security, Parking, Swimming Pool, Jogging Track, Club house",,"Jalan P8e, Presint 8, Putrajaya, Putrajaya",Putrajaya,Putrajaya,2025-02-09 14:29,2025-02-09,110065423,,
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,3,2,860 sq.ft.,Fully Furnished,"Security, Barbeque area, Parking, Gymnasium, Tennis Court, Swimming Pool, Jogging Track, Playground, Lift","Cooking Allowed, Air-Cond, Washing Machine","Solok Tembaga, Island Park, Greenlane, Penang",Penang,Greenlane,2025-02-09 14:28,2025-02-09,110065419,,
"RM 2,300 per month","House, For rent",Semi-Detached House,4,3,3800 sq.ft.,Fully Furnished,,,,Kedah,Kulim,2025-02-09 14:28,2025-02-09,110065413,,
"RM 1,800 per month","House, For rent",Semi-Detached House,4,3,3000 sq.ft.,Fully Furnished,,,,Kedah,Lunas,2025-02-09 14:28,2025-02-09,110065409,,
"RM 2,000 per month","House, For rent",Semi-Detached House,4,3,4000 sq.ft.,Fully Furnished,,,,Kedah,Lunas,2025-02-09 14:28,2025-02-09,110065405,,
"RM 2,200 per month","House, For rent",Bungalow House,5,3,6000 sq.ft.,Fully Furnished,,,,Kedah,Kulim,2025-02-09 14:27,2025-02-09,110065403,,
"RM 1,200 per month","Apartment / Condominium, For rent",Service Residence,3,2,842 sq.ft.,Partially Furnished,"Minimart, Multipurpose hall, Security, Gymnasium, Parking, Playground, Swimming Pool, Lift, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine","Jalan PPAJ 5, Pusat Perdagangan Alam Jaya, Puncak Alam, Selangor",Selangor,Puncak Alam,2025-02-09 14:27,2025-02-09,106460499,3.238953188028939,101.44780297706075
"RM 1,800 per month","House, For rent",Semi-Detached House,4,2,3000 sq.ft.,Fully Furnished,,,,Kedah,Kulim,2025-02-09 14:27,2025-02-09,110065398,,
"RM 1,500 per month","House, For rent",2-storey Terraced House,2,1,775 sq.ft.,Not Furnished,,,,Johor,Ulu Tiram,2025-02-09 14:27,2025-02-09,110065396,,
"RM 3,300 per month","House, For rent",Semi-Detached House,5,5,2800 sq.ft.,Partially Furnished,"Parking, Playground, Jogging Track, Minimart","Air-Cond, Cooking Allowed",,Putrajaya,Putrajaya,2025-02-09 14:26,2025-02-09,110065390,,
