monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 1,350 per month","Apartment / Condominium, For rent",Condominium,3,2,1130 sq.ft.,Partially Furnished,"Squash Court, Barbeque area, Swimming Pool, Gymnasium, Tennis Court, Security, Minimart, Parking, Sauna, Playground","Cooking Allowed, Near KTM/LRT","Jalan 2/116B, Kuchai Entrepreneurs Park, Kuchai Lama, Kuala Lumpur",Kuala Lumpur,Kuchai Lama,2025-02-09 14:58,2025-02-09,109454275,3.090137255465914,101.69051041348978
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,2,2,950 sq.ft.,Fully Furnished,"Security, Sauna, Club house, Gymnasium, Jogging Track, Barbeque area, Parking, Playground, Swimming Pool",Cooking Allowed,"Jalan Timah, Off Kampung Jawa Baru, Georgetown, Penang",Penang,Georgetown,2025-02-09 14:57,2025-02-09,109838800,,
RM 900 per month,"Apartment / Condominium, For rent",Service Residence,2,2,879 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan Segambut, Kawasan Perusahaan Segambut, Segambut, Kuala Lumpur",Kuala Lumpur,Segambut,2025-02-09 14:55,2025-02-09,109944397,3.1858104673869487,101.67561117883716
"RM 2,500 per month","House, For rent",Semi-Detached House,4,3,3200 sq.ft.,Not Furnished,,,,Penang,Sungai Ara,2025-02-09 14:55,2025-02-09,110065613,,
"RM 2,900 per month","House, For rent",2-storey Terraced House,5,3,1650 sq.ft.,Partially Furnished,,,,Johor,Gelang Patah,2025-02-09 14:50,2025-02-09,110065531,,
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,3,2,1017 sq.ft.,Fully Furnished,"Parking, Barbeque area, Playground, Security, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Washing Machine","Persiaran 3, Bandar Baru Selayang, Selayang, Selangor",Selangor,Selayang,2025-02-09 14:50,2025-02-09,110065604,3.2555532179829156,101.65333013600281
"RM 1,200 per month","Apartment / Condominium, For rent",Studio,1,2,547 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",,"Lebuh Utama Hussein Onn, Cheras Perdana, Cheras, Selangor",Selangor,Cheras,2025-02-09 14:50,2025-02-09,110065601,,
"RM 2,400 per month","Apartment / Condominium, For rent",Service Residence,3,2,950 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Security, Barbeque area, Playground, Multipurpose hall, Parking",,"4, Jalan Abdul Samad, Kampung Bahru, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-09 14:50,2025-02-09,110065591,1.468039221822106,103.74272127263768
"RM 1,100 per month","Apartment / Condominium, For rent",Service Residence,2,2,701 sq.ft.,Not Furnished,"Security, Minimart, Lift, Parking, Gymnasium, Jogging Track, Barbeque area, Sauna, Club house, Playground, Tennis Court, Squash Court, Swimming Pool",,"Persiaran Aston Indah, Bukit Mertajam, Penang",Penang,Bukit Mertajam,2025-02-09 14:50,2025-02-09,110065578,5.36395814215663,100.46546499126617
"RM 1,000 per month","House, For rent",1-storey Terraced House,3,2,1400 sq.ft.,Partially Furnished,"Parking, Playground",,,Negeri Sembilan,Nilai,2025-02-09 14:50,2025-02-09,110065558,,
