monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,984 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Gymnasium, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet","Jalan Setia Menanti, Taman Residensi Impian, Kajang, Selangor",Selangor,Kajang,2025-02-05 11:39,2025-02-05,92624128,,
RM 950 per month,"Apartment / Condominium, For rent",Apartment,3,2,1300 sq.ft.,Partially Furnished,"Parking, Security, Lift, Playground, Gymnasium","Air-Cond, Cooking Allowed, Internet","Lebuh Setia Menunggu, Jade Hills, Kajang, Selangor",Selangor,Kajang,2025-02-05 11:38,2025-02-05,93014050,,
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1250 sq.ft.,Fully Furnished,"Parking, Security, Playground, Gymnasium, Lift, Swimming Pool, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet, Washing Machine","Jalan Mutiara 3, Mutiara Heights, Kajang, Selangor",Selangor,Kajang,2025-02-05 11:38,2025-02-05,109382078,3.033878,101.8049712
RM 950 per month,"Apartment / Condominium, For rent",Condominium,3,2,1288 sq.ft.,Partially Furnished,"Swimming Pool, Gymnasium, Jogging Track, Multipurpose hall, Security, Playground, Barbeque area, Parking, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet","Jalan Mutiara 2, Mutiara Heights, Kajang, Selangor",Selangor,Kajang,2025-02-05 11:38,2025-02-05,101718434,3.0343064,101.8046041
"RM 2,300 per month","Apartment / Condominium, For rent",Apartment,3,3,1400 sq.ft.,Fully Furnished,"Playground, Lift, Parking, Club house, Security, Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed","Jalan Bangi Avenue 6, Bangi Avenue, Kajang, Selangor",Selangor,Kajang,2025-02-05 11:38,2025-02-05,108175267,2.8986074,101.7924607
"RM 2,600 per month","Apartment / Condominium, For rent",Condominium,3,2,953 sq.ft.,Fully Furnished,"Jogging Track, Multipurpose hall, Lift, Security, Gymnasium, Barbeque area, Sauna, Club house, Playground, Swimming Pool, Parking",,"Jalan 32/112, Bukit Kemuning Golf & Country Resort, Seksyen 32, Shah Alam, Selangor",Selangor,Shah Alam,2025-02-05 11:35,2025-02-05,109688289,,
"RM 2,500 per month","House, For rent",2-storey Terraced House,4,3,2400 sq.ft.,Not Furnished,"Parking, Security","Air-Cond, Cooking Allowed",,Penang,Bayan Lepas,2025-02-05 11:35,2025-02-05,109659381,,
"RM 1,600 per month","House, For rent",2-storey Terraced House,5,3,1800 sq.ft.,Partially Furnished,"Parking, Jogging Track, Playground",,,Penang,Bukit Mertajam,2025-02-05 11:34,2025-02-05,109883434,,
"RM 5,000 per month","House, For rent",3-storey Terraced House,5,5,3250 sq.ft.,Fully Furnished,"Parking, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",,Penang,Batu Ferringhi,2025-02-05 11:33,2025-02-05,109530385,,
"RM 1,100 per month","Apartment / Condominium, For rent",Service Residence,2,1,650 sq.ft.,Fully Furnished,"Gymnasium, Barbeque area, Swimming Pool, Minimart, Playground, Jogging Track, Lift, Security, Parking, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Ilmu, Bandar Baru Nilai, Nilai, Negeri Sembilan",Negeri Sembilan,Nilai,2025-02-05 11:33,2025-02-05,109779330,2.812630078367778,101.77491185625225
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Partially Furnished,"Lift, Barbeque area, Multipurpose hall, Swimming Pool, Security, Playground, Gymnasium, Parking","Air-Cond, Cooking Allowed","Jalan Semenyih, Semenyih, Selangor",Selangor,Semenyih,2025-02-05 11:32,2025-02-05,109882483,2.9716991,101.8329452
"RM 1,530 per month","House, For rent",2-storey Terraced House,4,3,1930 sq.ft.,Not Furnished,,,,Selangor,Semenyih,2025-02-05 11:32,2025-02-05,109595221,,
"RM 1,420 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Not Furnished,,,,Selangor,Semenyih,2025-02-05 11:32,2025-02-05,109591192,,
"RM 7,000 per month","Apartment / Condominium, For rent",Condominium,3,4,2459 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Gymnasium, Lift, Security, Club house, Jogging Track, Playground, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine","Gat Lebuh Leith, Georgetown, Penang",Penang,Georgetown,2025-02-05 11:31,2025-02-05,109472243,,
"RM 7,000 per month","Apartment / Condominium, For rent",Condominium,3,4,2459 sq.ft.,Partially Furnished,"Parking, Security, Lift, Club house, Swimming Pool, Gymnasium, Playground, Barbeque area, Sauna, Jogging Track, Minimart, Multipurpose hall",,"Gat Lebuh Leith, Off Lebuh Farquhar, Georgetown, Penang",Penang,Georgetown,2025-02-05 11:31,2025-02-05,109471694,,
"RM 1,500 per month","House, For rent",1-storey Terraced House,3,2,1300 sq.ft.,Not Furnished,,,,Johor,Pasir Gudang,2025-02-05 11:30,2025-02-05,110014696,,
"RM 1,000 per month","Apartment / Condominium, For rent",Apartment,2,2,800 sq.ft.,Partially Furnished,"Lift, Security, Parking, Playground, Multipurpose hall, Minimart",Cooking Allowed,,Kuala Lumpur,Keramat,2025-02-05 11:30,2025-02-05,109630645,,
"RM 1,300 per month","House, For rent",Bungalow House,4,2,1125 sq.ft.,Not Furnished,,"Air-Cond, Cooking Allowed, Washing Machine",,Perak,Ipoh,2025-02-05 11:30,2025-02-05,110014695,,
"RM 2,700 per month","Apartment / Condominium, For rent",Apartment,3,2,893 sq.ft.,Fully Furnished,"Lift, Barbeque area, Security, Minimart, Gymnasium, Parking, Playground, Swimming Pool, Sauna, Multipurpose hall, Jogging Track, Club house, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan Persiaran You City, Cheras, Selangor",Selangor,Cheras,2025-02-05 11:30,2025-02-05,110014542,,
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,4,2,1059 sq.ft.,Partially Furnished,"Multipurpose hall, Parking, Security, Playground, Jogging Track, Swimming Pool, Gymnasium, Barbeque area, Lift, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Gombak, Batu 4, Kampung Kuantan, Setapak, Kuala Lumpur",Kuala Lumpur,Setapak,2025-02-05 11:30,2025-02-05,110014533,,
"RM 2,300 per month","House, For rent",2-storey Terraced House,4,4,1650 sq.ft.,Not Furnished,,,,Selangor,Setia Alam,2025-02-05 11:30,2025-02-05,110014488,,
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,3,2,1228 sq.ft.,Fully Furnished,"Swimming Pool, Security, Playground, Gymnasium, Tennis Court, Lift, Barbeque area, Sauna, Club house, Parking",,"Jalan PJU 10/1A, Damansara Damai, Selangor",Selangor,Damansara Damai,2025-02-05 11:30,2025-02-05,110014465,3.198481974483747,101.59727340799829
RM 450 per month,"House, For rent",Townhouse,6,2,1400 sq.ft.,Fully Furnished,"Parking, Security, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Cooking Allowed, Washing Machine, Internet",,Selangor,Puncak Alam,2025-02-05 11:30,2025-02-05,110014560,,
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,830 sq.ft.,Partially Furnished,"Parking, Security, Playground",,,Kuala Lumpur,Keramat,2025-02-05 11:29,2025-02-05,109552647,,
