monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,ads_id,latitude,longitude
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,1,2,730 sq.ft.,Fully Furnished,"Swimming Pool, Security, Club house, Gymnasium, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan PJU 8/8, Damansara Perdana, Selangor",Selangor,Damansara Perdana,10/1/2025 15:38,109719090,3.166014296,101.6116771
"RM 2,300 per month","Apartment / Condominium, For rent",Condominium,3,2,1100 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Lift, Security, Minimart, Playground, Parking","Cooking Allowed, Washing Machine, Internet, Air-Cond","Jalan PJU 8/1, Damansara Perdana, Selangor",Selangor,Damansara Perdana,10/1/2025 15:37,106664285,3.164936049,101.612513
RM 850 per month,"House, For rent",Terraced House,3,2,1200 sq.ft.,Not Furnished,"Jogging Track, Playground, Barbeque area",Air-Cond,,Negeri Sembilan,Port Dickson,10/1/2025 15:36,109742659,,
RM 750 per month,"Apartment / Condominium, For rent",Apartment,2,1,668 sq.ft.,Not Furnished,"Lift, Playground, Minimart, Multipurpose hall",,"Jalan 1/125G, Taman Desa Petaling, Desa Petaling, Kuala Lumpur",Kuala Lumpur,Desa Petaling,10/1/2025 15:36,109742657,,
"RM 1,850 per month","House, For rent",Terraced House,4,3,1100 sq.ft.,Partially Furnished,,,,Selangor,Puchong,10/1/2025 15:36,109633853,,
"RM 1,500 per month","House, For rent",2-storey Terraced House,5,4,1800 sq.ft.,Fully Furnished,Parking,"Air-Cond, Cooking Allowed, Washing Machine",,Perak,Tapah,10/1/2025 15:35,109742637,,
RM 550 per month,"Apartment / Condominium, For rent",Apartment,1,1,350 sq.ft.,Not Furnished,"Minimart, Parking, Lift",,"Jalan Padang Tembak, Taman Ayer Itam, Ayer Itam, Penang",Penang,Ayer Itam,10/1/2025 15:35,109742633,,
RM 900 per month,"Apartment / Condominium, For rent",Condominium,1,1,20 sq.ft.,Fully Furnished,"Security, Parking, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Internet","Jalan Bestari, 15/2, Taman Nusa Bestari, Johor Bahru, Johor",Johor,Johor Bahru,10/1/2025 15:35,109742616,1.481822584,103.6657023
"RM 3,000 per month","Apartment / Condominium, For rent",Condominium,5,5,2598 sq.ft.,Not Furnished,"Club house, Security, Playground, Parking, Gymnasium, Lift, Swimming Pool, Tennis Court",,"Jalan Putra Prima Utama, Taman Putra Prima, Puchong, Selangor",Selangor,Puchong,10/1/2025 15:35,109066653,,
"RM 2,200 per month","House, For rent",Semi-Detached House,4,3,2500 sq.ft.,Fully Furnished,"Parking, Playground, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",,Penang,Nibong Tebal,10/1/2025 15:35,109742610,,
RM 950 per month,"Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Partially Furnished,"Parking, Playground, Security, Swimming Pool","Cooking Allowed, Near KTM/LRT","Off Laman Puteri 1, Puchong, Selangor",Selangor,Puchong,10/1/2025 15:35,109742392,,
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,2,926 sq.ft.,Fully Furnished,"Security, Minimart, Swimming Pool, Sauna, Gymnasium, Lift, Parking, Playground, Multipurpose hall, Barbeque area, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT","Jalan Lestari, Kampung Padang Tembak, Keramat, Kuala Lumpur",Kuala Lumpur,Keramat,10/1/2025 15:33,109708193,,
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,3,2,1065 sq.ft.,Partially Furnished,"Sauna, Minimart, Playground, Squash Court, Lift, Parking, Tennis Court, Security, Swimming Pool, Gymnasium, Barbeque area, Jogging Track","Air-Cond, Cooking Allowed","Jalan Lestari, Kampung Padang Tembak, Keramat, Kuala Lumpur",Kuala Lumpur,Keramat,10/1/2025 15:33,109506091,,
"RM 3,300 per month","Apartment / Condominium, For rent",Service Residence,1,2,633 sq.ft.,Fully Furnished,"Swimming Pool, Playground, Barbeque area, Multipurpose hall, Parking, Jogging Track, Security, Gymnasium, Lift, Sauna","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT","Persiaran Melati Kuarza, Sunway Montana, Ampang, Kuala Lumpur",Kuala Lumpur,Ampang,10/1/2025 15:33,109691678,,
"RM 2,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1018 sq.ft.,Fully Furnished,,,"Jalan Yaacob Latif,, Cheras, Kuala Lumpur",Kuala Lumpur,Cheras,10/1/2025 15:30,109633549,3.105179056,101.7249298
