monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,state,region,publishedDatetime,ads_id,latitude,longitude,address
"RM 1,400 per month","Apartment / Condominium, For rent",Apartment,3,2,700 sq.ft.,Partially Furnished,"Playground, Parking, Minimart, Security, Lift, Swimming Pool, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor,Subang Jaya,2025-01-27 08:30,109936631,3.0545625,101.5881394,"Jalan USJ 6/1, USJ 6, Subang Jaya, Selangor"
RM 800 per month,"Apartment / Condominium, For rent",Apartment,2,1,1 sq.ft.,Not Furnished,Parking,Cooking Allowed,Sarawak,Kuching,2025-01-27 08:30,109936630,,,"Off Jalan Batu Kawa, Bandar Baru Batu Kawa, Kuching, Sarawak"
"RM 2,900 per month","Apartment / Condominium, For rent",Service Residence,3,2,1000 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Lift, Multipurpose hall, Security, Playground",,Johor,Johor Bahru,2025-01-27 08:30,109936629,,,"Jalan Lingkaran Dalam, Yahya Awal, Johor Bahru, Johor"
"RM 1,000 per month","House, For rent",2-storey Terraced House,4,2,1400 sq.ft.,Not Furnished,,,Selangor,Bukit Beruntung,2025-01-27 08:30,109936620,,,
"RM 2,300 per month","House, For rent",Semi-Detached House,3,2,1 sq.ft.,Partially Furnished,Parking,"Air-Cond, Cooking Allowed",Sarawak,Kuching,2025-01-27 08:30,109086571,,,
"RM 1,200 per month","Apartment / Condominium, For rent",Service Residence,1,1,516 sq.ft.,Fully Furnished,"Security, Parking, Lift, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Sarawak,Kota Samarahan,2025-01-27 08:30,107270373,,,"The Summer Shopping Mall, Jalan Datuk Mohammad Musa, Kota Samarahan, Sarawak"
"RM 2,000 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Partially Furnished,,,Selangor,Putra Heights,2025-01-27 08:25,109936586,,,
"RM 1,800 per month","Apartment / Condominium, For rent",Apartment,3,2,957 sq.ft.,Fully Furnished,"Security, Gymnasium, Playground, Parking, Swimming Pool, Lift","Air-Cond, Washing Machine",Sarawak,Kuching,2025-01-27 08:25,109936558,,,"No.99, Lorong 22C1, Kampung Stutong Baru, Kuching, Sarawak"
"RM 1,600 per month","Apartment / Condominium, For rent",Studio,1,1,488 sq.ft.,Fully Furnished,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor,Petaling Jaya,2025-01-27 08:25,105599057,,,"Persiaran Barat, Off Jalan Timur, Petaling Jaya, Selangor"
"RM 2,200 per month","House, For rent",2-storey Terraced House,3,3,1500 sq.ft.,Partially Furnished,Parking,"Air-Cond, Cooking Allowed",Sarawak,Kuching,2025-01-27 08:22,109936679,,,
"RM 2,000 per month","House, For rent",3-storey Terraced House,6,4,1 sq.ft.,Fully Furnished,,,Sarawak,Kota Samarahan,2025-01-27 08:22,109936676,,,
"RM 1,600 per month","Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Fully Furnished,"Lift, Playground, Parking, Security","Air-Cond, Cooking Allowed, Washing Machine",Penang,Batu Kawan,2025-01-27 08:21,109439715,5.2504203,100.4334029,"Jalan Cassia Barat 1/1, Bandar Cassia, Batu Kawan, Penang"
"RM 1,850 per month","Apartment / Condominium, For rent",Apartment,2,1,850 sq.ft.,Partially Furnished,"Playground, Tennis Court, Swimming Pool, Barbeque area, Multipurpose hall, Parking, Security, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Johor,Johor Bahru,2025-01-27 08:21,109602603,1.4623036,103.7303918,"Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor"
"RM 2,500 per month","House, For rent",2-storey Terraced House,4,3,2000 sq.ft.,Not Furnished,,Cooking Allowed,Sarawak,Kuching,2025-01-27 08:21,109936664,,,
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,3,2,1018 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Lift, Security, Gymnasium, Playground",Cooking Allowed,Selangor,Shah Alam,2025-01-27 08:21,109936663,3.0888988,101.5413585,"Persiaran Sukan, Seksyen 13, Shah Alam, Selangor"
"RM 1,400 per month","Apartment / Condominium, For rent",Apartment,3,2,948 sq.ft.,Fully Furnished,"Parking, Security, Playground, Multipurpose hall, Lift","Air-Cond, Cooking Allowed, Washing Machine",Sarawak,Kuching,2025-01-27 08:21,109936662,,,"Off Jalan Daya, Bintawa, Kuching, Sarawak"
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,3,2,1152 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Security, Playground, Sauna, Tennis Court, Barbeque area, Multipurpose hall, Lift, Parking, Minimart, Jogging Track, Club house, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor,Puchong,2025-01-27 08:20,109036157,,,"Lake Side City, Puchong, Selangor"
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Partially Furnished,,,Selangor,Cheras,2025-01-27 08:15,109933991,,,"Jalan Cheras Intan, Taman Cheras Intan, Batu 9th Cheras, Cheras, Selangor"
"RM 2,000 per month","House, For rent",2-storey Terraced House,4,4,1540 sq.ft.,Partially Furnished,Parking,"Air-Cond, Cooking Allowed",Selangor,Shah Alam,2025-01-27 08:11,109811237,,,
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,3,2,1130 sq.ft.,Fully Furnished,"Swimming Pool, Parking, Minimart, Playground, Gymnasium, Security","Air-Cond, Cooking Allowed, Washing Machine",Selangor,Shah Alam,2025-01-27 08:11,109383074,3.05117124664421,101.53918998147002,"Jalan Singa F 20/F, Seksyen 20, Shah Alam, Selangor"
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Not Furnished,"Parking, Playground, Security, Lift",Cooking Allowed,Selangor,Kajang,2025-01-27 08:09,109574949,,,"Jalan Puncak Utama 2/7, Jade Hills, Kajang, Selangor"
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Not Furnished,"Parking, Lift, Barbeque area, Security, Swimming Pool, Gymnasium, Multipurpose hall, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor,Batu Caves,2025-01-27 08:08,109171734,3.2370255000017187,101.70282440085525,"Jalan Lingkaran Tengah 2, Batu Caves, Selangor"
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,720 sq.ft.,Partially Furnished,"Parking, Security, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor,Subang Jaya,2025-01-27 08:07,109936503,3.049134213653878,101.60180461245695,"Persiaran Subang Mewah, USJ 1, Subang Jaya, Selangor"
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1100 sq.ft.,Fully Furnished,"Security, Playground, Swimming Pool, Gymnasium, Tennis Court, Sauna, Parking, Barbeque area",,Penang,Tanjong Tokong,2025-01-27 08:00,109719046,,,"Jalan Tanjong Tokong, Kampung Masjid Bagan, Tanjong Tokong, Penang"
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,4,2,1257 sq.ft.,Partially Furnished,"Playground, Swimming Pool, Jogging Track, Barbeque area, Club house, Parking, Tennis Court, Lift, Sauna, Security, Gymnasium, Squash Court",,Selangor,Bandar Saujana Putra,2025-01-27 08:00,108345389,2.9447116631418795,101.58690436207732,"Jalan Saujana Putra, Bandar Saujana Putra, Selangor"
"RM 1,000 per month","Apartment / Condominium, For rent",Condominium,3,2,850 sq.ft.,Not Furnished,"Parking, Security, Barbeque area, Lift, Playground, Gymnasium, Swimming Pool, Multipurpose hall, Jogging Track, Squash Court","Air-Cond, Cooking Allowed, Internet",Selangor,Puncak Alam,2025-01-27 08:00,109668193,,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Fully Furnished,"Parking, Minimart",,Penang,Georgetown,2025-01-27 07:59,108930589,,,"No.1, Jalan Bukom, Kampung Makam, Georgetown, Penang"
"RM 1,750 per month","House, For rent",2-storey Terraced House,4,3,1490 sq.ft.,Not Furnished,"Parking, Security, Playground, Jogging Track","Air-Cond, Cooking Allowed, Internet",Selangor,Dengkil,2025-01-27 07:58,109276859,,,
"RM 1,300 per month","House, For rent",Townhouse,4,2,1185 sq.ft.,Partially Furnished,"Parking, Playground","Cooking Allowed, Washing Machine",Selangor,Bandar Saujana Putra,2025-01-27 07:58,108746452,,,
"RM 2,400 per month","Apartment / Condominium, For rent",Service Residence,3,2,810 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart",Cooking Allowed,Selangor,Shah Alam,2025-01-27 07:49,109861768,3.0889027,101.5450357,"Tadisma Business Park Seksyen 13, Shah Alam, Selangor"
"RM 1,600 per month","House, For rent",1.5-storey Terraced House,5,5,1800 sq.ft.,Fully Furnished,,,Selangor,Rawang,2025-01-27 07:47,109499727,,,
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1079 sq.ft.,Partially Furnished,"Parking, Security, Lift","Air-Cond, Cooking Allowed, Washing Machine",Penang,Ayer Itam,2025-01-27 07:45,109168650,,,"No.510, Jalan Abdullah Ariff, Kampung Baharu, Ayer Itam, Penang"
"RM 3,000 per month","House, For rent",Semi-Detached House,6,5,3772 sq.ft.,Partially Furnished,Security,Air-Cond,Selangor,Cheras,2025-01-27 07:42,109896462,,,
"RM 2,800 per month","House, For rent",Semi-Detached House,5,4,2400 sq.ft.,Not Furnished,,,Selangor,Bangi,2025-01-27 07:42,109919330,,,
"RM 2,200 per month","House, For rent",Bungalow House,5,4,4036 sq.ft.,Not Furnished,,,Selangor,Sepang,2025-01-27 07:42,109706541,,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,1010 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Gymnasium, Minimart","Air-Cond, Washing Machine, Cooking Allowed, Near KTM/LRT",Selangor,Bangi,2025-01-27 07:42,109499265,,,
RM 690 per month,"Apartment / Condominium, For rent",Flat,3,2,750 sq.ft.,Partially Furnished,"Parking, Playground, Security",Cooking Allowed,Selangor,Bandar Saujana Putra,2025-01-27 07:41,109850721,,,"Jalan SP4/1, Bandar Saujana Putra, Selangor"
"RM 1,700 per month","Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Fully Furnished,"Lift, Jogging Track, Playground, Tennis Court, Sauna, Swimming Pool, Barbeque area, Multipurpose hall, Parking, Minimart, Gymnasium, Security",,Penang,Gelugor,2025-01-27 07:39,109208924,5.356785,100.2923088,"Halaman Bukit Gambir, Sunway Bukit Gambier, Gelugor, Penang"
"RM 1,000 per month","Apartment / Condominium, For rent",Condominium,3,2,960 sq.ft.,Not Furnished,"Barbeque area, Playground, Gymnasium, Security, Parking, Jogging Track",,Penang,Sungai Nibong,2025-01-27 07:39,109849811,,,"Lengkok Nipah 3, Taman Jubilee, Sungai Nibong, Penang"
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,3,2,700 sq.ft.,Fully Furnished,"Gymnasium, Jogging Track, Playground, Barbeque area, Security, Swimming Pool, Tennis Court, Sauna, Parking",,Penang,Gelugor,2025-01-27 07:39,107800630,,,"No.50, Persiaran Minden 1, Gelugor, Penang"
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1200 sq.ft.,Partially Furnished,"Security, Gymnasium, Lift, Swimming Pool, Minimart, Playground, Squash Court, Jogging Track, Parking, Multipurpose hall",,Penang,Bayan Lepas,2025-01-27 07:39,108704009,,,"Jalan Sungai Tiram 8, Off Jalan Tun Dr Awang, Bayan Lepas, Penang"
RM 800 per month,"Apartment / Condominium, For rent",Apartment,3,2,1200 sq.ft.,Not Furnished,,Cooking Allowed,Pahang,Kuantan,2025-01-27 07:35,101376309,3.8163443569786524,103.29427743244901,"Lorong IM 8/8, Bandar Indera Mahkota, Kuantan, Pahang"
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,2,1,635 sq.ft.,Fully Furnished,"Gymnasium, Barbeque area, Parking, Playground, Minimart, Swimming Pool, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor,Sepang,2025-01-27 07:26,109936369,2.8364658389128827,101.70362403342274,"Persiaran Sunsuria, Sunsuria City, Sepang, Selangor"
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1100 sq.ft.,Partially Furnished,"Multipurpose hall, Minimart, Playground, Swimming Pool, Lift, Parking, Squash Court, Security",,Kuala Lumpur,Keramat,2025-01-27 07:20,109624961,3.1670359067989913,101.716308950237,"Jalan Gurney 2, Kampung Datuk Keramat, Keramat, Kuala Lumpur"
"RM 1,350 per month","Apartment / Condominium, For rent",Apartment,3,1,800 sq.ft.,Not Furnished,"Minimart, Parking, Playground","Air-Cond, Near KTM/LRT",Selangor,Subang Jaya,2025-01-27 07:20,109900239,3.054559785888284,101.58861814992017,"Jalan USJ 6/1, USJ 6, Subang Jaya, Selangor"
"RM 1,900 per month","Apartment / Condominium, For rent",Apartment,1,1,535 sq.ft.,Fully Furnished,"Security, Multipurpose hall, Lift, Parking, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Johor,Johor Bahru,2025-01-27 07:12,109750568,1.46394285,103.75037465,"Jalan Mahmoodiah, Kampung Mahmoddiah, Johor Bahru, Johor"
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,725 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Security",Air-Cond,Selangor,Batu Caves,2025-01-27 06:59,109336528,,,"Jalan 1/2d, Taman Sri Murni, Batu Caves, Selangor"
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,3,2,850 sq.ft.,Partially Furnished,"Playground, Swimming Pool, Barbeque area, Parking, Security, Lift, Gymnasium, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Sentul,2025-01-27 06:47,109601348,3.1980560190394356,101.69075198048738,"Jalan Sentul Pasar, Sentul, Kuala Lumpur"
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,3,2,1000 sq.ft.,Fully Furnished,"Gymnasium, Multipurpose hall, Playground, Swimming Pool, Barbeque area, Security, Club house",,Johor,Masai,2025-01-27 06:26,108980949,,,"Off JB East Coast Pkwy, Taman Sierra Perdana, Masai, Johor"
"RM 2,200 per month","Apartment / Condominium, For rent",Service Residence,3,2,1100 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Multipurpose hall, Sauna, Security",,Johor,Tebrau,2025-01-27 06:24,109884083,1.5258527846132788,103.76267029904562,"Jalan Pandan Ria 7, Tebrau, Johor"
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,1,1,680 sq.ft.,Fully Furnished,"Swimming Pool, Multipurpose hall, Gymnasium, Security, Sauna",,Johor,Tebrau,2025-01-27 06:24,109850330,1.5258527846132788,103.76267029904562,"Jalan Pandan Ria 7, Tebrau, Johor"
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,650 sq.ft.,Partially Furnished,"Security, Parking, Playground",,Selangor,Setia Alam,2025-01-27 05:40,109428941,3.1107310323994506,101.44828840773212,"Jalan Setia Murni U13/50, Seksyen U13, Setia Alam, Selangor"
RM 800 per month,"Apartment / Condominium, For rent",Apartment,3,2,650 sq.ft.,Not Furnished,"Playground, Parking, Security",,Selangor,Setia Alam,2025-01-27 05:40,109750524,3.1107310323994506,101.44828840773212,"Jalan Setia Murni U13/50, Seksyen U13, Setia Alam, Selangor"
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,1,1,501 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Selangor,Setia Alam,2025-01-27 05:25,109805385,3.1137264,101.4530429,"Jalan Setia Murni U13/51, Setia Alam, Selangor"
RM 850 per month,"Apartment / Condominium, For rent",Condominium,2,1,600 sq.ft.,Partially Furnished,"Gymnasium, Tennis Court, Multipurpose hall, Club house, Jogging Track, Parking, Playground, Swimming Pool, Squash Court, Security","Air-Cond, Cooking Allowed",Sabah,Telipok,2025-01-27 04:13,109437908,,,"Jalan Kayu Madang, Telipok, Sabah"
"RM 3,000 per month","Apartment / Condominium, For rent",Service Residence,2,2,678 sq.ft.,Partially Furnished,"Barbeque area, Gymnasium, Swimming Pool, Lift, Parking, Playground, Jogging Track, Multipurpose hall, Security",,Kuala Lumpur,Cheras,2025-01-27 03:38,109647357,,,"Jalan Peel, Sunway Velocity, Cheras, Kuala Lumpur"
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,2,2,630 sq.ft.,Fully Furnished,,,Selangor,Setia Alam,2025-01-27 03:37,109869312,3.1137264,101.4530429,"Jalan Setia Murni U13/51, Setia Alam, Selangor"
"RM 1,400 per month","House, For rent",2-storey Terraced House,4,3,2000 sq.ft.,Partially Furnished,,,Kedah,Kulim,2025-01-27 03:37,109658744,,,
"RM 1,299 per month","Apartment / Condominium, For rent",Apartment,2,1,600 sq.ft.,Fully Furnished,"Lift, Playground, Parking, Security, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine",Johor,Gelang Patah,2025-01-27 03:30,109936219,,,"Jalan Forest City, Forest City, Gelang Patah, Johor"
"RM 1,199 per month","Apartment / Condominium, For rent",Condominium,3,1,800 sq.ft.,Fully Furnished,"Parking, Gymnasium, Security, Swimming Pool, Playground, Lift","Air-Cond, Cooking Allowed, Washing Machine",Johor,Gelang Patah,2025-01-27 03:27,109936227,,,"Jalan Forest City - Lebuhraya Tanjung Pelepas, Gelang Patah, Johor"
"RM 2,200 per month","Apartment / Condominium, For rent",Service Residence,2,2,714 sq.ft.,Fully Furnished,"Swimming Pool, Sauna, Security, Tennis Court, Squash Court, Gymnasium, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine",Selangor,Petaling Jaya,2025-01-27 03:25,109936217,3.13043445,101.6272824577263,"No. 3 Jalan SS20/27, Petaling Jaya, Selangor"
RM 800 per month,"Apartment / Condominium, For rent",Condominium,2,1,600 sq.ft.,Partially Furnished,"Parking, Gymnasium, Security, Swimming Pool, Playground",,Johor,Gelang Patah,2025-01-27 03:22,109936225,,,"Jalan Forest City - Lebuhraya Tanjung Pelepas, Gelang Patah, Johor"
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,1,700 sq.ft.,Fully Furnished,"Lift, Playground, Parking, Security, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine",Johor,Gelang Patah,2025-01-27 03:10,109936216,,,"Jalan Forest City, Forest City, Gelang Patah, Johor"
"RM 3,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1400 sq.ft.,Fully Furnished,"Lift, Security, Minimart, Playground, Barbeque area, Sauna, Swimming Pool, Gymnasium, Jogging Track, Parking",,Penang,Gelugor,2025-01-27 03:09,109936215,,,"Lebuh Tunku Kudin 3, Gelugor, Penang"
"RM 1,399 per month","Apartment / Condominium, For rent",Service Residence,1,1,600 sq.ft.,Fully Furnished,"Minimart, Gymnasium, Parking, Jogging Track, Lift, Multipurpose hall, Security, Swimming Pool, Barbeque area, Playground","Air-Cond, Cooking Allowed",Johor,Tampoi,2025-01-27 03:05,109936214,,,"Jalan Bukit Aliff Utama, Taman Damansara Aliff, Tampoi, Johor"
"RM 1,650 per month","Apartment / Condominium, For rent",Condominium,3,2,1030 sq.ft.,Partially Furnished,"Lift, Playground, Swimming Pool, Barbeque area, Parking, Gymnasium, Jogging Track, Security, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Bukit Jalil,2025-01-27 03:02,109768303,,,"Jalan Impian Indah, Bukit Jalil, Kuala Lumpur"
"RM 5,500 per month","House, For rent",Bungalow House,6,5,26000 sq.ft.,Partially Furnished,,,Perak,Ipoh,2025-01-27 02:50,109936198,,,
"RM 6,500 per month","Apartment / Condominium, For rent",Condominium,3,3,2146 sq.ft.,Fully Furnished,"Gymnasium, Tennis Court, Multipurpose hall, Playground, Barbeque area, Club house, Security, Swimming Pool, Jogging Track",,Penang,Tanjong Tokong,2025-01-27 02:50,109936196,,,"Lorong Seri Tanjung Pinang, Off Jalan Seri Tanjung Pinang, Tanjong Tokong, Penang"
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,3,2,883 sq.ft.,Fully Furnished,"Sauna, Gymnasium, Multipurpose hall, Playground, Parking, Swimming Pool, Jogging Track, Lift, Barbeque area, Security","Air-Cond, Cooking Allowed, Washing Machine, Internet",Penang,Batu Kawan,2025-01-27 02:35,94918153,5.237960493379715,100.44254461590995,"Lebuhraya Bandar Cassia, Batu Kawan, Penang"
"RM 1,400 per month","Apartment / Condominium, For rent",Apartment,3,2,813 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Parking, Security, Lift",,Selangor,Seri Kembangan,2025-01-27 02:30,109936184,3.0263145662717537,101.68032080367745,"Persiaran Puncak Jalil 2, Taman Puncak Jalil, Seri Kembangan, Selangor"
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor,Puchong,2025-01-27 02:28,109936192,,,"Jalan Desa Millennia 2, Taman Puchong Perdana, Puchong, Selangor"
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,3,2,746 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Security, Playground, Lift","Air-Cond, Near KTM/LRT",Kuala Lumpur,Cheras,2025-01-27 02:28,109936191,3.0986044534155077,101.71434410230317,"Jalan Tasik Permaisuri 3, Bandar Sri Permaisuri, Cheras, Cheras, Kuala Lumpur"
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,1,1,547 sq.ft.,Fully Furnished,"Security, Playground, Gymnasium, Parking, Swimming Pool, Lift","Near KTM/LRT, Air-Cond, Washing Machine, Cooking Allowed, Internet",Kuala Lumpur,City Centre,2025-01-27 02:22,109936188,,,"Jalan Tun Razak, Imbi, City Centre, Kuala Lumpur"
"RM 4,000 per month","Apartment / Condominium, For rent",Service Residence,2,2,826 sq.ft.,Fully Furnished,"Swimming Pool, Parking, Security, Gymnasium, Sauna, Multipurpose hall, Jogging Track, Playground, Barbeque area, Lift",,Kuala Lumpur,KL Sentral,2025-01-27 01:48,109936174,,,"Jalan Tun Sambanthan, Off Jalan Syed Putra, KL Sentral, Kuala Lumpur"
RM 850 per month,"Apartment / Condominium, For rent",Others,2,2,1561 sq.ft.,Partially Furnished,"Minimart, Parking","Cooking Allowed, Washing Machine",Johor,Kulai,2025-01-27 01:45,109936156,,,
"RM 2,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1325 sq.ft.,Fully Furnished,"Gymnasium, Lift, Parking, Playground, Security, Barbeque area, Multipurpose hall, Swimming Pool, Minimart","Air-Cond, Near KTM/LRT",Kuala Lumpur,Setiawangsa,2025-01-27 01:43,109936168,,,"Jalan Jelatek, Off Jalan Ampang, Setiawangsa, Kuala Lumpur"
"RM 1,200 per month","House, For rent",2-storey Terraced House,3,2,1500 sq.ft.,Partially Furnished,Parking,,Sabah,Sandakan,2025-01-27 01:35,109936146,,,
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,3,2,904 sq.ft.,Partially Furnished,"Jogging Track, Swimming Pool, Multipurpose hall, Playground, Lift, Parking, Security, Gymnasium, Barbeque area",,Selangor,Setia Alam,2025-01-27 01:33,109574294,,,"Jalan Setia Dagang AL U13/AL, Setia Alam, Selangor"
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,1,1,486 sq.ft.,Fully Furnished,"Parking, Jogging Track, Security, Swimming Pool, Gymnasium, Tennis Court, Sauna, Multipurpose hall, Lift",,Selangor,Setia Alam,2025-01-27 01:33,109647024,,,"Jalan Setia Dagang AH U13/AH, Setia City, Setia Alam, Selangor"
"RM 1,450 per month","Apartment / Condominium, For rent",Service Residence,2,2,791 sq.ft.,Partially Furnished,"Parking, Jogging Track, Security, Swimming Pool, Gymnasium, Tennis Court, Sauna, Multipurpose hall, Lift",,Selangor,Setia Alam,2025-01-27 01:33,109689663,,,"Jalan Setia Dagang AH U13/AH, Setia City, Setia Alam, Selangor"
