monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,state,region,publishedDatetime,ads_id,latitude,longitude,address
RM 750 per month,"House, For rent",1-storey Terraced House,3,2,1200 sq.ft.,Not Furnished,"Parking, Playground, Minimart",Near KTM/LRT,Johor,Segamat,2025-01-27 08:37,109936736,,,
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,650 sq.ft.,Partially Furnished,"Jogging Track, Security, Playground, Parking, Minimart",Cooking Allowed,Selangor,Kajang,2025-01-27 08:37,109936735,,,"Jalan Puncak Utama 2/7, Jade Hills, Kajang, Selangor"
RM 950 per month,"House, For rent",Terraced House,2,3,1350 sq.ft.,Partially Furnished,"Parking, Playground","Cooking Allowed, Near KTM/LRT, Washing Machine, Air-Cond",Negeri Sembilan,Senawang,2025-01-27 08:36,109936730,,,
"RM 2,500 per month","House, For rent",2-storey Terraced House,4,4,2458 sq.ft.,Not Furnished,"Parking, Security, Playground","Internet, Cooking Allowed",Negeri Sembilan,Bandar Sri Sendayan,2025-01-27 08:36,109936729,,,
"RM 1,800 per month","Apartment / Condominium, For rent",Apartment,3,2,957 sq.ft.,Fully Furnished,"Lift, Parking, Security, Swimming Pool, Gymnasium, Playground",,Sarawak,Kuching,2025-01-27 08:35,109936658,,,"No.99, Lorong 22C1, Kampung Stutong Baru, Kuching, Sarawak"
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,2,2,1200 sq.ft.,Fully Furnished,"Parking, Jogging Track, Sauna, Security, Swimming Pool, Gymnasium, Barbeque area, Playground, Club house",,Penang,Georgetown,2025-01-27 08:35,109936656,,,"Jalan Timah, Off Kampung Jawa Baru, Georgetown, Penang"
"RM 2,100 per month","Apartment / Condominium, For rent",Townhouse Condo,4,4,2343 sq.ft.,Partially Furnished,"Multipurpose hall, Parking, Jogging Track, Security, Playground","Air-Cond, Cooking Allowed",Selangor,Shah Alam,2025-01-27 08:30,109824326,3.143527137838127,101.50283364307582,"Jalan Hijau Pelangi U9/55, Shah Alam, Selangor"
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1200 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Gymnasium","Air-Cond, Cooking Allowed",Selangor,Shah Alam,2025-01-27 08:30,109604658,3.0775004082386106,101.4886513916369,"Jalan Kristal 7/70G, Section 7, Shah Alam, Selangor"
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1009 sq.ft.,Partially Furnished,"Parking, Security, Swimming Pool, Barbeque area, Playground, Jogging Track, Lift, Gymnasium, Sauna","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur,Bukit Jalil,2025-01-27 08:30,109936603,,,"Jalan Impian Indah, Bukit Jalil, Kuala Lumpur"
"RM 1,550 per month","Apartment / Condominium, For rent",Service Residence,3,2,1000 sq.ft.,Fully Furnished,"Playground, Parking, Security, Swimming Pool, Minimart, Multipurpose hall, Jogging Track, Squash Court, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,OUG,2025-01-27 08:30,109936645,,,"Jalan 1/152, Off Jalan Puchong, OUG, Kuala Lumpur"
