monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,state,region,publishedDatetime,ads_id,latitude,longitude,address
"RM 4,500 per month","House, For rent",2-storey Terraced House,4,3,1430 sq.ft.,Partially Furnished,Security,"Air-Cond, Cooking Allowed",Johor,Iskandar Puteri,2025-01-13 07:56,109547117,,,
"RM 3,500 per month","House, For rent",Bungalow House,5,4,4251 sq.ft.,Fully Furnished,Parking,"Air-Cond, Cooking Allowed, Washing Machine",Melaka,Bukit Baru,2025-01-13 07:55,109427516,,,
"RM 1,900 per month","Apartment / Condominium, For rent",Service Residence,3,2,910 sq.ft.,Partially Furnished,"Playground, Barbeque area, Parking, Gymnasium, Jogging Track, Lift, Swimming Pool, Multipurpose hall, Security","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor,Puchong,2025-01-13 07:52,109591935,,,"Jalan Meranti Jaya 13, Taman Meranti Jaya, Puchong, Selangor"
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,2,1,900 sq.ft.,Fully Furnished,"Lift, Parking, Security, Swimming Pool, Playground, Gymnasium, Minimart, Club house, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Johor,Gelang Patah,2025-01-13 07:39,109736713,,,"Jalan Forest City, Forest City, Gelang Patah, Johor"
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,2,1,900 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Security, Gymnasium, Lift, Minimart, Club house, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Johor,Gelang Patah,2025-01-13 07:39,109694962,,,"Jalan Forest City - Lebuhraya Tanjung Pelepas, Gelang Patah, Johor"
"RM 2,800 per month","Apartment / Condominium, For rent",Service Residence,3,2,1500 sq.ft.,Fully Furnished,"Club house, Sauna, Swimming Pool, Gymnasium, Lift, Parking, Security",,Penang,Gelugor,2025-01-13 07:35,109674025,,,"Persiaran Bukit Gambir, Gelugor, Penang"
"RM 4,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1087 sq.ft.,Fully Furnished,"Swimming Pool, Security, Lift, Playground, Parking, Gymnasium, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Penang,Bayan Lepas,2025-01-13 07:35,109740583,,,"Persiaran Mahsuri, Off Jalan Tun Dr Awang, Bayan Lepas, Penang"
"RM 3,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1580 sq.ft.,Fully Furnished,"Swimming Pool, Multipurpose hall, Club house, Parking, Gymnasium, Security, Playground, Squash Court, Tennis Court, Lift","Air-Cond, Cooking Allowed, Washing Machine",Penang,Bayan Lepas,2025-01-13 07:35,109744150,,,"Off Persiaran Byan Indah, Bayan Lepas, Penang"
"RM 2,100 per month","Apartment / Condominium, For rent",Apartment,2,2,950 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Johor,Johor Bahru,2025-01-13 07:33,109565704,,,"Off Lebuh Skudai, Johor Bahru, Johor"
"RM 1,800 per month","Apartment / Condominium, For rent",Apartment,2,1,850 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Security, Multipurpose hall, Gymnasium, Lift, Playground, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Johor,Johor Bahru,2025-01-13 07:32,109444055,,,"Off Lebuh Skudai, Johor Bahru, Johor"
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1120 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Security, Minimart, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kelantan,Kota Bharu,2025-01-13 07:29,108726058,,,"Jalan Post Office Lama, Bandar Kota Bharu, Kota Bharu, Kelantan"
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,901 sq.ft.,Fully Furnished,"Jogging Track, Barbeque area, Swimming Pool, Multipurpose hall, Parking, Security, Gymnasium, Lift",,Penang,Simpang Ampat,2025-01-13 07:26,109769409,,,"Jalan Eco Meadows Off Jalan Paboi, Simpang Ampat, Penang"
"RM 2,200 per month","House, For rent",2-storey Terraced House,4,3,1650 sq.ft.,Fully Furnished,"Parking, Security, Playground","Air-Cond, Cooking Allowed, Washing Machine, Internet",Selangor,Sepang,2025-01-13 07:22,109720580,,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,1010 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Gymnasium, Minimart","Air-Cond, Washing Machine, Cooking Allowed, Near KTM/LRT",Selangor,Bangi,2025-01-13 07:21,109499265,,,
"RM 2,050 per month","House, For rent",2-storey Terraced House,7,5,3970 sq.ft.,Partially Furnished,,Air-Cond,Selangor,Kajang,2025-01-13 07:21,109706540,,,
RM 800 per month,"Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Not Furnished,"Security, Playground, Lift, Swimming Pool, Barbeque area, Parking",,Selangor,Kajang,2025-01-13 07:21,109297973,2.985909050949264,101.81004839854567,"Jalan Damai Mewah 2, Taman Damai Mewah, Kajang, Selangor"
