monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,state,region,publishedDatetime,ads_id,latitude,longitude,address
"RM 1,350 per month","Apartment / Condominium, For rent",Condominium,3,1,900 sq.ft.,Fully Furnished,"Gymnasium, Security, Playground, Parking, Swimming Pool, Minimart, Jogging Track, Club house","Air-Cond, Cooking Allowed, Washing Machine",Johor,Gelang Patah,2025-01-13 07:20,109453486,,,"Jalan Forest City - Lebuhraya Tanjung Pelepas, Gelang Patah, Johor"
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,2,1,900 sq.ft.,Fully Furnished,"Security, Lift, Playground, Swimming Pool, Gymnasium, Minimart, Club house, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Johor,Gelang Patah,2025-01-13 07:20,109459873,,,"Jalan Forest City, Forest City, Gelang Patah, Johor"
"RM 1,900 per month","House, For rent",2-storey Terraced House,4,3,1360 sq.ft.,Fully Furnished,,Air-Cond,Selangor,Kajang,2025-01-13 07:02,109741478,,,
"RM 1,600 per month","House, For rent",1-storey Terraced House,3,2,3600 sq.ft.,Not Furnished,,,Putrajaya,Putrajaya,2025-01-13 07:02,109718005,,,
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,940 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Barbeque area, Playground, Security",,Kuala Lumpur,Kepong,2025-01-13 07:01,109336556,,,"Jalan Aman, Desa Aman Puri, Kepong, Kuala Lumpur"
RM 900 per month,"Apartment / Condominium, For rent",Service Residence,1,1,400 sq.ft.,Fully Furnished,"Club house, Parking, Security, Playground","Air-Cond, Cooking Allowed, Washing Machine",Johor,Gelang Patah,2025-01-13 06:55,109769393,,,"Off Jalan Forest City-Lebuhraya Tanjung Pelepas, Forest City, Gelang Patah, Johor"
"RM 1,650 per month","House, For rent",2-storey Terraced House,4,3,1420 sq.ft.,Partially Furnished,,,Selangor,Puncak Alam,2025-01-13 06:50,109769398,,,
"RM 1,900 per month","Apartment / Condominium, For rent",Apartment,3,2,1300 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Security, Parking, Lift, Multipurpose hall, Minimart, Gymnasium, Barbeque area, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Johor,Gelang Patah,2025-01-13 06:49,109769397,,,"Jalan Forest City, Forest City, Gelang Patah, Johor"
"RM 1,000 per month","Apartment / Condominium, For rent",Condominium,1,1,550 sq.ft.,Fully Furnished,"Lift, Minimart, Swimming Pool, Security, Parking","Cooking Allowed, Near KTM/LRT, Air-Cond",Selangor,Cyberjaya,2025-01-13 06:40,107769561,2.9368967,101.66141285261833,"Jalan Teknokrat 1/1, Cyberjaya, Selangor"
"RM 1,000 per month","Apartment / Condominium, For rent",Service Residence,1,1,450 sq.ft.,Fully Furnished,"Multipurpose hall, Security, Gymnasium, Playground, Swimming Pool, Parking, Lift, Minimart","Cooking Allowed, Near KTM/LRT, Washing Machine, Air-Cond",Selangor,Kajang,2025-01-13 06:39,109315520,2.9361851156877457,101.7970071344437,"Jalan Ilmiah, Kajang, Selangor"
"RM 3,100 per month","Apartment / Condominium, For rent",Condominium,3,2,1098 sq.ft.,Fully Furnished,"Playground, Security, Barbeque area, Parking, Swimming Pool, Gymnasium, Tennis Court, Lift, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Penang,Bayan Lepas,2025-01-13 06:37,109090200,,,"Persiaran Mahsuri, Off Jalan Tun Dr Awang, Bayan Lepas, Penang"
"RM 6,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1550 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Parking, Security, Lift, Playground, Barbeque area, Sauna, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Penang,Bayan Lepas,2025-01-13 06:35,108786962,5.337461530991244,100.30997834479288,"Persiaran Bayan Indah 2, Bayan Lepas, Penang"
"RM 1,399 per month","Apartment / Condominium, For rent",Service Residence,1,1,300 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Gymnasium, Lift, Parking, Security, Minimart",,Selangor,Subang Jaya,2025-01-13 06:30,109769387,3.057936412611627,101.60190172467624,"Persiaran Subang Permai, Subang Jaya, Selangor"
"RM 2,600 per month","House, For rent",Cluster House,2,2,2034 sq.ft.,Fully Furnished,"Parking, Security, Playground","Air-Cond, Cooking Allowed, Washing Machine",Johor,Gelang Patah,2025-01-13 06:28,109769390,,,
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,3,2,901 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Gymnasium, Security, Jogging Track, Multipurpose hall, Lift, Barbeque area",,Penang,Simpang Ampat,2025-01-13 06:25,109769384,,,"Jalan Eco Meadows Off Jalan Paboi, Simpang Ampat, Penang"
"RM 1,200 per month","House, For rent",2-storey Terraced House,3,1,800 sq.ft.,Partially Furnished,"Parking, Playground",Cooking Allowed,Johor,Ulu Tiram,2025-01-13 06:20,109689988,,,
"RM 1,300 per month","House, For rent",1-storey Terraced House,3,3,1400 sq.ft.,Not Furnished,,,Selangor,Kajang,2025-01-13 06:18,109650330,,,
"RM 1,099 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Not Furnished,"Multipurpose hall, Security, Minimart, Parking",,Kuala Lumpur,Bukit Jalil,2025-01-13 06:09,109769383,3.0606221782984746,101.66792375695547,"Jalan 17/155c, Bukit Jalil, Kuala Lumpur"
"RM 1,799 per month","Apartment / Condominium, For rent",Condominium,3,2,1200 sq.ft.,Fully Furnished,"Parking, Security, Gymnasium, Lift, Swimming Pool, Tennis Court, Playground",,Kuala Lumpur,Bangsar South,2025-01-13 06:07,109769382,,,"Jalan Pantai Murni 1, Bukit Kerinchi, Bangsar South, Kuala Lumpur"
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,3,2,916 sq.ft.,Partially Furnished,"Playground, Gymnasium, Parking, Security, Swimming Pool, Barbeque area, Multipurpose hall",,Selangor,Batu Caves,2025-01-13 06:05,108207271,,,"Jalan SH 1/3, Off Persiaran Selayang Heights, Batu Caves, Selangor"
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,950 sq.ft.,Not Furnished,"Parking, Security, Lift, Playground, Multipurpose hall",Cooking Allowed,Selangor,Sepang,2025-01-13 06:02,109769381,,,
"RM 1,500 per month","Apartment / Condominium, For rent",Apartment,3,2,950 sq.ft.,Fully Furnished,"Playground, Club house, Parking, Security, Swimming Pool, Gymnasium, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Johor,Gelang Patah,2025-01-13 05:42,109769371,,,"Persisiran Juragan, Kampung Paya Mengkuang, Gelang Patah, Johor"
"RM 1,800 per month","House, For rent",2-storey Terraced House,4,3,2000 sq.ft.,Partially Furnished,,,Selangor,Bandar Sungai Long,2025-01-13 05:39,109769347,,,
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,700 sq.ft.,Not Furnished,"Tennis Court, Playground, Swimming Pool, Barbeque area, Parking, Security, Minimart, Lift",Cooking Allowed,Penang,Relau,2025-01-13 05:14,109689086,5.331575278107223,100.27701656456263,"Hilir Paya Terubong 1, Relau, Penang"
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,3,2,941 sq.ft.,Fully Furnished,"Security, Parking",,Selangor,Kajang,2025-01-13 05:04,108005454,2.986523860939238,101.7935705324586,"Jalan Bukit Mewah 31, Taman Bukit Mewah, Kajang, Selangor"
RM 950 per month,"Apartment / Condominium, For rent",Apartment,3,2,810 sq.ft.,Partially Furnished,"Parking, Security",,Selangor,Semenyih,2025-01-13 04:44,109325828,2.922950469162594,101.85062415220165,"Jalan Ecohill 1/2, Setia Ecohill, Semenyih, Selangor"
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,736 sq.ft.,Partially Furnished,,,Selangor,Shah Alam,2025-01-13 04:43,109478681,3.0624201,101.5212081,"Kemuning, Shah Alam, Selangor"
"RM 3,500 per month","Apartment / Condominium, For rent",Condominium,2,1,566 sq.ft.,Fully Furnished,"Playground, Lift, Sauna, Swimming Pool, Gymnasium, Security, Parking, Barbeque area, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,Ampang Hilir,2025-01-13 04:30,109769343,3.159943454869701,101.74319483654779,"Jalan Ampang, Ampang Hilir, Kuala Lumpur"
"RM 1,799 per month","House, For rent",2-storey Terraced House,4,3,2100 sq.ft.,Fully Furnished,,,Selangor,Semenyih,2025-01-13 04:29,109143969,,,
"RM 1,199 per month","House, For rent",2-storey Terraced House,4,3,2100 sq.ft.,Not Furnished,,,Selangor,Semenyih,2025-01-13 04:29,108843935,,,
"RM 1,699 per month","House, For rent",2-storey Terraced House,4,3,2100 sq.ft.,Partially Furnished,,,Selangor,Semenyih,2025-01-13 04:29,108756987,,,
"RM 2,999 per month","House, For rent",Bungalow House,6,5,4000 sq.ft.,Fully Furnished,,,Selangor,Semenyih,2025-01-13 04:29,108604071,,,
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,802 sq.ft.,Not Furnished,"Playground, Lift, Multipurpose hall, Parking, Security","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Kepong,2025-01-13 04:14,109704861,3.214670172578044,101.64234795766605,"Jalan Metro Perdana Barat, Taman Usahawan Kepong, Kepong, Kuala Lumpur"
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,3,2,862 sq.ft.,Partially Furnished,"Barbeque area, Security, Swimming Pool, Multipurpose hall, Lift, Playground, Gymnasium, Parking, Squash Court, Tennis Court, Sauna","Cooking Allowed, Air-Cond, Washing Machine, Internet, Near KTM/LRT",Kuala Lumpur,Jalan Kuching,2025-01-13 04:14,108734550,,,"Jalan 1/42, Off Jalan Kuching, Jalan Kuching, Kuala Lumpur"
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,2,2,866 sq.ft.,Partially Furnished,"Parking, Minimart, Playground, Barbeque area, Multipurpose hall, Swimming Pool, Gymnasium, Security, Tennis Court, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,Kepong,2025-01-13 04:13,109701972,3.20972245,101.65074605000001,"Jalan Kepong, Kepong, Kuala Lumpur"
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,850 sq.ft.,Fully Furnished,"Lift, Parking, Barbeque area, Swimming Pool, Security, Multipurpose hall, Playground","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Segambut,2025-01-13 04:13,109759131,3.174307888083121,101.66263919884254,"Jalan Duta Kiara, Segambut, Kuala Lumpur"
"RM 2,400 per month","Apartment / Condominium, For rent",Service Residence,4,2,1351 sq.ft.,Partially Furnished,"Security, Minimart, Playground, Parking, Gymnasium, Jogging Track, Lift, Swimming Pool, Barbeque area, Multipurpose hall, Squash Court, Tennis Court, Club house, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor,Shah Alam,2025-01-13 04:12,109668747,,,"Off Persiaran Dato Menteri, Vista Alam, Seksyen 14, Shah Alam, Selangor"
"RM 3,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1500 sq.ft.,Fully Furnished,"Gymnasium, Minimart, Swimming Pool, Security, Jogging Track, Sauna, Tennis Court, Squash Court, Playground, Barbeque area, Parking",Cooking Allowed,Kuala Lumpur,Mont Kiara,2025-01-13 03:38,109259884,3.165439019807259,101.65251396251233,"20, Jalan Kiara, Mont Kiara, Mont Kiara, Kuala Lumpur"
"RM 1,980 per month","House, For rent",3-storey Terraced House,3,4,2100 sq.ft.,Not Furnished,"Parking, Playground, Jogging Track",,Sabah,Papar,2025-01-13 03:37,108881448,,,
"RM 1,000 per month","House, For rent",Terraced House,3,3,1000 sq.ft.,Not Furnished,"Parking, Playground, Jogging Track",,Sabah,Papar,2025-01-13 03:37,101450904,,,
RM 650 per month,"Apartment / Condominium, For rent",Apartment,3,1,600 sq.ft.,Partially Furnished,Minimart,"Cooking Allowed, Near KTM/LRT",Selangor,Seri Kembangan,2025-01-13 03:21,109769335,,,"Jalan LP 7/2, Lestari Perdana, Seri Kembangan, Selangor"
"RM 1,600 per month","Apartment / Condominium, For rent",Apartment,3,2,924 sq.ft.,Partially Furnished,"Parking, Security","Air-Cond, Cooking Allowed",Kuala Lumpur,Desa Pandan,2025-01-13 03:10,109769331,,,"Jalan 5/76a, Off Jalan Kampung Pandan, Desa Pandan, Kuala Lumpur"
"RM 1,350 per month","Apartment / Condominium, For rent",Service Residence,3,2,1109 sq.ft.,Fully Furnished,"Club house, Parking, Swimming Pool, Security, Minimart, Gymnasium, Lift, Multipurpose hall","Air-Cond, Washing Machine, Cooking Allowed",Selangor,Selayang,2025-01-13 03:06,109769332,,,"Emerald Avenue, Off Lebuhraya Selayang - Kepong, Selayang, Selangor"
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,1,1,700 sq.ft.,Fully Furnished,"Barbeque area, Security, Playground, Gymnasium, Lift, Parking, Swimming Pool, Sauna, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Selangor,Cyberjaya,2025-01-13 03:05,109769328,,,"Off Persiaran Bestari, Symphony Hills, Cyber 9, Cyberjaya, Selangor"
"RM 1,050 per month","Apartment / Condominium, For rent",Service Residence,5,2,1200 sq.ft.,Fully Furnished,"Swimming Pool, Security, Parking, Gymnasium, Lift, Playground, Multipurpose hall","Air-Cond, Near KTM/LRT, Washing Machine, Internet, Cooking Allowed",Selangor,Seri Kembangan,2025-01-13 02:56,109727291,,,"Jalan Atmosphere Utama 2, Off Jalan Putra Permai, Seri Kembangan, Selangor"
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,1100 sq.ft.,Not Furnished,"Swimming Pool, Lift, Security, Playground, Parking",Cooking Allowed,Selangor,Klang,2025-01-13 02:55,109769322,,,"Jalan Temenggung 19, Off Jalan Sungai Jati, Klang, Selangor"
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,2,2,780 sq.ft.,Fully Furnished,"Security, Gymnasium, Swimming Pool, Multipurpose hall, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor,Shah Alam,2025-01-13 02:50,109769321,3.0647791269756985,101.48606686973181,"Jalan Plumbum 7/102, Shah Alam, Selangor"
"RM 2,000 per month","House, For rent",2-storey Terraced House,4,3,2450 sq.ft.,Not Furnished,,,Selangor,Bandar Botanic,2025-01-13 02:50,109769300,,,
"RM 1,100 per month","Apartment / Condominium, For rent",Condominium,1,1,450 sq.ft.,Partially Furnished,"Parking, Barbeque area, Swimming Pool, Playground, Gymnasium, Security, Sauna, Lift, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed",Selangor,Cyberjaya,2025-01-13 02:40,109674098,2.9192110500000004,101.6505196,"Lingkaran Cyber Point Timur, Cyberjaya, Selangor"
"RM 1,350 per month","Apartment / Condominium, For rent",Condominium,3,2,1205 sq.ft.,Partially Furnished,"Security, Lift, Swimming Pool, Playground, Gymnasium, Parking","Air-Cond, Cooking Allowed",Penang,Bukit Mertajam,2025-01-13 02:33,109635016,,,
"RM 1,650 per month","House, For rent",Semi-Detached House,4,2,4122 sq.ft.,Partially Furnished,Parking,Air-Cond,Melaka,Merlimau,2025-01-13 02:30,109769281,,,
"RM 1,600 per month","Apartment / Condominium, For rent",Apartment,3,3,1022 sq.ft.,Fully Furnished,"Jogging Track, Parking, Security, Lift, Playground, Tennis Court, Multipurpose hall",,Selangor,Bandar Saujana Putra,2025-01-13 02:28,109769290,,,
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,2,1,800 sq.ft.,Fully Furnished,"Lift, Barbeque area, Multipurpose hall, Security, Gymnasium, Playground, Swimming Pool, Parking, Tennis Court","Cooking Allowed, Washing Machine, Air-Cond",Johor,Johor Bahru,2025-01-13 02:21,109720257,1.4676996579290054,103.7249724411857,"Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor"
"RM 1,900 per month","Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Club house, Multipurpose hall, Security, Playground, Lift, Parking","Cooking Allowed, Washing Machine, Air-Cond",Johor,Johor Bahru,2025-01-13 02:21,109689783,,,"Jalan Baiduri 1, Taman Baiduri, Off Jalan Persisiran Perling 1, Johor Bahru, Johor"
"RM 1,350 per month","Apartment / Condominium, For rent",Condominium,3,2,1205 sq.ft.,Partially Furnished,"Parking, Playground, Gymnasium, Jogging Track, Barbeque area, Security, Swimming Pool, Multipurpose hall","Air-Cond, Cooking Allowed",Penang,Bukit Mertajam,2025-01-13 02:13,109635056,5.349161810280734,100.4583923875896,"Jalan Lembah Permai 2, Bukit Mertajam, Penang"
"RM 4,500 per month","House, For rent",2-storey Terraced House,5,4,1800 sq.ft.,Fully Furnished,,"Air-Cond, Cooking Allowed, Washing Machine",Penang,Batu Kawan,2025-01-13 02:12,109638310,,,
"RM 1,700 per month","Apartment / Condominium, For rent",Condominium,4,2,1142 sq.ft.,Not Furnished,"Sauna, Security, Playground, Gymnasium, Minimart, Lift, Parking, Swimming Pool",Cooking Allowed,Kuala Lumpur,Cheras,2025-01-13 02:10,109720555,3.0990688000000004,101.7177863,"Jalan Tasik Permaisuri 2, Bandar Tun Razak, Cheras, Kuala Lumpur"
"RM 2,100 per month","Apartment / Condominium, For rent",Condominium,2,2,900 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Security, Playground, Gymnasium, Tennis Court, Lift, Multipurpose hall","Cooking Allowed, Washing Machine, Air-Cond",Johor,Johor Bahru,2025-01-13 02:10,109769261,1.4676996579290054,103.7249724411857,"Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor"
"RM 2,800 per month","Apartment / Condominium, For rent",Condominium,3,3,1100 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Security, Playground, Gymnasium, Tennis Court, Lift, Multipurpose hall","Cooking Allowed, Washing Machine, Air-Cond",Johor,Johor Bahru,2025-01-13 02:10,109769257,1.4676996579290054,103.7249724411857,"Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor"
"RM 1,000 per month","Apartment / Condominium, For rent",Service Residence,1,1,400 sq.ft.,Fully Furnished,"Swimming Pool, Parking, Playground, Gymnasium, Lift, Security, Minimart",,Selangor,Subang Jaya,2025-01-13 02:05,109769253,3.057936412611627,101.60190172467624,"Persiaran Subang Permai, Subang Jaya, Selangor"
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,1,1,450 sq.ft.,Fully Furnished,"Sauna, Multipurpose hall, Security, Gymnasium, Tennis Court, Jogging Track, Parking, Minimart, Playground, Swimming Pool, Lift","Cooking Allowed, Washing Machine, Air-Cond",Johor,Johor Bahru,2025-01-13 02:01,109692458,1.5472139532473548,103.78789878770715,"Jalan Mutiara Emas 9/23, Taman Mount Austin, Johor Bahru, Johor"
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Fully Furnished,"Gymnasium, Playground, Swimming Pool, Lift, Multipurpose hall, Security, Parking, Tennis Court","Washing Machine, Cooking Allowed, Air-Cond",Johor,Johor Bahru,2025-01-13 02:01,109675174,1.4676996579290054,103.7249724411857,"Persiaran Danga Perdana, Danga Bay, Johor Bahru, Johor"
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,2,2,800 sq.ft.,Partially Furnished,"Sauna, Multipurpose hall, Parking, Swimming Pool, Gymnasium, Lift, Security, Minimart","Cooking Allowed, Washing Machine, Air-Cond",Johor,Johor Bahru,2025-01-13 02:01,109675069,1.4874324676535706,103.75048063166318,"Jalan Larkin, Taman Dato Onn, Johor Bahru, Johor"
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,2,2,700 sq.ft.,Fully Furnished,"Multipurpose hall, Security, Minimart, Sauna, Gymnasium, Club house, Playground, Swimming Pool, Jogging Track","Cooking Allowed, Washing Machine, Air-Cond",Johor,Johor Bahru,2025-01-13 02:01,109616856,1.4959609422966802,103.82423079998463,"Jalan Permas 2, Taman Permas Jaya, Johor Bahru, Johor"
"RM 1,500 per month","Apartment / Condominium, For rent",Apartment,3,2,950 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool, Multipurpose hall, Jogging Track, Playground","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Selangor,Bandar Sunway,2025-01-13 01:49,109031656,,,
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,1,1,400 sq.ft.,Fully Furnished,"Security, Lift, Parking, Jogging Track, Multipurpose hall, Playground, Swimming Pool, Gymnasium, Minimart, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Johor,Tampoi,2025-01-13 01:49,109769248,,,"Jalan Bukit Aliff Utama, Taman Damansara Aliff, Tampoi, Johor"
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,1,1,600 sq.ft.,Fully Furnished,"Jogging Track, Barbeque area, Multipurpose hall, Parking, Swimming Pool, Sauna, Security, Minimart, Playground, Lift","Cooking Allowed, Washing Machine, Air-Cond",Johor,Johor Bahru,2025-01-13 01:46,109769242,,,"Jalan Seri Setanggi, Off Lebuh Tebrau, Johor Bahru, Johor"
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,1024 sq.ft.,Not Furnished,"Parking, Security, Playground, Swimming Pool, Lift, Barbeque area, Club house",Cooking Allowed,Selangor,Shah Alam,2025-01-13 01:45,109647663,3.0832398549860143,101.52735937626305,"Jalan Sultan Salahuddin Abdul Aziz Shah 9/6, Shah Alam, Selangor"
"RM 1,000 per month","Apartment / Condominium, For rent",Apartment,2,2,430 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium, Playground, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor,Shah Alam,2025-01-13 01:45,107160895,3.0525143309128313,101.49078953917883,"Jalan Padang Jawa, Seksyen 16, Shah Alam, Selangor"
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1300 sq.ft.,Fully Furnished,"Playground, Parking, Swimming Pool, Multipurpose hall, Security, Lift","Air-Cond, Cooking Allowed, Washing Machine",Penang,Butterworth,2025-01-13 01:45,109769215,,,"Lorong Kemuning, Kampung Bagan Jermal, Butterworth, Penang"
