monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 1,700 per month","House, For rent",Townhouse,3,2,1033 sq.ft.,Partially Furnished,"Parking, Security, Gymnasium, Jogging Track, Playground","Air-Cond, Cooking Allowed",,Selangor,Puncak Alam,2025-02-06 10:36,2025-02-06,109327187,,
"RM 1,600 per month","House, For rent",2-storey Terraced House,4,3,1600 sq.ft.,Partially Furnished,"Minimart, Parking, Playground, Security","Cooking Allowed, Near KTM/LRT, Internet, Air-Cond",,Selangor,Seri Kembangan,2025-02-06 10:36,2025-02-06,109818545,,
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,3,2,864 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Gymnasium, Security, Jogging Track, Playground",,"Lorong Lembah Permai 3, Tanjung Bungah, Penang",Penang,Tanjung Bungah,2025-02-06 10:35,2025-02-06,109414870,5.45226375,100.28505003014706
"RM 1,800 per month","House, For rent",Semi-Detached House,4,3,1877 sq.ft.,Not Furnished,"Parking, Security, Playground, Jogging Track",Cooking Allowed,,Selangor,Puncak Alam,2025-02-06 10:35,2025-02-06,109472000,,
"RM 3,500 per month","Apartment / Condominium, For rent",Condominium,2,2,950 sq.ft.,Fully Furnished,"Sauna, Swimming Pool, Gymnasium, Multipurpose hall, Security, Playground, Parking, Lift, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Bayan Indah 2, Bayan Lepas, Penang",Penang,Bayan Lepas,2025-02-06 10:34,2025-02-06,109453331,5.337461530991244,100.30997834479288
"RM 1,150 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Not Furnished,"Playground, Parking, Security",,"Lebuh Sungai Pinang 7, Jelutong, Penang",Penang,Jelutong,2025-02-06 10:30,2025-02-06,109590863,5.4016431359530594,100.32459566000567
"RM 2,300 per month","House, For rent",3-storey Terraced House,5,3,1400 sq.ft.,Partially Furnished,,,,Selangor,Rawang,2025-02-06 10:30,2025-02-06,110026413,,
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1109 sq.ft.,Fully Furnished,"Security, Playground, Gymnasium, Jogging Track, Swimming Pool, Parking, Lift, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine","Lebuh Sungai Pinang 1, Jelutong, Penang",Penang,Jelutong,2025-02-06 10:30,2025-02-06,110026295,5.4016431359530594,100.32459566000567
"RM 5,500 per month","House, For rent",Semi-Detached House,5,5,2750 sq.ft.,Fully Furnished,,,,Selangor,Rawang,2025-02-06 10:30,2025-02-06,110026267,,
"RM 2,300 per month","House, For rent",2-storey Terraced House,4,5,3100 sq.ft.,Partially Furnished,"Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Squash Court",,,Selangor,Telok Panglima Garang,2025-02-06 10:30,2025-02-06,110026263,,
"RM 1,550 per month","House, For rent",2-storey Terraced House,3,3,1400 sq.ft.,Partially Furnished,,,,Selangor,Rawang,2025-02-06 10:30,2025-02-06,106672111,,
"RM 1,600 per month","House, For rent",2-storey Terraced House,4,3,1800 sq.ft.,Not Furnished,,,,Selangor,Kajang,2025-02-06 10:29,2025-02-06,110026407,,
"RM 4,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1241 sq.ft.,Fully Furnished,"Security, Gymnasium, Swimming Pool, Jogging Track, Parking, Playground, Barbeque area, Multipurpose hall, Lift",,"Jalan Seri Tg Pinang Seri Tanjung Pinang, Tanjong Tokong, Penang",Penang,Tanjong Tokong,2025-02-06 10:28,2025-02-06,109866796,,
"RM 1,300 per month","House, For rent",1-storey Terraced House,3,2,1000 sq.ft.,Not Furnished,,,,Selangor,Batu Caves,2025-02-06 10:27,2025-02-06,110026385,,
"RM 1,100 per month","Apartment / Condominium, For rent",Service Residence,1,1,550 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Multipurpose hall, Playground, Barbeque area, Security, Parking",Air-Cond,"Persiaran Sepang, Taman Sains Selangor 2, Cyberjaya, Selangor",Selangor,Cyberjaya,2025-02-06 10:27,2025-02-06,109944059,,
RM 900 per month,"Apartment / Condominium, For rent",Apartment,2,2,550 sq.ft.,Partially Furnished,"Parking, Lift, Multipurpose hall","Air-Cond, Cooking Allowed","Solok Semarak Api, Bandar Baru Farlim, Ayer Itam, Penang",Penang,Ayer Itam,2025-02-06 10:27,2025-02-06,109933062,,
"RM 4,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1372 sq.ft.,Fully Furnished,"Parking, Playground, Swimming Pool, Jogging Track, Barbeque area, Multipurpose hall, Security, Gymnasium, Lift",,"Jalan Seri Tg Pinang Seri Tanjung Pinang, Tanjong Tokong, Penang",Penang,Tanjong Tokong,2025-02-06 10:27,2025-02-06,108710156,,
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,2,1,550 sq.ft.,Partially Furnished,"Multipurpose hall, Security, Gymnasium, Barbeque area, Swimming Pool, Playground, Parking",Air-Cond,"Warisan Puteri, Persiaran Warisan, Sepang, Selangor",Selangor,Sepang,2025-02-06 10:27,2025-02-06,109997905,2.826571,101.7006692
"RM 1,300 per month","House, For rent",Townhouse,3,2,1200 sq.ft.,Not Furnished,"Parking, Security, Playground, Swimming Pool, Gymnasium",,,Selangor,Dengkil,2025-02-06 10:27,2025-02-06,108579379,,
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,2,2,947 sq.ft.,Fully Furnished,"Gymnasium, Playground, Swimming Pool, Security, Parking, Barbeque area, Lift, Multipurpose hall, Club house","Air-Cond, Cooking Allowed","Lorong Stutong 11D1, Kuching, Sarawak",Sarawak,Kuching,2025-02-06 10:27,2025-02-06,109798999,1.5065887766049622,110.38718044319909
"RM 1,300 per month","House, For rent",Townhouse,3,2,1308 sq.ft.,Partially Furnished,"Parking, Security, Playground, Minimart, Jogging Track",Cooking Allowed,,Selangor,Puncak Alam,2025-02-06 10:27,2025-02-06,109931836,,
"RM 3,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1015 sq.ft.,Fully Furnished,"Lift, Barbeque area, Club house, Parking, Playground, Swimming Pool, Gymnasium, Security","Washing Machine, Air-Cond, Cooking Allowed","Jalan Tabuan Tranquility, Tabuan Jaya, Kuching, Sarawak",Sarawak,Kuching,2025-02-06 10:27,2025-02-06,109830318,,
"RM 1,500 per month","House, For rent",2-storey Terraced House,4,3,1500 sq.ft.,Not Furnished,,,,Selangor,Puncak Alam,2025-02-06 10:27,2025-02-06,108522357,,
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,700 sq.ft.,Not Furnished,"Parking, Multipurpose hall, Security, Swimming Pool, Lift, Playground, Gymnasium, Minimart, Tennis Court, Squash Court, Jogging Track","Cooking Allowed, Washing Machine","Jalan Setia Perdana U13/28, Alam Nusantara, Shah Alam, Selangor",Selangor,Shah Alam,2025-02-06 10:27,2025-02-06,108359258,3.1207735066018696,101.4717298099925
"RM 2,700 per month","Apartment / Condominium, For rent",Service Residence,3,2,1450 sq.ft.,Fully Furnished,"Parking, Lift, Jogging Track, Playground, Minimart, Security, Swimming Pool, Multipurpose hall, Club house, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Persiaran Puchong Jaya Selatan, Puchong, Selangor",Selangor,Puchong,2025-02-06 10:26,2025-02-06,109276918,3.0437794821470505,101.61994026061944
"RM 2,300 per month","Apartment / Condominium, For rent",Service Residence,3,2,1000 sq.ft.,Fully Furnished,"Minimart, Gymnasium, Barbeque area, Swimming Pool, Sauna, Parking, Security, Playground, Multipurpose hall",,"Jalan Suria Muafakat Utama, Off Jalan Tun Razak, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-06 10:25,2025-02-06,110026230,,
RM 650 per month,"Apartment / Condominium, For rent",Flat,2,2,650 sq.ft.,Partially Furnished,"Parking, Playground, Security","Air-Cond, Cooking Allowed","Jalan SP4/1, Bandar Saujana Putra, Selangor",Selangor,Bandar Saujana Putra,2025-02-06 10:25,2025-02-06,110026229,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,2,901 sq.ft.,Not Furnished,"Security, Playground, Swimming Pool, Jogging Track, Club house, Parking, Barbeque area, Gymnasium, Lift, Multipurpose hall, Minimart",,"Off Jalan Bukit Cerakah, Alam Perdana, Puncak Alam, Selangor",Selangor,Puncak Alam,2025-02-06 10:25,2025-02-06,110026221,,
"RM 1,400 per month","Apartment / Condominium, For rent",Apartment,3,2,1224 sq.ft.,Partially Furnished,"Playground, Parking, Security, Swimming Pool","Air-Cond, Cooking Allowed","Jalan 34/38A, Taman Sri Bintang, Segambut, Kuala Lumpur",Kuala Lumpur,Segambut,2025-02-06 10:25,2025-02-06,110026218,,
"RM 1,900 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Fully Furnished,"Parking, Security, Minimart, Playground, Swimming Pool, Multipurpose hall, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","No.11, Jalan Pantai Sentral 3, Pantai Sentral Park, Pantai, Kuala Lumpur",Kuala Lumpur,Pantai,2025-02-06 10:25,2025-02-06,110026232,3.0929741209944344,101.66624501944541
"RM 1,200 per month","Apartment / Condominium, For rent",Service Residence,2,1,650 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Gymnasium, Club house, Security, Playground","Air-Cond, Cooking Allowed, Washing Machine","Jalan KLJ 5, Taman Kota Laksamana, Melaka City, Melaka",Melaka,Melaka City,2025-02-06 10:24,2025-02-06,108311225,2.1989301002933415,102.23177785020081
"RM 3,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Fully Furnished,"Parking, Gymnasium, Swimming Pool, Security, Lift, Playground, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Internet","Persiaran Bayan Indah 2, Bayan Lepas, Penang",Penang,Bayan Lepas,2025-02-06 10:24,2025-02-06,109170390,5.337461530991244,100.30997834479288
"RM 4,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1050 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine","Jalan Kiara 4, Mont Kiara, Kuala Lumpur",Kuala Lumpur,Mont Kiara,2025-02-06 10:23,2025-02-06,110026365,3.1669904314505324,101.65068783534392
"RM 2,600 per month","Apartment / Condominium, For rent",Condominium,3,2,1568 sq.ft.,Fully Furnished,"Multipurpose hall, Parking, Security, Playground, Swimming Pool, Lift, Gymnasium, Barbeque area, Minimart, Club house, Tennis Court, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine","Off Persiaran Bestari, Cyberjaya, Selangor",Selangor,Cyberjaya,2025-02-06 10:22,2025-02-06,108775233,,
RM 750 per month,"House, For rent",Terraced House,3,3,1700 sq.ft.,Partially Furnished,Playground,"Air-Cond, Cooking Allowed",,Kedah,Kuala Muda,2025-02-06 10:22,2025-02-06,110026358,,
"RM 12,003 per month","Apartment / Condominium, For rent",Apartment,3,2,835 sq.ft.,Not Furnished,"Parking, Security, Playground","Cooking Allowed, Near KTM/LRT","Jalan Pandan Indah 6/1, Pandan Indah, Kuala Lumpur",Kuala Lumpur,Pandan Indah,2025-02-06 10:22,2025-02-06,110026357,3.131520592690982,101.73760314738963
"RM 1,350 per month","Apartment / Condominium, For rent",Condominium,1,1,420 sq.ft.,Fully Furnished,"Security, Gymnasium, Minimart, Squash Court, Parking, Swimming Pool, Barbeque area, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan PJU 8/3A, Damansara Perdana, Selangor",Selangor,Damansara Perdana,2025-02-06 10:21,2025-02-06,109037482,3.16424327764691,101.6077593611553
RM 500 per month,"Apartment / Condominium, For rent",Others,2,1,1000 sq.ft.,Fully Furnished,"Jogging Track, Security, Tennis Court, Lift, Swimming Pool, Playground, Gymnasium, Minimart","Cooking Allowed, Near KTM/LRT, Washing Machine",,Kuala Lumpur,Sri Petaling,2025-02-06 10:21,2025-02-06,110026348,,
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,1,1,400 sq.ft.,Fully Furnished,"Lift, Sauna, Gymnasium, Playground, Jogging Track, Parking, Swimming Pool, Minimart, Barbeque area, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan PJU 8/2, Damansara Perdana, Selangor",Selangor,Damansara Perdana,2025-02-06 10:21,2025-02-06,108368987,3.1670442120009654,101.6064518462646
"RM 1,950 per month","Apartment / Condominium, For rent",Service Residence,3,2,1076 sq.ft.,Partially Furnished,"Playground, Swimming Pool, Gymnasium, Minimart, Sauna, Multipurpose hall, Parking, Barbeque area, Security, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Jalan PJU 10/1, Off Jalan Kuala Selangor, Damansara Damai, Selangor",Selangor,Damansara Damai,2025-02-06 10:21,2025-02-06,109862161,,
RM 750 per month,"House, For rent",Terraced House,3,2,1200 sq.ft.,Not Furnished,"Parking, Playground",Cooking Allowed,,Perak,Lahat,2025-02-06 10:20,2025-02-06,110026334,,
"RM 1,100 per month","House, For rent",Townhouse,3,2,1032 sq.ft.,Partially Furnished,"Parking, Security, Playground, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",,Negeri Sembilan,Seremban,2025-02-06 10:20,2025-02-06,110026332,,
RM 900 per month,"House, For rent",1-storey Terraced House,3,2,1500 sq.ft.,Fully Furnished,Parking,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",,Perak,Taiping,2025-02-06 10:20,2025-02-06,110026327,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,2,1,600 sq.ft.,Fully Furnished,"Minimart, Parking, Playground, Jogging Track, Multipurpose hall",,"Jalan Ikan Ayu, Cheras, Cheras, Kuala Lumpur",Kuala Lumpur,Cheras,2025-02-06 10:20,2025-02-06,110002925,3.1181442912570243,101.72783577630746
RM 730 per month,"Apartment / Condominium, For rent",Apartment,3,2,750 sq.ft.,Not Furnished,"Parking, Jogging Track, Security, Playground, Minimart, Multipurpose hall",,"Jalan SP 4/2, Bandar Saujana Putra, Jenjarom, Selangor",Selangor,Jenjarom,2025-02-06 10:19,2025-02-06,110026321,2.963355215018159,101.57634397600087
"RM 2,300 per month","Apartment / Condominium, For rent",Condominium,2,2,807 sq.ft.,Fully Furnished,"Gymnasium, Security, Playground, Lift, Swimming Pool, Parking",,"Jalan Sembilang, Taman Tenaga, Taman Tenaga, Cheras, Kuala Lumpur",Kuala Lumpur,Cheras,2025-02-06 10:19,2025-02-06,110002670,3.11329038701477,101.72667056032982
RM 650 per month,"House, For rent",Terraced House,3,2,1300 sq.ft.,Not Furnished,,,,Kedah,Jitra,2025-02-06 10:19,2025-02-06,110026320,,
RM 700 per month,"Apartment / Condominium, For rent",Flat,3,2,650 sq.ft.,Not Furnished,"Parking, Playground",,"Jalan Station, Off Jalan Batu Caves, Gombak, Selangor",Selangor,Gombak,2025-02-06 10:19,2025-02-06,110026319,,
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,938 sq.ft.,Partially Furnished,"Jogging Track, Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan 3/109f, Taman Danau Desa, Taman Desa, Kuala Lumpur",Kuala Lumpur,Taman Desa,2025-02-06 10:19,2025-02-06,110026318,3.1009104081814973,101.68604795312942
RM 700 per month,"Apartment / Condominium, For rent",Apartment,3,2,650 sq.ft.,Not Furnished,"Playground, Parking, Security, Minimart",Cooking Allowed,"Jalan Seri Maju Sepanggar Ria, Taman Seri Maju, Kota Kinabalu, Sabah",Sabah,Kota Kinabalu,2025-02-06 10:19,2025-02-06,110026309,,
"RM 1,600 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Partially Furnished,"Parking, Security, Swimming Pool","Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan SS 15/8, SS15, Subang Jaya, Selangor",Selangor,Subang Jaya,2025-02-06 10:18,2025-02-06,110026302,3.07486322465765,101.59065088166224
RM 800 per month,"Apartment / Condominium, For rent",Apartment,3,2,774 sq.ft.,Not Furnished,"Parking, Security, Playground","Air-Cond, Cooking Allowed","Jalan Dahlia 6/2, Taman Dahlia, Sepang, Selangor",Selangor,Sepang,2025-02-06 10:18,2025-02-06,110026296,,
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,3,2,1023 sq.ft.,Partially Furnished,"Gymnasium, Barbeque area, Playground, Swimming Pool, Tennis Court, Jogging Track, Minimart, Parking, Security, Lift","Air-Cond, Cooking Allowed","Jalan Pelangi, Off Jalan Batu Tiga Lama, Kawasan 16, Klang, Selangor",Selangor,Klang,2025-02-06 10:18,2025-02-06,109649575,,
"RM 1,200 per month","Apartment / Condominium, For rent",Condominium,3,2,870 sq.ft.,Partially Furnished,"Minimart, Playground, Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Club house, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet","Off Jalan Dato Senu 26, Taman Sentul Utama, Sentul, Kuala Lumpur",Kuala Lumpur,Sentul,2025-02-06 10:17,2025-02-06,107019135,,
RM 950 per month,"Apartment / Condominium, For rent",Apartment,3,2,870 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart",Cooking Allowed,"Jalan Sungai Tua, Taman Jasa Pewira, Selayang, Selangor",Selangor,Selayang,2025-02-06 10:17,2025-02-06,110026287,,
"RM 2,600 per month","Apartment / Condominium, For rent",Condominium,2,1,725 sq.ft.,Fully Furnished,"Playground, Parking, Gymnasium, Lift, Security, Swimming Pool, Minimart","Air-Cond, Cooking Allowed, Washing Machine","Off Jalan Coastal, Sutera Avenue, Kota Kinabalu, Sabah",Sabah,Kota Kinabalu,2025-02-06 10:17,2025-02-06,109670657,,
"RM 2,800 per month","Apartment / Condominium, For rent",Service Residence,2,1,835 sq.ft.,Fully Furnished,"Security, Jogging Track, Club house, Parking, Swimming Pool, Gymnasium, Playground",Air-Cond,"Jalan Tanjung Puteri 1, Tanjung Puteri, Johor Bahru, Johor",Johor,Johor Bahru,2025-02-06 10:16,2025-02-06,109719933,1.4455676,103.9386164
RM 800 per month,"Apartment / Condominium, For rent",Flat,3,2,900 sq.ft.,Not Furnished,"Playground, Parking",,"Jalan Pangsa Juru Setia, Off Jalan Perusahaan Maju 9, Juru, Penang",Penang,Juru,2025-02-06 10:16,2025-02-06,109029591,,
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,750 sq.ft.,Not Furnished,Parking,,"Lorong Nagasari 20, Taman Nagasari, Perai, Penang",Penang,Perai,2025-02-06 10:16,2025-02-06,109931932,5.3669761,100.4123514
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,662 sq.ft.,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall","Air-Cond, Cooking Allowed",,Sabah,Kota Kinabalu,2025-02-06 10:16,2025-02-06,110018234,,
"RM 6,500 per month","Apartment / Condominium, For rent",Condominium,3,3,2960 sq.ft.,Fully Furnished,"Playground, Gymnasium, Parking, Security, Swimming Pool, Lift, Sauna, Multipurpose hall, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Bayan Indah, Bayan Lepas, Penang",Penang,Bayan Lepas,2025-02-06 10:16,2025-02-06,108781948,5.3409497,100.3106651
RM 900 per month,"House, For rent",1-storey Terraced House,3,2,1200 sq.ft.,Partially Furnished,"Parking, Minimart","Air-Cond, Cooking Allowed",,Selangor,Semenyih,2025-02-06 10:16,2025-02-06,110026269,,
"RM 3,000 per month","House, For rent",1-storey Terraced House,4,2,4371 sq.ft.,Not Furnished,,,,Selangor,Kajang,2025-02-06 10:16,2025-02-06,110026268,,
RM 900 per month,"House, For rent",Terraced House,3,2,1400 sq.ft.,Not Furnished,"Parking, Playground, Minimart, Barbeque area, Jogging Track","Cooking Allowed, Near KTM/LRT",,Kedah,Lunas,2025-02-06 10:15,2025-02-06,110026085,,
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Fully Furnished,"Sauna, Security, Barbeque area, Tennis Court, Squash Court, Jogging Track, Parking, Swimming Pool, Gymnasium, Minimart, Playground, Lift","Air-Cond, Cooking Allowed, Washing Machine, Internet","Persiaran Bukit Gambier 1, Gelugor, Penang",Penang,Gelugor,2025-02-06 10:15,2025-02-06,110026082,,
RM 680 per month,"Apartment / Condominium, For rent",Apartment,3,2,800 sq.ft.,Partially Furnished,"Parking, Playground",Cooking Allowed,"Jalan SW 22, Taman Sutera Wangi, Batu Berendam, Melaka",Melaka,Batu Berendam,2025-02-06 10:14,2025-02-06,110026255,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,918 sq.ft.,Partially Furnished,"Parking, Security, Lift, Playground, Gymnasium, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Tokoh 25/28, Taman Sri Muda, Shah Alam, Selangor",Selangor,Shah Alam,2025-02-06 10:14,2025-02-06,110026253,3.0352568,101.5317128
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1130 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Playground, Parking, Security, Lift",,"Jalan Kuchai Maju 12, Kuchai Entrepreneurs Park,, Kuchai Lama, Kuala Lumpur",Kuala Lumpur,Kuchai Lama,2025-02-06 10:14,2025-02-06,110026251,3.0882891,101.68794
"RM 1,400 per month","Apartment / Condominium, For rent",Apartment,3,2,815 sq.ft.,Partially Furnished,"Swimming Pool, Parking, Sauna, Security, Minimart, Club house, Playground, Lift, Jogging Track","Cooking Allowed, Air-Cond, Washing Machine, Near KTM/LRT","Jalan Platinum 7/58, Section 7, Shah Alam, Selangor",Selangor,Shah Alam,2025-02-06 10:14,2025-02-06,109166277,3.0807375488869475,101.4912815165505
"RM 1,850 per month","Apartment / Condominium, For rent",Condominium,3,2,1050 sq.ft.,Not Furnished,"Minimart, Swimming Pool, Security, Gymnasium, Playground, Squash Court, Parking, Lift",Near KTM/LRT,"Jalan 14/155C, Bukit Jalil, Kuala Lumpur",Kuala Lumpur,Bukit Jalil,2025-02-06 10:14,2025-02-06,110026248,3.0572763,101.6693922
RM 800 per month,"Apartment / Condominium, For rent",Apartment,3,1,680 sq.ft.,Partially Furnished,"Parking, Minimart, Security, Lift","Cooking Allowed, Washing Machine","Lorong D1/5, Desa Aman Puri, Kepong, Kuala Lumpur",Kuala Lumpur,Kepong,2025-02-06 10:14,2025-02-06,110026247,,
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,1,750 sq.ft.,Not Furnished,"Lift, Minimart",,"Jalan 2/23D, Taman Danau Kota, Setapak, Kuala Lumpur",Kuala Lumpur,Setapak,2025-02-06 10:14,2025-02-06,110026244,3.1991961224937175,101.71352046196833
"RM 1,650 per month","Apartment / Condominium, For rent",Apartment,3,2,822 sq.ft.,Partially Furnished,"Barbeque area, Swimming Pool, Gymnasium, Jogging Track, Lift, Multipurpose hall, Parking, Minimart, Playground, Security, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Sinar Sentul, Sentul, Kuala Lumpur",Kuala Lumpur,Sentul,2025-02-06 10:11,2025-02-06,109422698,3.1891904955224337,101.69067289992145
"RM 2,600 per month","Apartment / Condominium, For rent",Service Residence,4,3,1174 sq.ft.,Fully Furnished,"Gymnasium, Barbeque area, Minimart, Swimming Pool, Parking, Security, Playground, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan Seri Bintang, Taman Sri Bintang, Segambut, Kuala Lumpur",Kuala Lumpur,Segambut,2025-02-06 10:10,2025-02-06,109360541,,
"RM 1,600 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Partially Furnished,"Security, Swimming Pool, Barbeque area, Parking, Gymnasium, Lift, Multipurpose hall, Playground","Air-Cond, Cooking Allowed, Washing Machine","Jalan Lingkaran Tengah 2, Batu Caves, Selangor",Selangor,Batu Caves,2025-02-06 10:10,2025-02-06,109927919,3.232160061485948,101.67558866881285
