monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,850 sq.ft.,Not Furnished,"Security, Lift, Parking","Cooking Allowed, Air-Cond","Tingkat Bukit Kecil, Off Jalan Sultan Azlan Shah, Sungai Nibong, Penang",Penang,Sungai Nibong,2025-02-06 10:38,2025-02-06,109899506,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Fully Furnished,"Parking, Lift, Security, Swimming Pool, Playground",Cooking Allowed,"No. 3, Tingkat Kenari, Desa Ria, Sungai Ara, Penang",Penang,Sungai Ara,2025-02-06 10:38,2025-02-06,109708399,5.316518195108623,100.26594067633297
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1100 sq.ft.,Fully Furnished,"Swimming Pool, Parking, Minimart, Sauna, Multipurpose hall, Security, Barbeque area, Playground, Gymnasium, Lift","Cooking Allowed, Air-Cond, Washing Machine","Medan Rajawali, Off Jalan Tun Dr. Awang, Bayan Lepas, Penang",Penang,Bayan Lepas,2025-02-06 10:38,2025-02-06,108656848,,
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,700 sq.ft.,Partially Furnished,"Parking, Playground, Security, Lift","Cooking Allowed, Air-Cond, Washing Machine","Persiaran Paya Terubong 3, Taman Sri Aman, Relau, Penang",Penang,Relau,2025-02-06 10:38,2025-02-06,108597522,5.33608562188649,100.2767518984363
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Fully Furnished,"Lift, Security, Parking","Cooking Allowed, Air-Cond, Washing Machine",,Penang,Bukit Jambul,2025-02-06 10:38,2025-02-06,108395779,,
"RM 2,600 per month","Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Fully Furnished,"Playground, Lift, Parking, Security, Swimming Pool, Gymnasium, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine","Emporium, Jalan Tun Jugah, Kuching, Sarawak",Sarawak,Kuching,2025-02-06 10:38,2025-02-06,107878208,,
"RM 2,650 per month","House, For rent",2-storey Terraced House,4,3,1800 sq.ft.,Not Furnished,"Parking, Playground, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",,Putrajaya,Putrajaya,2025-02-06 10:38,2025-02-06,109935638,,
RM 850 per month,"Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Not Furnished,"Parking, Security, Swimming Pool, Lift, Playground, Jogging Track",Near KTM/LRT,"Off Jalan Bukit Mewah 41, Taman Bukit Mutiara, Kajang, Selangor",Selangor,Kajang,2025-02-06 10:37,2025-02-06,109557910,,
"RM 2,200 per month","House, For rent",2-storey Terraced House,4,3,1884 sq.ft.,Fully Furnished,Parking,"Air-Cond, Cooking Allowed, Washing Machine",,Sabah,Tuaran,2025-02-06 10:36,2025-02-06,107845155,,
"RM 1,000 per month","Apartment / Condominium, For rent",Service Residence,1,1,535 sq.ft.,Partially Furnished,"Barbeque area, Swimming Pool, Gymnasium, Parking, Security, Playground, Multipurpose hall, Lift","Air-Cond, Cooking Allowed","Persiaran Sepang, Taman Sains Selangor 2, Cyberjaya, Selangor",Selangor,Cyberjaya,2025-02-06 10:36,2025-02-06,109545280,,
