monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,state,region,publishedDatetime,ads_id,latitude,longitude,additional_facilities,address
"RM 1,300 per month","House, For rent",Townhouse,3,2,1400 sq.ft.,Not Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Club house",Penang,Bertam,2025-01-29 16:17,109956296,,,,
"RM 1,100 per month","House, For rent",2-storey Terraced House,4,2,1400 sq.ft.,Fully Furnished,,Johor,Kluang,2025-01-29 16:16,109956293,,,"Air-Cond, Washing Machine",
RM 800 per month,"Apartment / Condominium, For rent",Apartment,3,2,836 sq.ft.,Fully Furnished,,Selangor,Cheras,2025-01-29 16:16,109787941,3.0734787,101.77184665671378,"Air-Cond, Cooking Allowed, Near KTM/LRT","Taman Cheras Permai, Cheras, Selangor"
RM 830 per month,"Apartment / Condominium, For rent",Apartment,2,1,585 sq.ft.,Fully Furnished,Parking,Penang,Gelugor,2025-01-29 16:16,109956291,5.372837410117395,100.30164461577829,"Air-Cond, Cooking Allowed","Hilir Pemancar, Taman Tun Sardon, Gelugor, Penang"
"RM 1,300 per month","House, For rent",Townhouse,3,2,1400 sq.ft.,Not Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium",Penang,Bertam,2025-01-29 16:15,109956288,,,,
"RM 1,250 per month","Apartment / Condominium, For rent",Apartment,3,2,868 sq.ft.,Partially Furnished,"Parking, Minimart, Swimming Pool, Playground, Lift, Security",Selangor,Seri Kembangan,2025-01-29 16:08,109427472,,,"Cooking Allowed, Air-Cond","Persiaran Permai Sentosa, Taman Prima Tropika, Seri Kembangan, Selangor"
"RM 1,450 per month","Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Partially Furnished,"Parking, Multipurpose hall, Security, Playground, Lift",Selangor,Putra Heights,2025-01-29 16:08,109850261,2.9854277061372287,101.56472795683933,Cooking Allowed,"Persiaran Putra Megah, Putra Heights, Selangor"
RM 750 per month,"House, For rent",Terraced House,3,2,840 sq.ft.,Partially Furnished,Parking,Perak,Ipoh,2025-01-29 16:07,109956219,,,"Cooking Allowed, Near KTM/LRT",
"RM 2,000 per month","House, For rent",3-storey Terraced House,5,4,1600 sq.ft.,Not Furnished,"Parking, Security, Playground, Minimart, Multipurpose hall, Jogging Track",Penang,Bertam,2025-01-29 16:07,109956217,,,"Cooking Allowed, Near KTM/LRT",
"RM 1,900 per month","House, For rent",2-storey Terraced House,3,2,840 sq.ft.,Partially Furnished,,Selangor,Shah Alam,2025-01-29 16:07,109956216,,,"Air-Cond, Cooking Allowed, Near KTM/LRT",
"RM 2,000 per month","House, For rent",2-storey Terraced House,4,3,1650 sq.ft.,Partially Furnished,"Parking, Minimart",Selangor,Shah Alam,2025-01-29 16:06,109931116,,,"Air-Cond, Cooking Allowed, Near KTM/LRT",
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,1,929 sq.ft.,Fully Furnished,"Swimming Pool, Jogging Track, Parking, Minimart, Tennis Court, Barbeque area, Lift, Security, Playground, Gymnasium",Selangor,Klang,2025-01-29 16:05,109956174,,,,"Jalan Pelangi, Off Jalan Batu Tiga Lama, Kawasan 16, Klang, Selangor"
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,2,2,600 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Jogging Track, Club house, Multipurpose hall",Johor,Tampoi,2025-01-29 16:01,109956196,,,"Air-Cond, Cooking Allowed, Washing Machine","Jalan Bukit Aliff Utama, Taman Damansara Aliff, Tampoi, Johor"
"RM 1,200 per month","House, For rent",1-storey Terraced House,4,2,1000 sq.ft.,Not Furnished,,Selangor,Bandar Saujana Putra,2025-01-29 15:59,109914307,,,,
"RM 1,050 per month","Apartment / Condominium, For rent",Apartment,3,2,1008 sq.ft.,Partially Furnished,"Minimart, Parking, Playground, Lift, Security",Selangor,Kajang,2025-01-29 15:59,109891612,2.974661811754674,101.7831331188504,"Air-Cond, Cooking Allowed","Jalan Sepakat Indah 3, Taman Sepakat Indah, Kajang, Selangor"
"RM 1,300 per month","House, For rent",2-storey Terraced House,4,3,1300 sq.ft.,Partially Furnished,,Selangor,Semenyih,2025-01-29 15:52,108792471,,,,
"RM 1,300 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Not Furnished,Parking,Selangor,Dengkil,2025-01-29 15:50,109956088,,,Cooking Allowed,
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,3,2,936 sq.ft.,Partially Furnished,"Security, Parking, Swimming Pool, Gymnasium, Lift, Minimart, Squash Court, Sauna, Playground, Tennis Court",Kuala Lumpur,Keramat,2025-01-29 15:50,109956086,,,"Cooking Allowed, Air-Cond","Jalan Lestari, Kampung Padang Tembak, Keramat, Kuala Lumpur"
"RM 2,300 per month","Apartment / Condominium, For rent",Service Residence,2,2,800 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Lift, Club house, Security, Sauna, Parking, Playground, Barbeque area, Minimart, Multipurpose hall",Penang,Gelugor,2025-01-29 15:50,109956080,,,"Air-Cond, Cooking Allowed, Washing Machine","Persiaran Bukit Gambir, Gelugor, Penang"
"RM 1,900 per month","Apartment / Condominium, For rent",Condominium,3,2,1010 sq.ft.,Fully Furnished,"Gymnasium, Multipurpose hall, Playground, Jogging Track, Swimming Pool, Security, Minimart, Barbeque area",Selangor,Cyberjaya,2025-01-29 15:49,109956137,,,"Air-Cond, Cooking Allowed, Washing Machine","Lot 108634, Persiaran Sepang, Cyber 11, Cyberjaya, Selangor"
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,1,1,450 sq.ft.,Partially Furnished,"Parking, Security, Multipurpose hall, Swimming Pool, Lift, Barbeque area, Gymnasium, Sauna",Selangor,Seri Kembangan,2025-01-29 15:48,109681078,,,"Air-Cond, Near KTM/LRT, Washing Machine","Jalan OS, Taman Serdang Perdana, Seri Kembangan, Selangor"
"RM 1,650 per month","Apartment / Condominium, For rent",Condominium,3,2,1150 sq.ft.,Fully Furnished,"Playground, Security, Swimming Pool, Gymnasium, Parking, Lift, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court",Johor,Gelang Patah,2025-01-29 15:46,109956130,,,"Air-Cond, Cooking Allowed, Washing Machine","Jalan Forest City - Lebuhraya Tanjung Pelepas, Gelang Patah, Johor"
"RM 1,250 per month","Apartment / Condominium, For rent",Condominium,2,1,750 sq.ft.,Fully Furnished,"Security, Minimart, Parking, Playground, Jogging Track, Lift",Kuala Lumpur,Bukit Jalil,2025-01-29 15:45,109956127,,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan 1/115a, Bukit Jalil, Kuala Lumpur"
"RM 1,050 per month","Apartment / Condominium, For rent",Service Residence,1,1,350 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool, Barbeque area, Gymnasium",Selangor,Cyberjaya,2025-01-29 15:45,109956043,,,"Air-Cond, Cooking Allowed, Washing Machine","Off Persiaran Bestari , Cyber 11, Cyberjaya, Selangor"
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1240 sq.ft.,Fully Furnished,"Security, Gymnasium, Barbeque area, Tennis Court, Sauna, Club house, Parking, Minimart, Playground, Swimming Pool, Squash Court, Lift",Kuala Lumpur,Setapak,2025-01-29 15:45,109956032,,,,"No.442, Jalan Pahang, Setapak, Kuala Lumpur"
RM 850 per month,"House, For rent",1-storey Terraced House,4,2,2500 sq.ft.,Not Furnished,,Perak,Ipoh,2025-01-29 15:43,109956107,,,,
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,1033 sq.ft.,Not Furnished,"Security, Parking, Lift, Playground, Multipurpose hall",Selangor,Semenyih,2025-01-29 15:42,109956105,,,,"Jalan Sri Tanjung 17, Taman Sri Tanjung, Semenyih, Selangor"
"RM 1,800 per month","Apartment / Condominium, For rent",Service Residence,1,1,450 sq.ft.,Fully Furnished,"Lift, Barbeque area, Parking, Security, Playground, Multipurpose hall, Swimming Pool, Gymnasium",Kuala Lumpur,Pandan Perdana,2025-01-29 15:42,109819718,,,"Air-Cond, Cooking Allowed, Washing Machine, Internet","28, Jalan Perdana 3/10, Pandan Perdana, Pandan Perdana, Kuala Lumpur"
"RM 1,350 per month","House, For rent",1-storey Terraced House,3,2,1200 sq.ft.,Fully Furnished,"Parking, Playground",Selangor,Kajang,2025-01-29 15:42,109956098,,,"Near KTM/LRT, Cooking Allowed, Washing Machine, Air-Cond",
RM 700 per month,"Apartment / Condominium, For rent",Condominium,3,2,728 sq.ft.,Not Furnished,"Lift, Playground, Parking, Barbeque area, Minimart",Negeri Sembilan,Nilai,2025-01-29 15:40,87401951,,,"Cooking Allowed, Near KTM/LRT, Internet","Jalan Desa Palma, Bandar Baru Nilai, Nilai, Negeri Sembilan"
RM 550 per month,"Apartment / Condominium, For rent",Apartment,3,2,750 sq.ft.,Not Furnished,"Security, Parking",Negeri Sembilan,Nilai,2025-01-29 15:30,109397354,2.80195371121939,101.80828568297366,Cooking Allowed,"Jalan Nilai Perdana 11, Taman Nilai Perdana, Nilai, Negeri Sembilan"
"RM 1,000 per month","Apartment / Condominium, For rent",Condominium,3,2,735 sq.ft.,Partially Furnished,"Gymnasium, Jogging Track, Lift, Barbeque area, Sauna, Playground, Swimming Pool, Security, Multipurpose hall, Parking",Negeri Sembilan,Nilai,2025-01-29 15:26,108789664,,,"Air-Cond, Cooking Allowed","Persiaran Perdana, Taman Bucida Hijauan, Nilai, Negeri Sembilan"
"RM 1,750 per month","Apartment / Condominium, For rent",Apartment,3,2,969 sq.ft.,Fully Furnished,"Lift, Parking, Security, Playground, Swimming Pool, Barbeque area, Multipurpose hall, Gymnasium",Kuala Lumpur,Setapak,2025-01-29 15:25,109956003,3.210058011438531,101.72041294093974,Air-Cond,"Jalan 1A/6, Taman Setapak  Indah, Danau Kota, Setapak, Kuala Lumpur"
"RM 1,900 per month","Apartment / Condominium, For rent",Service Residence,3,3,1022 sq.ft.,Partially Furnished,"Jogging Track, Lift, Parking, Playground, Swimming Pool, Barbeque area, Security, Gymnasium",Kuala Lumpur,Sungai Besi,2025-01-29 15:24,109286249,3.07681657889971,101.71511501126787,"Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT, Internet","Jalan 4/108a, Salak Selatan, Sungai Besi, Kuala Lumpur"
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1010 sq.ft.,Fully Furnished,"Gymnasium, Multipurpose hall, Playground, Jogging Track, Swimming Pool, Security, Minimart, Barbeque area, Lift, Parking",Selangor,Cyberjaya,2025-01-29 15:21,109955989,,,"Air-Cond, Cooking Allowed, Washing Machine","Lot 108634, Persiaran Sepang, Cyber 11, Cyberjaya, Selangor"
RM 999 per month,"Apartment / Condominium, For rent",Condominium,3,2,901 sq.ft.,Not Furnished,"Swimming Pool, Gymnasium, Parking, Security, Minimart, Playground, Tennis Court",Selangor,Seri Kembangan,2025-01-29 15:20,103968887,,,Near KTM/LRT,"Persiaran Seri Timah, Taman Seri Timah, Seri Kembangan, Selangor"
"RM 1,200 per month","Apartment / Condominium, For rent",Service Residence,1,1,400 sq.ft.,Fully Furnished,"Playground, Parking, Gymnasium, Security, Swimming Pool, Lift",Selangor,Damansara Perdana,2025-01-29 15:19,109278015,3.1641383000000003,101.6068359382883,,"No.8, Jalan Damansara, PJU 8, Damansara Perdana, Selangor"
"RM 2,100 per month","Apartment / Condominium, For rent",Apartment,3,2,1001 sq.ft.,Fully Furnished,"Parking, Gymnasium, Barbeque area, Swimming Pool, Playground, Minimart, Security, Jogging Track",Johor,Johor Bahru,2025-01-29 15:19,109771463,1.5012358561952133,103.78868238700376,"Air-Cond, Cooking Allowed","Jalan Bayu Puteri 1, Taman Bayu Puteri, Johor Bahru, Johor"
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,2,1,678 sq.ft.,Fully Furnished,"Playground, Barbeque area, Security, Gymnasium, Parking, Swimming Pool, Jogging Track, Lift",Johor,Iskandar Puteri,2025-01-29 15:18,109826002,1.4106835400280757,103.62737614575731,"Air-Cond, Cooking Allowed, Washing Machine","Persiaran Medini Sentral 1, Iskandar Puteri, Johor"
"RM 1,100 per month","Apartment / Condominium, For rent",Condominium,1,1,500 sq.ft.,Partially Furnished,"Gymnasium, Jogging Track, Security, Sauna, Swimming Pool, Multipurpose hall, Parking, Barbeque area",Selangor,Shah Alam,2025-01-29 15:18,109687981,,,"Air-Cond, Cooking Allowed, Washing Machine","Taman Subang Mas, Batu Tiga, Shah Alam, Selangor"
"RM 1,900 per month","Apartment / Condominium, For rent",Service Residence,1,1,560 sq.ft.,Fully Furnished,"Security, Minimart, Playground, Jogging Track, Lift, Barbeque area, Sauna, Gymnasium, Multipurpose hall, Parking, Swimming Pool",Johor,Johor Bahru,2025-01-29 15:18,109553565,,,"Air-Cond, Cooking Allowed, Washing Machine","Jalan Dato Abdullah Tahir, Taman Abad, Johor Bahru, Johor"
"RM 2,000 per month","Apartment / Condominium, For rent",Apartment,1,1,560 sq.ft.,Fully Furnished,"Playground, Security, Gymnasium, Multipurpose hall, Jogging Track, Lift, Parking, Swimming Pool, Barbeque area, Sauna, Minimart",Johor,Johor Bahru,2025-01-29 15:18,109518998,,,"Air-Cond, Cooking Allowed, Washing Machine","Jalan Dato Abdullah Tahir, Taman Abad, Johor Bahru, Johor"
"RM 1,600 per month","House, For rent",2-storey Terraced House,3,3,2000 sq.ft.,Partially Furnished,,Selangor,Shah Alam,2025-01-29 15:18,109955973,,,,
RM 700 per month,"House, For rent",1-storey Terraced House,3,2,1052 sq.ft.,Not Furnished,Parking,Perak,Seri Iskandar,2025-01-29 15:18,109955972,,,,
"RM 1,500 per month","Apartment / Condominium, For rent",Apartment,2,2,870 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall",Selangor,Batu Caves,2025-01-29 15:17,109955971,,,"Air-Cond, Cooking Allowed, Washing Machine, Internet",
"RM 1,650 per month","House, For rent",1-storey Terraced House,3,2,1400 sq.ft.,Fully Furnished,"Parking, Jogging Track, Tennis Court, Playground, Minimart",Pahang,Kuantan,2025-01-29 15:17,109955970,,,"Air-Cond, Cooking Allowed, Washing Machine",
RM 600 per month,"Apartment / Condominium, For rent",Apartment,2,1,1200 sq.ft.,Not Furnished,Parking,Selangor,Selayang,2025-01-29 15:17,109955969,3.2665496936809517,101.67113829624243,,"Jalan 4/8, Bandar Baru Selayang, Selayang, Selangor"
"RM 2,800 per month","Apartment / Condominium, For rent",Service Residence,2,2,871 sq.ft.,Fully Furnished,"Barbeque area, Club house, Tennis Court, Lift, Multipurpose hall, Parking, Playground, Gymnasium, Sauna, Security, Swimming Pool",Selangor,Ara Damansara,2025-01-29 15:17,109869688,3.1142824892680756,101.57954176018544,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan PJU 1a/4, Ara Damansara, Selangor"
"RM 2,300 per month","House, For rent",2-storey Terraced House,4,3,1822 sq.ft.,Fully Furnished,,Selangor,Sepang,2025-01-29 15:17,109435294,,,"Air-Cond, Cooking Allowed, Washing Machine",
"RM 3,000 per month","Apartment / Condominium, For rent",Service Residence,2,2,700 sq.ft.,Fully Furnished,"Lift, Gymnasium, Swimming Pool, Multipurpose hall, Parking, Minimart, Playground, Security",Putrajaya,Putrajaya,2025-01-29 15:15,109827858,,,,"Persiaran IRC 3, IOI Resort City, Putrajaya, Putrajaya"
"RM 2,800 per month","House, For rent",2-storey Terraced House,4,3,1600 sq.ft.,Partially Furnished,,Putrajaya,Putrajaya,2025-01-29 15:15,109827275,,,,
"RM 1,700 per month","House, For rent",Terraced House,4,2,1200 sq.ft.,Not Furnished,,Selangor,Cyberjaya,2025-01-29 15:15,108870687,,,,
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,3,2,1055 sq.ft.,Partially Furnished,"Security, Barbeque area, Multipurpose hall, Swimming Pool, Gymnasium, Jogging Track, Parking, Playground, Lift",Selangor,Bangi,2025-01-29 15:13,109310209,2.8780632392233954,101.79517375927882,"Cooking Allowed, Washing Machine, Near KTM/LRT, Internet, Air-Cond","Laman Puteri 3, Bandar Puteri Bangi, Bangi, Selangor"
RM 700 per month,"Apartment / Condominium, For rent",Flat,5,2,650 sq.ft.,Not Furnished,"Playground, Parking, Minimart",Selangor,Bandar Sri Damansara,2025-01-29 15:10,107755812,,,"Cooking Allowed, Near KTM/LRT, Washing Machine","Off Persiaran Cempaka, Bandar Sri Damansara, Selangor"
"RM 2,500 per month","Apartment / Condominium, For rent",Service Residence,3,2,926 sq.ft.,Fully Furnished,"Parking, Security, Multipurpose hall, Playground, Swimming Pool, Barbeque area, Gymnasium, Lift",Selangor,Sepang,2025-01-29 15:10,109955875,2.826571,101.7006692,,"Warisan Puteri, Persiaran Warisan, Sepang, Selangor"
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,1,1,800 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Johor,Johor Bahru,2025-01-29 15:10,109955859,,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Kangkar Tebrau, Off Jalan Pandan, Johor Bahru, Johor"
"RM 1,400 per month","House, For rent",Townhouse,3,2,1348 sq.ft.,Fully Furnished,,Penang,Bukit Minyak,2025-01-29 15:10,109955856,,,,
"RM 1,800 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Fully Furnished,"Parking, Security, Lift, Playground, Swimming Pool, Jogging Track, Gymnasium, Minimart",Kuala Lumpur,Sentul,2025-01-29 15:08,109851582,,,"Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",
"RM 1,200 per month","House, For rent",Townhouse,3,2,750 sq.ft.,Not Furnished,,Kuala Lumpur,Sentul,2025-01-29 15:08,109955922,,,,
"RM 2,000 per month","House, For rent",Semi-Detached House,5,3,4400 sq.ft.,Fully Furnished,Security,Selangor,Kajang,2025-01-29 15:07,109955921,,,Washing Machine,
"RM 2,800 per month","House, For rent",2-storey Terraced House,4,3,1800 sq.ft.,Fully Furnished,"Security, Playground",Selangor,Bandar Bukit Raja,2025-01-29 15:07,109955920,,,"Air-Cond, Cooking Allowed",
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,2,2,728 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Selangor,Setia Alam,2025-01-29 15:07,109705570,3.1137264,101.4530429,,"Jalan Setia Murni U13/51, Setia Alam, Selangor"
RM 900 per month,"Apartment / Condominium, For rent",Condominium,3,2,1098 sq.ft.,Not Furnished,Parking,Selangor,Kajang,2025-01-29 15:07,109955915,2.9733625879404237,101.82373982242916,,"Jalan Anggerik Villa 2/1, Kajang, Selangor"
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Partially Furnished,"Playground, Parking, Security, Jogging Track",Kuala Lumpur,Old Klang Road,2025-01-29 15:07,109272606,,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Seri Sentosa 9, Taman Seri Sentosa, Old Klang Road, Kuala Lumpur"
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Not Furnished,"Parking, Playground, Lift, Security, Multipurpose hall",Selangor,Sepang,2025-01-29 15:07,109955911,,,Cooking Allowed,"Persiaran Suria Warisan, Sepang, Selangor"
RM 900 per month,"House, For rent",1-storey Terraced House,3,2,1600 sq.ft.,Fully Furnished,,Perak,Ipoh,2025-01-29 15:07,109955909,,,"Cooking Allowed, Air-Cond, Washing Machine",
"RM 1,600 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Partially Furnished,"Playground, Gymnasium, Parking, Security, Swimming Pool, Lift, Multipurpose hall, Jogging Track",Kuala Lumpur,Setapak,2025-01-29 15:07,109281593,3.2015430522313166,101.71456554774143,"Cooking Allowed, Near KTM/LRT","Jalan Danau Saujana 1, Taman Danau Kota, Setapak, Kuala Lumpur"
"RM 1,350 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Partially Furnished,"Parking, Lift, Security",Penang,Seberang Jaya,2025-01-29 15:06,109955904,,,,"Off Jalan Laguna 1, Kampung Jawa, Seberang Jaya, Penang"
RM 900 per month,"Apartment / Condominium, For rent",Apartment,2,1,800 sq.ft.,Not Furnished,"Parking, Playground, Minimart",Selangor,Shah Alam,2025-01-29 15:06,109955903,3.0379442,101.5197457,"Air-Cond, Cooking Allowed","Seksyen 24, Shah Alam, Selangor"
"RM 1,100 per month","Apartment / Condominium, For rent",Service Residence,2,2,650 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna",Negeri Sembilan,Nilai,2025-01-29 15:06,108789921,2.822683283600126,101.7751615384061,"Air-Cond, Cooking Allowed, Washing Machine","Persiaran Ilmu, Bandar Baru Nilai, Nilai, Negeri Sembilan"
RM 950 per month,"Apartment / Condominium, For rent",Service Residence,2,2,450 sq.ft.,Fully Furnished,"Minimart, Gymnasium, Jogging Track, Parking, Security, Playground, Swimming Pool, Lift, Multipurpose hall",Negeri Sembilan,Nilai,2025-01-29 15:06,109767108,2.822683283600126,101.7751615384061,"Air-Cond, Cooking Allowed, Washing Machine","Persiaran Ilmu, Bandar Baru Nilai, Nilai, Negeri Sembilan"
"RM 1,200 per month","Apartment / Condominium, For rent",Service Residence,2,1,555 sq.ft.,Partially Furnished,"Swimming Pool, Security, Lift, Parking, Gymnasium, Playground, Barbeque area",Selangor,Bangi,2025-01-29 15:06,109665938,,,"Near KTM/LRT, Cooking Allowed, Washing Machine","Jalan BBLS 1, Southville City, Bangi, Selangor"
"RM 1,050 per month","Apartment / Condominium, For rent",Service Residence,2,2,720 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna",Negeri Sembilan,Nilai,2025-01-29 15:06,108625701,2.822683283600126,101.7751615384061,"Air-Cond, Cooking Allowed, Washing Machine","Persiaran Ilmu, Bandar Baru Nilai, Nilai, Negeri Sembilan"
RM 800 per month,"Apartment / Condominium, For rent",Service Residence,1,1,350 sq.ft.,Fully Furnished,"Parking, Lift, Swimming Pool, Playground, Security, Gymnasium",Negeri Sembilan,Nilai,2025-01-29 15:06,108589508,2.822683283600126,101.7751615384061,"Air-Cond, Cooking Allowed, Washing Machine","Persiaran Ilmu, Bandar Baru Nilai, Nilai, Negeri Sembilan"
RM 900 per month,"House, For rent",1-storey Terraced House,4,2,1200 sq.ft.,Partially Furnished,"Parking, Jogging Track",Melaka,Bukit Beruang,2025-01-29 15:06,109955901,,,"Cooking Allowed, Washing Machine",
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,3,3,1022 sq.ft.,Partially Furnished,"Jogging Track, Parking, Multipurpose hall, Swimming Pool, Gymnasium, Security, Playground, Club house, Lift",Selangor,Kajang,2025-01-29 15:05,108880860,,,"Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT, Internet","Persiaran Tropicana Heights 1B, Bandar Teknologi Kajang, Kajang, Selangor"
"RM 2,300 per month","Apartment / Condominium, For rent",Condominium,3,3,1267 sq.ft.,Fully Furnished,"Security, Gymnasium, Jogging Track, Swimming Pool, Parking, Minimart, Playground",Kuala Lumpur,Wangsa Maju,2025-01-29 15:05,109955845,3.1931270823436493,101.73537431671753,,"Jalan Seri Wangsa 1, Taman Sri Rampai, Wangsa Maju, Kuala Lumpur"
"RM 1,500 per month","House, For rent",2-storey Terraced House,5,3,2800 sq.ft.,Not Furnished,,Penang,Berapit,2025-01-29 15:05,109955839,,,,
"RM 1,000 per month","House, For rent",2-storey Terraced House,4,3,1080 sq.ft.,Not Furnished,,Penang,Tasek Gelugor,2025-01-29 15:05,109955819,,,,
"RM 1,500 per month","Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Fully Furnished,"Security, Multipurpose hall, Playground, Parking, Barbeque area, Gymnasium, Lift, Jogging Track",Kuala Lumpur,Cheras,2025-01-29 15:04,109955893,,,"Air-Cond, Washing Machine, Cooking Allowed, Near KTM/LRT","Off Persiaran Bestari, Alam Damai, Cheras, Kuala Lumpur"
"RM 2,000 per month","House, For rent",Terraced House,4,3,3250 sq.ft.,Partially Furnished,"Parking, Jogging Track, Security, Playground, Barbeque area, Minimart",Selangor,Bandar Puteri Klang,2025-01-29 15:04,107497029,,,Cooking Allowed,
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,3,2,850 sq.ft.,Fully Furnished,"Parking, Security, Playground, Multipurpose hall, Swimming Pool",Selangor,Sepang,2025-01-29 15:03,109955885,,,"Air-Cond, Cooking Allowed, Washing Machine, Internet","Jalan Kenanga 1/6, Taman Kenanga, Sepang, Selangor"
"RM 2,550 per month","Apartment / Condominium, For rent",Service Residence,3,2,960 sq.ft.,Fully Furnished,"Gymnasium, Multipurpose hall, Security, Playground, Swimming Pool, Parking, Barbeque area, Lift, Minimart",Johor,Johor Bahru,2025-01-29 15:00,109727582,1.4766332579033388,103.74210662498318,"Air-Cond, Cooking Allowed, Washing Machine","4, Jalan Abdul Samad, Kampung Bahru, Johor Bahru, Johor"
"RM 2,300 per month","Apartment / Condominium, For rent",Condominium,3,2,1241 sq.ft.,Fully Furnished,"Security, Playground, Squash Court, Minimart, Barbeque area, Parking, Swimming Pool, Gymnasium, Sauna, Multipurpose hall",Penang,Tanjong Tokong,2025-01-29 15:00,109385749,,,"Air-Cond, Cooking Allowed, Washing Machine","Persiaran Halia 3, Off Jalan Mount Erskine, Tanjong Tokong, Penang"
"RM 2,100 per month","Apartment / Condominium, For rent",Condominium,3,2,1226 sq.ft.,Fully Furnished,"Sauna, Playground, Multipurpose hall, Minimart, Swimming Pool, Gymnasium, Squash Court, Barbeque area, Parking, Security",Penang,Tanjong Tokong,2025-01-29 15:00,109892541,,,"Air-Cond, Washing Machine","Persiaran Halia 3, Off Jalan Mount Erskine, Tanjong Tokong, Penang"
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Fully Furnished,"Club house, Barbeque area, Jogging Track, Multipurpose hall, Security, Swimming Pool, Parking, Gymnasium, Lift, Playground",Penang,Tanjong Tokong,2025-01-29 15:00,109701541,5.4483468362577625,100.30197504866534,"Air-Cond, Internet, Cooking Allowed, Near KTM/LRT, Washing Machine","Persiaran Halia 3, Tanjong Tokong, Penang"
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,820 sq.ft.,Partially Furnished,"Security, Playground, Lift, Parking, Swimming Pool, Minimart, Jogging Track",Kuala Lumpur,Cheras,2025-01-29 14:59,109680129,3.0986044534155077,101.71434410230317,"Cooking Allowed, Near KTM/LRT","Jalan Tasik Permaisuri 3, Cheras, Kuala Lumpur"
"RM 1,500 per month","Apartment / Condominium, For rent",Service Residence,1,1,486 sq.ft.,Fully Furnished,"Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Selangor,I-City,2025-01-29 14:58,109011438,3.0651164344671322,101.48331981653467,"Air-Cond, Cooking Allowed, Washing Machine","Jalan Multimedia 7/Ah, I-City, Selangor"
