monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,state,region,publishedDatetime,ads_id,latitude,longitude,additional_facilities,address
"RM 3,500 per month","Apartment / Condominium, For rent",Service Residence,2,2,850 sq.ft.,Fully Furnished,"Swimming Pool, Barbeque area, Sauna, Multipurpose hall, Playground, Gymnasium, Club house, Parking, Security, Lift",Kuala Lumpur,Ampang,2025-01-28 15:01,109877991,,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","No.126,  Jalan Damai, Ampang, Kuala Lumpur"
"RM 1,400 per month","House, For rent",2-storey Terraced House,4,2,1300 sq.ft.,Fully Furnished,"Parking, Playground, Minimart, Jogging Track",Melaka,Durian Tunggal,2025-01-28 15:00,109363764,,,"Cooking Allowed, Air-Cond",
"RM 1,900 per month","House, For rent",Cluster House,5,3,1500 sq.ft.,Partially Furnished,,Johor,Skudai,2025-01-28 14:58,109405261,,,,
"RM 1,200 per month","Apartment / Condominium, For rent",Service Residence,1,1,450 sq.ft.,Partially Furnished,"Squash Court, Lift, Parking, Security, Minimart, Swimming Pool, Gymnasium, Playground, Club house, Multipurpose hall",Selangor,Shah Alam,2025-01-28 14:57,108663642,3.0978935014745757,101.53926594544771,"Washing Machine, Cooking Allowed, Air-Cond","Jalan Bazar U8/99, Bukit Jelutong, Shah Alam, Selangor"
RM 950 per month,"House, For rent",1-storey Terraced House,2,1,900 sq.ft.,Partially Furnished,"Parking, Minimart",Selangor,Klang,2025-01-28 14:51,109799751,,,,
"RM 1,300 per month","House, For rent",2-storey Terraced House,4,3,1760 sq.ft.,Not Furnished,"Security, Parking, Gymnasium, Playground, Jogging Track, Club house, Swimming Pool, Sauna, Multipurpose hall, Tennis Court, Barbeque area, Squash Court",Negeri Sembilan,Bandar Sri Sendayan,2025-01-28 14:50,109949773,,,,
"RM 1,000 per month","Apartment / Condominium, For rent",Condominium,1,1,377 sq.ft.,Fully Furnished,"Parking, Security, Lift, Gymnasium",Sarawak,Kota Samarahan,2025-01-28 14:48,109949842,,,"Air-Cond, Cooking Allowed","13, Jalan Datuk Mohammad Musa, Kota Samarahan, Sarawak"
"RM 1,600 per month","House, For rent",2-storey Terraced House,4,3,4000 sq.ft.,Not Furnished,Playground,Selangor,Saujana Utama,2025-01-28 14:48,109949841,,,Air-Cond,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,4,2,775 sq.ft.,Fully Furnished,,Selangor,Petaling Jaya,2025-01-28 14:48,109279490,,,,"Jalan PJS8/9, Petaling Jaya, Selangor"
"RM 2,000 per month","House, For rent",2-storey Terraced House,4,4,1400 sq.ft.,Partially Furnished,,Selangor,Sepang,2025-01-28 14:47,109949835,,,,
"RM 1,650 per month","Apartment / Condominium, For rent",Apartment,1,1,673 sq.ft.,Fully Furnished,"Lift, Security, Parking",Sarawak,Kuching,2025-01-28 14:45,109949754,,,"Air-Cond, Cooking Allowed, Washing Machine","Jalan Tabuan Dayak, Off Jalan Song, Kuching, Sarawak"
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,1345 sq.ft.,Fully Furnished,"Playground, Security, Lift, Parking, Swimming Pool, Jogging Track",Sarawak,Kuching,2025-01-28 14:45,109949753,,,"Air-Cond, Cooking Allowed, Washing Machine","Persiaran Bandar Baru Batu Kawah, Bandar Baru Batu Kawa (MJC), Kuching, Sarawak"
"RM 1,400 per month","Apartment / Condominium, For rent",Condominium,3,2,1023 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Gymnasium, Lift, Security",Selangor,Kajang,2025-01-28 14:45,109949727,2.9600519,101.79473955,"Air-Cond, Near KTM/LRT","Jalan Zamrud Utama, Kajang 2, Kajang, Selangor"
"RM 2,000 per month","Apartment / Condominium, For rent",Apartment,3,2,828 sq.ft.,Fully Furnished,"Playground, Lift, Security, Gymnasium, Parking, Swimming Pool",Putrajaya,Putrajaya,2025-01-28 14:44,109949812,2.9548614,101.672962,"Washing Machine, Cooking Allowed, Air-Cond","Jalan P11 H/7, Presint 11, Putrajaya, Putrajaya"
"RM 1,000 per month","House, For rent",1-storey Terraced House,4,2,1195 sq.ft.,Partially Furnished,Parking,Melaka,Melaka City,2025-01-28 14:43,109858406,,,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,2,1,900 sq.ft.,Fully Furnished,"Security, Gymnasium, Swimming Pool, Parking, Playground",Johor,Gelang Patah,2025-01-28 14:42,109949789,,,,"Jalan Forest City - Lebuhraya Tanjung Pelepas, Gelang Patah, Johor"
"RM 9,900 per month","Apartment / Condominium, For rent",Condominium,5,4,4155 sq.ft.,Fully Furnished,"Jogging Track, Parking, Playground, Sauna, Squash Court, Swimming Pool, Gymnasium, Barbeque area, Security, Lift",Penang,Tanjong Tokong,2025-01-28 14:41,109481220,5.445988250406207,100.30512921273039,"Air-Cond, Cooking Allowed, Washing Machine","Jalan Tanjong Tokong, Tanjong Tokong, Penang"
"RM 2,400 per month","Apartment / Condominium, For rent",Condominium,3,3,1400 sq.ft.,Fully Furnished,"Playground, Squash Court, Sauna, Club house, Barbeque area, Parking, Security, Swimming Pool, Gymnasium, Lift, Minimart",Selangor,Kajang,2025-01-28 14:37,108175267,2.898835754605394,101.79260608154989,"Air-Cond, Cooking Allowed","Jalan Bangi Avenue 6, Bangi Avenue, Kajang, Selangor"
"RM 1,100 per month","Apartment / Condominium, For rent",Service Residence,1,1,560 sq.ft.,Fully Furnished,"Security, Lift",Selangor,Shah Alam,2025-01-28 14:37,99596794,3.068403236395915,101.55583511552855,"Air-Cond, Near KTM/LRT","Jalan Jubli Perak 22/1, Shah Alam, Selangor"
