monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,ads_id,latitude,longitude
"RM 1,400 per month","Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Fully Furnished,"Minimart, Lift, Barbeque area, Club house, Security, Playground, Gymnasium, Parking, Swimming Pool, Sauna, Multipurpose hall, Jogging Track, Squash Court, Tennis Court","Cooking Allowed, Air-Cond, Washing Machine, Near KTM/LRT, Internet","Jalan Silat Lincah, Bandar Selesa Jaya, Skudai, Johor",Johor,Skudai,2025-01-26 10:48,109929265,1.4925422143452214,103.63192657117516
RM 950 per month,"Apartment / Condominium, For rent",Flat,3,2,700 sq.ft.,Partially Furnished,"Playground, Multipurpose hall, Parking","Cooking Allowed, Washing Machine"," Jalan Plumbum 7/95, Seksyen 7, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-26 10:44,109741168,3.0681774711202476,101.48085779946253
"RM 1,300 per month","Apartment / Condominium, For rent",Flat,3,2,750 sq.ft.,Partially Furnished,"Parking, Playground, Multipurpose hall","Near KTM/LRT, Cooking Allowed"," Jalan Plumbum 7/95, Seksyen 7, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-26 10:43,109613618,3.0681774711202476,101.48085779946253
"RM 1,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1000 sq.ft.,Not Furnished,"Security, Minimart, Playground, Parking, Gymnasium, Swimming Pool, Barbeque area, Lift","Cooking Allowed, Near KTM/LRT","Persiaran Bukit Raja 1, Bandar Baru Klang, Klang, Selangor",Selangor,Klang,2025-01-26 10:43,109274971,3.06256715,101.4679486
"RM 2,300 per month","House, For rent",Semi-Detached House,5,3,2300 sq.ft.,Fully Furnished,,,,Kedah,Sungai Petani,2025-01-26 10:42,109929194,,
"RM 1,300 per month","House, For rent",2-storey Terraced House,4,2,1500 sq.ft.,Partially Furnished,,,,Selangor,Klang,2025-01-26 10:42,109929193,,
"RM 1,650 per month","Apartment / Condominium, For rent",Apartment,3,2,822 sq.ft.,Partially Furnished,"Barbeque area, Swimming Pool, Lift, Playground, Gymnasium, Parking, Minimart, Multipurpose hall, Security, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Sinar Sentul, Sentul, Kuala Lumpur",Kuala Lumpur,Sentul,2025-01-26 10:42,109927237,3.1891904955224337,101.69067289992145
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,948 sq.ft.,Partially Furnished,"Minimart, Gymnasium, Squash Court, Club house, Parking, Playground, Security, Jogging Track, Lift, Multipurpose hall","Near KTM/LRT, Cooking Allowed, Washing Machine, Air-Cond","Off Jalan Sentul Pasar, Sentul, Kuala Lumpur",Kuala Lumpur,Sentul,2025-01-26 10:39,109534732,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,764 sq.ft.,Partially Furnished,"Parking, Security, Minimart, Playground, Swimming Pool, Gymnasium, Jogging Track, Sauna","Cooking Allowed, Near KTM/LRT","Off Persiaran Surian, Pelangi Damansara, Kota Damansara, Selangor",Selangor,Kota Damansara,2025-01-26 10:38,109412779,,
"RM 1,399 per month","Apartment / Condominium, For rent",Apartment,3,2,987 sq.ft.,Fully Furnished,"Security, Minimart, Parking, Playground, Barbeque area","Cooking Allowed, Air-Cond, Washing Machine","Jalan Titiwangsa Utama, Taman Tampoi Indah, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-26 10:36,109913863,1.5077987432323092,103.68548955840619
"RM 2,299 per month","Apartment / Condominium, For rent",Condominium,3,2,1099 sq.ft.,Fully Furnished,"Swimming Pool, Lift, Barbeque area, Parking, Security, Playground, Gymnasium, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine","Off Jalan Datin Halimah, Kampung Aman, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-26 10:36,109914144,,
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,950 sq.ft.,Partially Furnished,,,,Selangor,Semenyih,2025-01-26 10:35,109929081,,
"RM 1,700 per month","House, For rent",2-storey Terraced House,4,3,1780 sq.ft.,Fully Furnished,Parking,"Air-Cond, Cooking Allowed, Washing Machine",,Selangor,Sepang,2025-01-26 10:34,109907385,,
"RM 1,650 per month","Apartment / Condominium, For rent",Condominium,2,2,1095 sq.ft.,Fully Furnished,"Tennis Court, Squash Court, Security, Gymnasium, Parking, Barbeque area, Playground, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Washing Machine","No.54, Jalan Low Yat, Puncak Ria, Batu Ferringhi, Penang",Penang,Batu Ferringhi,2025-01-26 10:30,109470704,,
"RM 2,500 per month","House, For rent",Townhouse,3,2,1600 sq.ft.,Partially Furnished,"Parking, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",,Kuala Lumpur,Batu,2025-01-26 10:30,109659737,,
"RM 1,300 per month","Apartment / Condominium, For rent",Condominium,1,1,480 sq.ft.,Fully Furnished,"Barbeque area, Parking, Playground, Gymnasium, Sauna, Swimming Pool, Jogging Track, Multipurpose hall, Security","Cooking Allowed, Air-Cond, Washing Machine","Jalan Petanak, Kuching, Sarawak",Sarawak,Kuching,2025-01-26 10:30,109929068,1.5553528771689638,110.36222370981507
"RM 1,800 per month","Apartment / Condominium, For rent",Apartment,2,2,700 sq.ft.,Fully Furnished,"Security, Lift, Gymnasium, Barbeque area, Parking, Playground, Swimming Pool",,"Jalan Mahmoodiah, Kampung Mahmoddiah, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-26 10:30,109929061,1.46394285,103.75037465
"RM 1,880 per month","House, For rent",Semi-Detached House,5,4,2800 sq.ft.,Fully Furnished,"Parking, Security, Playground, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",,Negeri Sembilan,Ampangan,2025-01-26 10:30,109929050,,
"RM 1,300 per month","House, For rent",Townhouse,3,2,895 sq.ft.,Partially Furnished,Parking,"Air-Cond, Cooking Allowed, Washing Machine",,Selangor,Ampang,2025-01-26 10:30,109929044,,
"RM 2,200 per month","Apartment / Condominium, For rent",Service Residence,3,2,1007 sq.ft.,Fully Furnished,"Playground, Gymnasium, Barbeque area, Sauna, Parking, Swimming Pool, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine","Jalan Bantayan Minintod, Bukit Bantayan, Kota Kinabalu, Sabah",Sabah,Kota Kinabalu,2025-01-26 10:30,109929031,,
"RM 1,999 per month","House, For rent",Townhouse,3,2,1050 sq.ft.,Fully Furnished,"Parking, Playground, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",,Johor,Tampoi,2025-01-26 10:30,109929025,,
"RM 2,300 per month","Apartment / Condominium, For rent",Condominium,4,2,1030 sq.ft.,Fully Furnished,"Swimming Pool, Barbeque area, Multipurpose hall, Parking, Security, Playground, Jogging Track, Gymnasium, Lift",,"Persiaran Cassia Barat 6, Bandar Cassia, Batu Kawan, Penang",Penang,Batu Kawan,2025-01-26 10:30,109929020,5.23660974338571,100.4332651109698
"RM 1,600 per month","House, For rent",Townhouse,3,3,1500 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",,Sarawak,Kuching,2025-01-26 10:30,109929004,,
"RM 3,200 per month","Apartment / Condominium, For rent",Service Residence,3,2,1365 sq.ft.,Fully Furnished,"Security, Playground, Swimming Pool, Gymnasium, Minimart, Jogging Track, Lift, Parking","Air-Cond, Cooking Allowed, Washing Machine","Jalan Dato Abdullah Tahir, Taman Abad, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-26 10:30,109928988,,
"RM 1,200 per month","Apartment / Condominium, For rent",Service Residence,1,1,390 sq.ft.,Fully Furnished,"Parking, Gymnasium, Playground, Barbeque area, Security, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan Uranus U5/125, Subang Pelangi, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-26 10:29,109929149,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Partially Furnished,"Multipurpose hall, Playground, Lift, Parking, Security, Jogging Track",,"Persiaran Denai Nusantara, Kampung Melayu, Gelang Patah, Johor",Johor,Gelang Patah,2025-01-26 10:28,109929145,,
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,3,2,925 sq.ft.,Partially Furnished,"Gymnasium, Parking, Jogging Track, Barbeque area, Sauna, Multipurpose hall, Security, Lift",,"Jalan Madrasah, Gombak Setia, Setapak, Kuala Lumpur",Kuala Lumpur,Setapak,2025-01-26 10:28,109682841,,
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Partially Furnished,"Security, Parking, Lift, Swimming Pool",,"Jalan Kampung Bandar Dalam, Setapak, Kuala Lumpur",Kuala Lumpur,Setapak,2025-01-26 10:27,109700240,3.204529663598483,101.70141781646242
"RM 3,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1361 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Playground, Club house, Security, Barbeque area, Parking, Lift",,"Jalan Ong Tiang Swee, Kuching, Sarawak",Sarawak,Kuching,2025-01-26 10:25,109928939,1.5307581325796362,110.3572191747478
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,926 sq.ft.,Not Furnished,"Playground, Parking, Minimart, Swimming Pool, Gymnasium, Tennis Court, Lift, Security, Squash Court, Sauna","Air-Cond, Cooking Allowed","Jalan Lestari, Kampung Padang Tembak, Keramat, Kuala Lumpur",Kuala Lumpur,Keramat,2025-01-26 10:25,109928924,,
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1030 sq.ft.,Fully Furnished,"Security, Parking, Playground, Gymnasium, Lift, Barbeque area, Swimming Pool, Jogging Track, Multipurpose hall","Air-Cond, Cooking Allowed","Persiaran Cassia Barat 6, Bandar Cassia, Batu Kawan, Penang",Penang,Batu Kawan,2025-01-26 10:25,109928917,5.23660974338571,100.4332651109698
"RM 1,000 per month","House, For rent",1-storey Terraced House,3,3,1500 sq.ft.,Not Furnished,,,,Melaka,Bukit Katil,2025-01-26 10:25,109928912,,
"RM 1,100 per month","Apartment / Condominium, For rent",Apartment,3,2,800 sq.ft.,Partially Furnished,"Parking, Playground, Security, Multipurpose hall, Lift, Minimart","Cooking Allowed, Near KTM/LRT","Jalan Perimbun 27/11, Seksyen 27, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-26 10:25,109928965,3.0276922698589344,101.56800163371959
"RM 5,000 per month","House, For rent",Bungalow House,3,2,5000 sq.ft.,Partially Furnished,"Parking, Playground, Minimart, Barbeque area","Air-Cond, Cooking Allowed",,Kuala Lumpur,Setapak,2025-01-26 10:25,109164120,,
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1100 sq.ft.,Partially Furnished,"Security, Gymnasium, Tennis Court, Multipurpose hall, Playground, Minimart, Swimming Pool, Parking, Barbeque area, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan Pelangi, Off Jalan Batu Tiga Lama, Klang, Selangor",Selangor,Klang,2025-01-26 10:24,109929117,,
"RM 1,000 per month","Apartment / Condominium, For rent",Apartment,3,2,928 sq.ft.,Partially Furnished,"Parking, Jogging Track, Security, Playground, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Pluto U5/138, Seksyen U5, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-26 10:24,109929115,3.1646295507467905,101.53908157392098
"RM 1,850 per month","Apartment / Condominium, For rent",Condominium,3,2,1200 sq.ft.,Partially Furnished,"Parking, Gymnasium, Jogging Track, Swimming Pool, Security, Barbeque area, Multipurpose hall, Playground, Squash Court, Lift, Sauna, Minimart","Air-Cond, Near KTM/LRT, Cooking Allowed","Jalan Puchong Batu 13/12, Puchong, Selangor",Selangor,Puchong,2025-01-26 10:23,109929113,2.984152924168781,101.61689270457022
RM 800 per month,"Apartment / Condominium, For rent",Flat,3,2,700 sq.ft.,Not Furnished,"Lift, Playground, Minimart",,,Kuala Lumpur,Old Klang Road,2025-01-26 10:23,109929110,,
"RM 1,900 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Fully Furnished,"Playground, Parking, Minimart","Air-Cond, Washing Machine",,Perak,Ipoh,2025-01-26 10:23,109929106,,
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,1065 sq.ft.,Fully Furnished,"Playground, Parking","Cooking Allowed, Washing Machine","Jalan Matahari U5/117, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-26 10:23,109741486,3.1665403560355982,101.54140298958167
"RM 1,200 per month","Apartment / Condominium, For rent",Townhouse Condo,3,2,1200 sq.ft.,Not Furnished,Parking,Cooking Allowed,"Jalan Lagenda 10, Cheras, Selangor",Selangor,Cheras,2025-01-26 10:22,109929098,3.06560635,101.7597643
"RM 1,400 per month","House, For rent",1-storey Terraced House,4,2,1600 sq.ft.,Fully Furnished,"Parking, Security, Playground, Jogging Track, Minimart","Air-Cond, Cooking Allowed, Washing Machine",,Perak,Ipoh,2025-01-26 10:22,109929094,,
"RM 1,300 per month","House, For rent",1-storey Terraced House,4,2,1000 sq.ft.,Fully Furnished,"Parking, Minimart, Playground",,,Negeri Sembilan,Port Dickson,2025-01-26 10:21,109929092,,
"RM 1,200 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Not Furnished,"Minimart, Swimming Pool, Security, Tennis Court, Playground, Gymnasium, Parking",Air-Cond,"Jalan Eco Majestic 3A/5, Eco Majestic, Semenyih, Selangor",Selangor,Semenyih,2025-01-26 10:21,109874578,,
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,1345 sq.ft.,Fully Furnished,"Lift, Swimming Pool, Playground, Parking, Security, Gymnasium, Barbeque area, Club house","Air-Cond, Washing Machine","Persiaran Bandar Baru Batu Kawah, Bandar Baru Batu Kawa (MJC), Kuching, Sarawak",Sarawak,Kuching,2025-01-26 10:21,109929088,,
RM 850 per month,"Apartment / Condominium, For rent",Apartment,3,2,800 sq.ft.,Not Furnished,"Security, Playground, Lift, Parking, Minimart, Multipurpose hall, Tennis Court",Cooking Allowed,"Persiaran Tun Teja Utama, Taman Tun Teja, Rawang, Selangor",Selangor,Rawang,2025-01-26 10:21,109929085,,
"RM 1,100 per month","House, For rent",Terraced House,3,2,20 sq.ft.,Not Furnished,"Parking, Minimart",,,Selangor,Setia Alam,2025-01-26 10:20,109929080,,
RM 950 per month,"House, For rent",Others,3,1,800 sq.ft.,Not Furnished,,,,Kuala Lumpur,Gombak,2025-01-26 10:20,109929078,,
"RM 1,100 per month","House, For rent",2-storey Terraced House,4,3,1400 sq.ft.,Partially Furnished,,,,Selangor,Rawang,2025-01-26 10:19,108593283,,
"RM 1,000 per month","Apartment / Condominium, For rent",Studio,1,1,363 sq.ft.,Fully Furnished,"Security, Playground, Lift","Air-Cond, Near KTM/LRT","Jalan PJU 8/8, Damansara Perdana, Selangor",Selangor,Damansara Perdana,2025-01-26 10:18,106200752,3.1682125,101.61253124999999
RM 750 per month,"Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Not Furnished,"Parking, Playground, Security, Minimart",Cooking Allowed,"No. 6, Jalan Pluto U5/138, Seksyen U5, Shah Alam, Selangor",Selangor,Shah Alam,2025-01-26 10:12,109261843,3.1641752519751543,101.5364285315286
"RM 1,600 per month","House, For rent",Townhouse,3,3,1 sq.ft.,Fully Furnished,,,,Sarawak,Kuching,2025-01-26 10:10,109928905,,
"RM 1,000 per month","House, For rent",1-storey Terraced House,4,3,1400 sq.ft.,Not Furnished,,,,Melaka,Paya Rumput,2025-01-26 10:10,109928901,,
"RM 1,700 per month","Apartment / Condominium, For rent",Service Residence,3,2,930 sq.ft.,Partially Furnished,"Parking, Playground, Security, Multipurpose hall, Swimming Pool, Gymnasium",,"Jalan Kuraman, Kampung Kuantan, Setapak, Kuala Lumpur",Kuala Lumpur,Setapak,2025-01-26 10:10,109834873,,
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,3,2,1030 sq.ft.,Fully Furnished,"Playground, Jogging Track, Multipurpose hall, Parking, Swimming Pool, Lift, Barbeque area, Security, Gymnasium","Air-Cond, Washing Machine, Cooking Allowed, Internet","Persiaran Cassia Barat 6, Bandar Cassia, Batu Kawan, Penang",Penang,Batu Kawan,2025-01-26 10:10,109928900,5.23660974338571,100.4332651109698
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Fully Furnished,"Barbeque area, Minimart, Jogging Track, Tennis Court, Squash Court, Sauna, Security, Playground, Swimming Pool, Gymnasium, Parking","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Bayan Indah, Bayan Lepas, Penang",Penang,Bayan Lepas,2025-01-26 10:10,109928899,5.340511639075112,100.31029855867548
RM 850 per month,"House, For rent",Semi-Detached House,3,2,3540 sq.ft.,Not Furnished,"Parking, Playground",Cooking Allowed,,Perak,Parit Buntar,2025-01-26 10:10,109928889,,
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,4,3,1450 sq.ft.,Partially Furnished,"Security, Parking, Playground, Barbeque area, Multipurpose hall, Swimming Pool, Lift",,"Jalan P11h/1, Precinct 11, Putrajaya, Putrajaya",Putrajaya,Putrajaya,2025-01-26 10:10,109928809,,
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,2,1,658 sq.ft.,Fully Furnished,"Multipurpose hall, Gymnasium, Tennis Court, Barbeque area, Security, Playground, Swimming Pool, Parking, Minimart",,"Jalan Austin Perdana 1, Taman Mount Austin, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-26 10:10,109928807,1.5485848,103.78234284999999
"RM 1,600 per month","Apartment / Condominium, For rent",Service Residence,2,1,661 sq.ft.,Fully Furnished,"Playground, Gymnasium, Parking, Security, Lift, Barbeque area, Multipurpose hall, Swimming Pool",,"Jalan Seri Austin 1/17, Taman Seri Austin, Off Jalan Seri Austin 1, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-26 10:10,109928804,,
"RM 2,000 per month","House, For rent",2-storey Terraced House,4,4,1170 sq.ft.,Partially Furnished,,,,Johor,Johor Bahru,2025-01-26 10:10,109928799,,
"RM 6,800 per month","Apartment / Condominium, For rent",Service Residence,4,3,1425 sq.ft.,Partially Furnished,"Gymnasium, Lift, Parking, Security, Tennis Court, Jogging Track, Swimming Pool",,"Jalan Tenteram, Tanjung Puteri, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-26 10:10,109928786,,
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,900 sq.ft.,Partially Furnished,"Security, Parking, Lift, Playground",,"Jalan 7/48A, Bandar Baru Sentul, Sentul, Kuala Lumpur",Kuala Lumpur,Sentul,2025-01-26 10:10,109928780,,
"RM 1,800 per month","House, For rent",2-storey Terraced House,4,3,1800 sq.ft.,Fully Furnished,Security,"Air-Cond, Cooking Allowed, Washing Machine",,Penang,Simpang Ampat,2025-01-26 10:09,109928885,,
"RM 1,600 per month","Apartment / Condominium, For rent",Condominium,3,3,1022 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Gymnasium, Club house, Jogging Track, Multipurpose hall, Parking, Security, Lift","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Tropicana Heights 1B, Bandar Teknologi Kajang, Kajang, Selangor",Selangor,Kajang,2025-01-26 10:09,109928882,,
"RM 2,000 per month","Apartment / Condominium, For rent",Condominium,2,2,1050 sq.ft.,Fully Furnished,"Jogging Track, Multipurpose hall, Security, Swimming Pool, Squash Court, Gymnasium, Barbeque area, Sauna, Playground, Club house",,"Jalan Dato Keramat, Georgetown, Penang",Penang,Georgetown,2025-01-26 10:09,109928878,,
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,1,1,435 sq.ft.,Fully Furnished,"Parking, Security, Swimming Pool, Multipurpose hall, Lift, Gymnasium, Playground",,"Off Jalan Syed Abdul Aziz, Melaka Raya, Melaka",Melaka,Melaka Raya,2025-01-26 10:09,109928872,,
"RM 2,000 per month","House, For rent",2-storey Terraced House,4,3,1980 sq.ft.,Fully Furnished,,,,Melaka,Ujong Pasir,2025-01-26 10:08,109928867,,
"RM 1,200 per month","House, For rent",2-storey Terraced House,4,3,1170 sq.ft.,Not Furnished,Parking,,,Johor,Kulai,2025-01-26 10:08,109928033,,
"RM 1,150 per month","Apartment / Condominium, For rent",Apartment,3,2,850 sq.ft.,Partially Furnished,"Parking, Playground, Multipurpose hall, Swimming Pool, Gymnasium, Lift, Security, Minimart","Air-Cond, Cooking Allowed","Jalan Darau, Kampung Darau, Kota Kinabalu, Sabah",Sabah,Kota Kinabalu,2025-01-26 10:04,109161888,,
"RM 3,450 per month","Apartment / Condominium, For rent",Service Residence,2,2,750 sq.ft.,Fully Furnished,"Sauna, Swimming Pool, Lift, Gymnasium, Security, Parking",,"Jalan P. Ramlee, KLCC, Kuala Lumpur",Kuala Lumpur,KLCC,2025-01-26 10:03,109586655,,
"RM 4,000 per month","Apartment / Condominium, For rent",Condominium,3,2,798 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Security, Gymnasium, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan Kia Peng, Off Jalan Raja Chulan, KLCC, Kuala Lumpur",Kuala Lumpur,KLCC,2025-01-26 10:03,109495348,,
"RM 4,300 per month","House, For rent",2-storey Terraced House,4,4,2329 sq.ft.,Partially Furnished,,,,Johor,Johor Bahru,2025-01-26 10:01,109928827,,
RM 990 per month,"House, For rent",2-storey Terraced House,4,3,1800 sq.ft.,Not Furnished,"Security, Playground, Jogging Track",Cooking Allowed,,Kedah,Sungai Petani,2025-01-26 09:59,109475280,,
"RM 1,800 per month","Apartment / Condominium, For rent",Apartment,3,2,1063 sq.ft.,Fully Furnished,"Playground, Security, Parking, Lift, Minimart",Cooking Allowed,"Persiaran Perbandaran, Taman Desa Anggerik, Nilai, Negeri Sembilan",Negeri Sembilan,Nilai,2025-01-26 09:59,109676318,,
"RM 1,500 per month","House, For rent",2-storey Terraced House,4,3,2400 sq.ft.,Fully Furnished,"Parking, Security, Playground, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",,Negeri Sembilan,Bandar Sri Sendayan,2025-01-26 09:58,108832542,,
"RM 2,100 per month","House, For rent",2-storey Terraced House,4,4,2445 sq.ft.,Partially Furnished,"Parking, Security, Playground, Minimart, Jogging Track","Cooking Allowed, Near KTM/LRT",,Negeri Sembilan,Nilai,2025-01-26 09:57,109696114,,
"RM 2,300 per month","Apartment / Condominium, For rent",Service Residence,4,3,1300 sq.ft.,Partially Furnished,"Security, Swimming Pool, Gymnasium, Parking, Playground, Multipurpose hall, Barbeque area, Squash Court, Lift, Minimart","Cooking Allowed, Air-Cond","Off Jalan Kuarters KLIA, Taman Memancing Istana Bunian, Nilai, Negeri Sembilan",Negeri Sembilan,Nilai,2025-01-26 09:52,109921513,,
"RM 2,300 per month","Apartment / Condominium, For rent",Service Residence,3,2,950 sq.ft.,Partially Furnished,"Security, Playground, Multipurpose hall, Parking, Lift, Barbeque area, Minimart, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed","Off Jalan Melawati 4, Taman Melawati, Ampang, Selangor",Selangor,Ampang,2025-01-26 09:50,109928645,,
"RM 2,700 per month","Apartment / Condominium, For rent",Service Residence,3,2,1155 sq.ft.,Fully Furnished,"Gymnasium, Lift, Parking, Swimming Pool, Playground, Jogging Track, Security, Sauna, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Akasa, Akasa Cheras Selatan, Cheras, Selangor",Selangor,Cheras,2025-01-26 09:50,109928644,,
