monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,state,region,publishedDatetime,ads_id,latitude,longitude
"RM 1,300 per month","Apartment / Condominium, For rent",Service Residence,1,1,799 sq.ft.,Fully Furnished,"Playground, Multipurpose hall, Security, Swimming Pool, Barbeque area, Sauna, Gymnasium, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan Bayu Puteri 2, Taman Bayu Puteri, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-26 10:53,109768643,1.5012358561952133,103.78868238700376
"RM 1,500 per month","Apartment / Condominium, For rent",Condominium,3,2,800 sq.ft.,Fully Furnished,"Parking, Playground, Swimming Pool, Sauna, Gymnasium, Security, Squash Court, Jogging Track, Tennis Court, Lift","Cooking Allowed, Air-Cond, Washing Machine","Jalan Batu Uban, Kampung Batu Uban, Gelugor, Penang",Penang,Gelugor,2025-01-26 10:52,109688211,,
"RM 2,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1050 sq.ft.,Fully Furnished,"Security, Jogging Track, Barbeque area, Sauna, Playground, Gymnasium, Squash Court, Multipurpose hall, Swimming Pool, Club house, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine","Jalan Dato Keramat, Georgetown, Penang",Penang,Georgetown,2025-01-26 10:52,108756711,,
"RM 2,500 per month","Apartment / Condominium, For rent",Service Residence,2,2,936 sq.ft.,Fully Furnished,"Multipurpose hall, Gymnasium, Jogging Track, Lift, Parking, Security, Playground, Minimart, Swimming Pool, Barbeque area, Sauna","Air-Cond, Cooking Allowed, Washing Machine","Jalan Dato Abdullah Tahir, Taman Abad, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-26 10:50,108654334,,
"RM 2,600 per month","Apartment / Condominium, For rent",Service Residence,2,2,936 sq.ft.,Fully Furnished,"Jogging Track, Sauna, Multipurpose hall, Parking, Security, Lift, Swimming Pool, Gymnasium, Playground, Barbeque area, Minimart","Air-Cond, Cooking Allowed","Jalan Dato Abdullah Tahir, Taman Abad, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-26 10:50,109771569,,
"RM 1,100 per month","Apartment / Condominium, For rent",Condominium,3,2,1157 sq.ft.,Partially Furnished,"Minimart, Playground, Parking, Swimming Pool, Jogging Track, Security",,"Persiaran Sungai Long 1, Kajang, Selangor",Selangor,Kajang,2025-01-26 10:50,109194644,3.03628995,101.7945687
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,1000 sq.ft.,Not Furnished,"Parking, Security, Lift",Cooking Allowed,"Jalan Ecohill 1/2, Setia Ecohill, Semenyih, Selangor",Selangor,Semenyih,2025-01-26 10:50,109096710,2.922125395535554,101.84731789567337
"RM 3,500 per month","Apartment / Condominium, For rent",Condominium,3,2,1360 sq.ft.,Fully Furnished,"Security, Swimming Pool, Barbeque area, Playground, Gymnasium, Club house, Parking, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine","Jalan Ong Tiang Swee, Kuching, Sarawak",Sarawak,Kuching,2025-01-26 10:50,109929185,1.5310809133872474,110.35574633307917
"RM 1,300 per month","Apartment / Condominium, For rent",Apartment,3,2,764 sq.ft.,Partially Furnished,"Parking, Security, Minimart, Playground, Swimming Pool, Gymnasium, Jogging Track, Sauna","Cooking Allowed, Near KTM/LRT","Off Persiaran Surian, Pelangi Damansara, Kota Damansara, Selangor",Selangor,Kota Damansara,2025-01-26 10:50,109929178,,
"RM 2,000 per month","Apartment / Condominium, For rent",Apartment,1,1,560 sq.ft.,Fully Furnished,"Playground, Security, Gymnasium, Multipurpose hall, Jogging Track, Lift, Parking, Swimming Pool, Barbeque area, Sauna, Minimart","Air-Cond, Cooking Allowed, Washing Machine","Jalan Dato Abdullah Tahir, Taman Abad, Johor Bahru, Johor",Johor,Johor Bahru,2025-01-26 10:49,109518998,,
