ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
105655896,Sutera Avenue The Residences,2017,"RM 3,300 per month",Sabah - Kota Kinabalu,Condominium,2,1,1,972 sq.ft.,Fully Furnished,"Playground, Gymnasium, Parking, Security, Swimming Pool, Lift",
105850553,Manhattan Suites @ ITCC,,"RM 1,700 per month",Sabah - Penampang,Condominium,1,5,1,510 sq.ft.,Fully Furnished,"Security, Gymnasium, Parking, Lift","Air-Cond, Cooking Allowed"
104832499,Kingfisher @ Putatan,2020,"RM 1,800 per month",Sabah - Putatan,Condominium,3,1,2,1009 sq.ft.,Fully Furnished,"Multipurpose hall, Swimming Pool, Gymnasium, Security, Playground, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine"
105849977,Kingfisher @ Inanam,2020,"RM 1,799 per month",Sabah - Inanam,Condominium,3,1,2,865 sq.ft.,Fully Furnished,"Swimming Pool, Barbeque area, Parking, Playground, Security, Jogging Track, Lift, Gymnasium, Multipurpose hall, Minimart, Sauna",
105820967,Kristal,,"RM 2,800 per month",Sabah - Kota Kinabalu,Condominium,3,,2,1540 sq.ft.,Partially Furnished,,
105848146,Kingfisher @ Inanam,2020,"RM 2,000 per month",Sabah - Inanam,Condominium,3,2,2,905 sq.ft.,Fully Furnished,"Barbeque area, Gymnasium, Jogging Track, Parking, Security, Lift, Swimming Pool, Playground","Air-Cond, Cooking Allowed, Washing Machine"
105843975,Beverly Hills 1,,"RM 1,500 per month",Sabah - Kota Kinabalu,Apartment,3,,2,960 sq.ft.,Fully Furnished,"Swimming Pool, Security, Club house",
104699217,Country Heights,2007,RM 800 per month,Sabah - Kota Kinabalu,Apartment,2,1,1,650 sq.ft.,Not Furnished,"Parking, Security, Swimming Pool, Playground, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed"
105841748,Beverly Hills 2,,"RM 1,300 per month",Sabah - Kota Kinabalu,Apartment,3,1,2,965 sq.ft.,Partially Furnished,"Gymnasium, Playground, Jogging Track, Multipurpose hall, Parking, Security, Swimming Pool, Tennis Court, Club house","Air-Cond, Cooking Allowed, Washing Machine"
105841153,University Condo Apartments 2,,"RM 1,200 per month",Sabah - Kota Kinabalu,Apartment,3,,2,750 sq.ft.,Fully Furnished,"Swimming Pool, Sauna, Security, Parking, Playground, Barbeque area, Gymnasium",Air-Cond
105838367,Taman Suria Shop Apartment,,"RM 1,050 per month",Sabah - Kota Kinabalu,Apartment,2,,2,750 sq.ft.,Partially Furnished,"Minimart, Parking","Air-Cond, Cooking Allowed"
105837623,Cyber City Apartments 1,2009,"RM 1,050 per month",Sabah - Kota Kinabalu,Apartment,1,1,1,380 sq.ft.,Fully Furnished,"Playground, Gymnasium, Swimming Pool, Parking, Security","Air-Cond, Cooking Allowed, Washing Machine"
