ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
105503447,Adelia 2 Bangi,,RM 900 per month,Putrajaya - Putrajaya,Condominium,3,2,3,1045 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Jogging Track, Club house","Near KTM/LRT, Internet, Cooking Allowed, Air-Cond"
105500722,Presint 11 Apartment,,"RM 1,300 per month",Putrajaya - Putrajaya,Condominium,2,1,2,700 sq.ft.,Fully Furnished,"Security, Parking, Playground, Lift, Swimming Pool, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Near KTM/LRT, Washing Machine"
105472412,PPAM Pudina,,"RM 1,500 per month",Putrajaya - Putrajaya,,3,1,2,1200 sq.ft.,Partially Furnished,"Parking, Security, Playground, Barbeque area, Minimart, Multipurpose hall, Tennis Court, Jogging Track","Air-Cond, Cooking Allowed"
105462568,Tamara Residence,2016,"RM 2,600 per month",Putrajaya - Putrajaya,Condominium,3,,2,1205 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Gymnasium, Security, Playground, Multipurpose hall","Air-Cond, Washing Machine"
105444485,PPAM KETUMBAR PRESINT 17,2020,"RM 1,300 per month",Putrajaya - Putrajaya,Apartment,3,1,2,1000 sq.ft.,Partially Furnished,"Security, Playground",
105442389,Larai Apartment Presint 6 @ Putrajaya,2004,"RM 1,500 per month",Putrajaya - Putrajaya,Apartment,4,,3,1500 sq.ft.,Partially Furnished,"Playground, Parking, Lift","Air-Cond, Cooking Allowed"
105438121,Pangsapuri Putra Damai,,"RM 1,100 per month",Putrajaya - Putrajaya,Apartment,3,,2,750 sq.ft.,Partially Furnished,"Playground, Lift, Minimart, Parking",
105429662,The Clio 2 Residences,2021,"RM 2,300 per month",Putrajaya - Putrajaya,Service Residence,3,2,2,829 sq.ft.,Fully Furnished,"Sauna, Security, Barbeque area, Multipurpose hall, Lift, Swimming Pool, Parking, Playground, Gymnasium","Air-Cond, Washing Machine"
105424204,Larai Apartment Presint 6 @ Putrajaya,2004,"RM 1,500 per month",Putrajaya - Putrajaya,Apartment,4,2,3,1500 sq.ft.,Partially Furnished,"Parking, Lift, Playground, Minimart, Multipurpose hall, Jogging Track",Cooking Allowed
105415408,The Clio 2 Residences,2021,"RM 3,500 per month",Putrajaya - Putrajaya,Service Residence,3,2,2,829 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Barbeque area, Sauna, Lift, Multipurpose hall, Security, Playground, Gymnasium","Air-Cond, Cooking Allowed"
