ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
105994041,Tangerine Suites,2023,"RM 1,400 per month",Selangor - Sepang,Service Residence,2,2,1,650 sq.ft.,Fully Furnished,"Playground, Minimart, Swimming Pool, Barbeque area, Parking, Security, Gymnasium",
106015277,Puncak 7 Residence,2018,"RM 2,100 per month",Selangor - Shah Alam,Condominium,3,2,3,1260 sq.ft.,Partially Furnished,"Minimart, Gymnasium, Lift, Playground, Swimming Pool, Security, Parking, Jogging Track, Barbeque area","Cooking Allowed, Washing Machine"
105588527,i-Soho @ i-City,,"RM 2,000 per month",Selangor - Shah Alam,Studio,2,,2,804 sq.ft.,Fully Furnished,"Parking, Security, Gymnasium, Minimart","Cooking Allowed, Air-Cond, Washing Machine"
106090887,The Domain @ NeoCyber,2009,RM 999 per month,Selangor - Cyberjaya,Service Residence,3,1,1,570 sq.ft.,Fully Furnished,"Multipurpose hall, Security, Gymnasium, Barbeque area, Parking, Swimming Pool, Lift","Air-Cond, Washing Machine"
106057130,Tangerine Suites,2023,"RM 1,300 per month",Selangor - Sepang,Service Residence,2,2,1,700 sq.ft.,Partially Furnished,"Parking, Security, Gymnasium, Playground, Swimming Pool, Lift","Air-Cond, Cooking Allowed"
105833705,Pangsapuri Resak,,"RM 1,100 per month",Selangor - Shah Alam,Apartment,3,,2,905 sq.ft.,Not Furnished,"Swimming Pool, Playground, Parking, Security",Cooking Allowed
106090819,TRIO by Setia,2022,"RM 2,500 per month",Selangor - Bandar Bukit Tinggi,Service Residence,3,2,2,915 sq.ft.,Fully Furnished,"Security, Lift, Playground, Jogging Track, Gymnasium, Multipurpose hall, Parking, Swimming Pool, Barbeque area, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
106090737,Simfoni 1,2016,"RM 1,370 per month",Selangor - Semenyih,Condominium,3,2,2,1052 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Tennis Court, Squash Court, Security, Playground, Gymnasium, Barbeque area, Sauna, Minimart, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT"
106090422,Hillpark Residence,2020,"RM 1,000 per month",Selangor - Semenyih,Service Residence,2,2,1,823 sq.ft.,Partially Furnished,"Lift, Playground, Swimming Pool, Parking, Security, Gymnasium, Multipurpose hall",Cooking Allowed
98301159,Liberty Arc @ Ampang Ukay,2019,"RM 1,150 per month",Selangor - Ampang,Condominium,1,1,1,450 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Washing Machine, Internet, Cooking Allowed"
104006309,Residensi Adelia,2022,"RM 1,100 per month",Selangor - Kajang,Condominium,3,2,3,1082 sq.ft.,Partially Furnished,"Parking, Swimming Pool, Lift, Minimart, Playground, Squash Court, Barbeque area, Security, Club house, Multipurpose hall, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT"
106090255,Verdi Eco-dominiums @ Symphony Hills,2016,"RM 4,000 per month",Selangor - Cyberjaya,Apartment,3,2,3,1500 sq.ft.,Fully Furnished,"Swimming Pool, Parking, Playground, Lift, Security, Gymnasium, Barbeque area",
105850861,Vega Residensi,2009,"RM 1,200 per month",Selangor - Cyberjaya,Service Residence,1,1,1,550 sq.ft.,Fully Furnished,"Swimming Pool, Security, Barbeque area, Parking, Playground, Gymnasium, Multipurpose hall, Lift, Minimart, Jogging Track, Club house","Air-Cond, Cooking Allowed, Washing Machine"
95320672,E Park Residence,2021,"RM 1,550 per month",Selangor - Sungai Buloh,Condominium,3,2,2,1450 sq.ft.,Partially Furnished,"Parking, Gymnasium, Swimming Pool, Lift, Security, Playground, Multipurpose hall, Barbeque area, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
98374910,Vista Alam Serviced Apartment,2014,"RM 1,050 per month",Selangor - Shah Alam,Service Residence,1,1,1,500 sq.ft.,Partially Furnished,"Jogging Track, Playground, Parking, Gymnasium, Security, Minimart, Lift, Swimming Pool, Barbeque area, Sauna, Squash Court, Multipurpose hall","Air-Cond, Cooking Allowed"
104722074,Maple Residences,2018,"RM 1,700 per month",Selangor - Klang,Condominium,3,2,2,880 sq.ft.,Fully Furnished,"Parking, Multipurpose hall, Swimming Pool, Playground, Gymnasium, Barbeque area, Sauna, Security, Minimart, Jogging Track, Club house, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
105418423,Bandar Teknologi Kajang Flat,,RM 550 per month,Selangor - Semenyih,Flat,1,,1,400 sq.ft.,Partially Furnished,Parking,"Cooking Allowed, Washing Machine"
105985650,De Cendana,2021,"RM 1,000 per month",Selangor - Setia Alam,Apartment,3,1,2,750 sq.ft.,Partially Furnished,"Security, Parking, Playground, Multipurpose hall, Lift",Air-Cond
69033307,Vista Alam Serviced Apartment,2014,"RM 1,200 per month",Selangor - Shah Alam,Service Residence,1,1,1,750 sq.ft.,Partially Furnished,"Jogging Track, Security, Playground, Parking, Minimart, Gymnasium",Air-Cond
106089752,Megah Rise,,"RM 4,100 per month",Selangor - Petaling Jaya,Service Residence,2,2,2,1145 sq.ft.,Fully Furnished,,"Air-Cond, Cooking Allowed, Washing Machine"
99713219,Residensi Armani @ Bukit Lanjan,2024,"RM 1,900 per month",Selangor - Damansara Perdana,Condominium,3,2,2,850 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
104083585,Liberty Tower @ i-City,2018,"RM 1,400 per month",Selangor - I-City,Apartment,2,1,1,626 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
106089255,Aspire Residence,2023,"RM 1,400 per month",Selangor - Cyberjaya,Apartment,3,2,2,900 sq.ft.,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Cooking Allowed, Near KTM/LRT"
105703058,Sri Camellia,2006,"RM 1,100 per month",Selangor - Kajang,Apartment,3,1,2,1206 sq.ft.,Fully Furnished,"Playground, Minimart, Lift, Parking, Security",
100354573,Trefoil,2015,"RM 1,350 per month",Selangor - Setia Alam,Studio,1,1,1,486 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track","Cooking Allowed, Internet, Air-Cond, Washing Machine"
106088948,The Parque Residences @ Eco Sanctuary,2018,"RM 2,150 per month",Selangor - Kota Kemuning,Condominium,2,2,2,925 sq.ft.,Fully Furnished,"Barbeque area, Club house, Security, Parking, Gymnasium, Jogging Track, Sauna, Playground, Swimming Pool, Lift, Multipurpose hall",
105766796,Huni @ Eco Ardence,2023,"RM 1,500 per month",Selangor - Setia Alam,Service Residence,3,2,2,1000 sq.ft.,Partially Furnished,"Parking, Security, Lift, Playground, Swimming Pool, Barbeque area, Sauna, Gymnasium, Jogging Track, Club house","Air-Cond, Cooking Allowed"
106088902,Sri Cassia,,"RM 1,100 per month",Selangor - Puchong,Apartment,3,,2,800 sq.ft.,Fully Furnished,,"Air-Cond, Cooking Allowed, Washing Machine"
106009619,Pangsapuri Opal,,RM 850 per month,Selangor - Subang Bestari,Apartment,3,,2,900 sq.ft.,Partially Furnished,"Playground, Parking, Security, Minimart","Cooking Allowed, Near KTM/LRT, Washing Machine"
106088809,Zeva @ Equine South,2015,"RM 1,100 per month",Selangor - Seri Kembangan,Condominium,1,1,2,454 sq.ft.,Fully Furnished,"Security, Club house, Minimart, Barbeque area, Parking, Swimming Pool, Gymnasium, Jogging Track, Sauna",
