ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
105896399,Stutong Heights Apartment 2,2017,"RM 1,500 per month",Sarawak - Kuching,Apartment,3,,2,1045 sq.ft.,Partially Furnished,"Security, Barbeque area, Parking",
106054798,Avona Residence,,"RM 2,350 per month",Sarawak - Kuching,Service Residence,2,1,2,950 sq.ft.,Fully Furnished,"Gymnasium, Barbeque area, Playground, Swimming Pool, Tennis Court",
105909385,Urbaneeze Apartment,2016,"RM 1,600 per month",Sarawak - Kuching,Apartment,3,2,2,1291 sq.ft.,Fully Furnished,"Playground, Parking, Lift, Security","Air-Cond, Cooking Allowed, Washing Machine, Internet"
106052600,Rivervale Condominium,,"RM 2,200 per month",Sarawak - Kuching,Condominium,2,2,2,953 sq.ft.,Fully Furnished,"Security, Barbeque area, Parking, Swimming Pool, Gymnasium, Playground, Lift","Air-Cond, Cooking Allowed, Washing Machine"
105649138,SkyVilla Condominium (MJC),,"RM 1,600 per month",Sarawak - Kuching,Condominium,3,,2,1196 sq.ft.,Fully Furnished,"Security, Parking, Swimming Pool, Lift, Jogging Track, Playground","Air-Cond, Cooking Allowed, Washing Machine"
106051941,Rivervale Condominium,,"RM 3,300 per month",Sarawak - Kuching,Condominium,3,2,2,1411 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Gymnasium, Barbeque area, Security, Playground, Lift","Air-Cond, Cooking Allowed, Washing Machine"
106050280,Riverine Sapphire,2022,"RM 2,500 per month",Sarawak - Kuching,Condominium,3,2,2,1431 sq.ft.,Fully Furnished,"Swimming Pool, Jogging Track, Parking, Security, Gymnasium, Multipurpose hall, Playground, Barbeque area, Sauna, Lift, Club house","Air-Cond, Cooking Allowed, Washing Machine"
106048844,Riverine Emerald,2022,"RM 2,200 per month",Sarawak - Kuching,Condominium,3,1,2,1500 sq.ft.,Fully Furnished,"Swimming Pool, Jogging Track, Barbeque area, Parking, Security, Lift, Playground, Gymnasium, Sauna, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine"
106048862,P' Residence Kuching,2018,"RM 2,200 per month",Sarawak - Kuching,Condominium,3,2,2,1200 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Playground, Parking, Security","Air-Cond, Cooking Allowed, Washing Machine"
105516678,HIVE SOHO Residence,2019,"RM 2,000 per month",Sarawak - Bintulu,Apartment,3,2,2,2000 sq.ft.,Fully Furnished,"Lift, Gymnasium, Parking","Air-Cond, Cooking Allowed, Washing Machine, Internet"
106045937,The Tropics Condominium (Kuching),2013,"RM 2,100 per month",Sarawak - Kuching,Condominium,3,1,4,1 sq.ft.,Fully Furnished,"Security, Multipurpose hall, Club house, Parking, Swimming Pool, Playground, Lift, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine"
105741607,Green Heights Villa,,"RM 1,300 per month",Sarawak - Kuching,Apartment,3,1,2,1399 sq.ft.,Fully Furnished,"Parking, Security","Washing Machine, Cooking Allowed, Air-Cond"
104381181,The Wharf (Miri),2016,"RM 3,200 per month",Sarawak - Miri,Condominium,3,,2,1400 sq.ft.,Fully Furnished,,
106042931,Rivervale Condominium,,"RM 3,300 per month",Sarawak - Kuching,Condominium,3,2,2,1411 sq.ft.,Fully Furnished,"Swimming Pool, Parking, Security, Playground, Gymnasium, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine"
106042119,Ricketts Estate,,"RM 3,300 per month",Sarawak - Kuching,Duplex,3,1,3,1600 sq.ft.,Fully Furnished,,"Cooking Allowed, Washing Machine, Air-Cond, Internet"
103549351,TT3 Soho,2022,"RM 2,500 per month",Sarawak - Kuching,Service Residence,3,,2,1017 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine"
106036064,Residensi Matang,2018,"RM 1,500 per month",Sarawak - Kuching,Apartment,3,,2,1 sq.ft.,Fully Furnished,"Parking, Security, Playground, Multipurpose hall","Air-Cond, Cooking Allowed"
106032032,Avona Residence,,"RM 2,800 per month",Sarawak - Kuching,Service Residence,2,2,2,900 sq.ft.,Fully Furnished,"Playground, Barbeque area, Swimming Pool, Gymnasium, Tennis Court",
105891468,Eden Heights,,"RM 1,200 per month",Sarawak - Kuching,Condominium,3,1,2,1599 sq.ft.,Partially Furnished,"Swimming Pool, Jogging Track, Parking, Playground, Security, Tennis Court","Air-Cond, Cooking Allowed"
98993830,Bay Resort Condominium,,"RM 2,800 per month",Sarawak - Miri,Condominium,3,1,2,1700 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Sauna, Minimart, Jogging Track, Tennis Court, Multipurpose hall, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine, Internet"
106018521,Vantage @ Tamu,2022,"RM 2,800 per month",Sarawak - Kuching,Condominium,2,,3,1 sq.ft.,Fully Furnished,"Gymnasium, Parking, Swimming Pool, Security, Lift, Barbeque area",
106014289,Floridale Condominium,,"RM 1,700 per month",Sarawak - Kuching,Condominium,3,1,2,1500 sq.ft.,Fully Furnished,"Parking, Playground, Security, Minimart, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine"
104004117,Liberty Grove,,"RM 2,000 per month",Sarawak - Kuching,Apartment,3,,2,1307 sq.ft.,Fully Furnished,"Security, Playground, Jogging Track, Swimming Pool, Parking, Gymnasium, Minimart, Barbeque area, Lift, Club house, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT"
106012802,The Ryegates,2011,"RM 1,800 per month",Sarawak - Kuching,Condominium,3,,2,1350 sq.ft.,Fully Furnished,"Lift, Parking, Playground, Security, Swimming Pool, Gymnasium, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Internet"
105902574,SkyVilla Condominium (MJC),,"RM 1,350 per month",Sarawak - Kuching,Condominium,3,2,2,1196 sq.ft.,Partially Furnished,"Jogging Track, Swimming Pool, Security, Playground, Lift, Parking, Gymnasium, Club house","Cooking Allowed, Washing Machine, Internet, Air-Cond"
106009063,Stutong Heights Apartment 2,2017,"RM 1,400 per month",Sarawak - Kuching,Apartment,2,,2,8417 sq.ft.,Partially Furnished,"Security, Barbeque area, Parking",
106007270,Rex Apartment,2018,"RM 2,300 per month",Sarawak - Kuching,Apartment,3,,2,1050 sq.ft.,Fully Furnished,"Gymnasium, Parking, Swimming Pool, Sauna, Playground, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine"
106005233,The Echelon,2019,"RM 2,700 per month",Sarawak - Kuching,Apartment,3,2,2,1485 sq.ft.,Fully Furnished,"Parking, Swimming Pool, Lift, Barbeque area, Multipurpose hall, Playground, Gymnasium, Security, Club house","Air-Cond, Cooking Allowed, Washing Machine"
106002722, Residensi Bintawa Riverfront,2020,"RM 1,400 per month",Sarawak - Kuching,Apartment,3,1,2,948 sq.ft.,Fully Furnished,"Security, Multipurpose hall, Playground, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine"
106000055,Vista Ilmu,2010,RM 950 per month,Sarawak - Kota Samarahan,Apartment,3,,2,750 sq.ft.,Partially Furnished,"Parking, Playground, Jogging Track","Cooking Allowed, Washing Machine"
105997589,Satria Residence,2018,"RM 1,500 per month",Sarawak - Kuching,Service Residence,2,1,2,560 sq.ft.,Partially Furnished,"Sauna, Parking, Gymnasium, Security",
105996353,"Residensi PR1MA Premier Matang, Kuching, Sarawak",,"RM 1,300 per month",Sarawak - Kuching,Apartment,2,,2,800 sq.ft.,Fully Furnished,"Parking, Security, Jogging Track, Minimart, Swimming Pool",
105991371,Merriton Residence,2020,"RM 3,100 per month",Sarawak - Kuching,Apartment,3,,2,1200 sq.ft.,Fully Furnished,"Security, Lift, Swimming Pool, Multipurpose hall, Parking, Gymnasium",
105989587,Rivervale Condominium,,"RM 2,400 per month",Sarawak - Kuching,Condominium,2,,2,1000 sq.ft.,Fully Furnished,"Gymnasium, Security, Playground, Swimming Pool, Barbeque area, Parking",
105986308,Jazz Suites @ Vivacity,,"RM 2,800 per month",Sarawak - Kuching,Condominium,3,1,2,1219 sq.ft.,Fully Furnished,"Swimming Pool, Security, Parking, Lift, Playground, Club house, Jogging Track, Gymnasium","Cooking Allowed, Air-Cond, Washing Machine"
105985612,Stutong Heights Apartment 2,2017,"RM 1,400 per month",Sarawak - Kuching,Apartment,2,1,2,841 sq.ft.,Partially Furnished,"Barbeque area, Parking, Security, Lift, Playground","Air-Cond, Cooking Allowed"
105984445,Riverine Diamond,2022,"RM 2,000 per month",Sarawak - Kuching,Condominium,1,1,1,1 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Sauna, Parking, Security, Gymnasium, Lift, Barbeque area, Multipurpose hall, Jogging Track",
103496343,Pending Heights,,"RM 1,400 per month",Sarawak - Kuching,Flat,3,1,2,1000 sq.ft.,Fully Furnished,"Parking, Playground, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Internet"
104361814,D Jewel,,"RM 3,800 per month",Sarawak - Kuching,Condominium,3,2,3,2056 sq.ft.,Fully Furnished,"Security, Gymnasium, Lift, Barbeque area, Parking, Swimming Pool, Playground, Jogging Track, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Washing Machine, Internet"
105979835,Rivervale Condominium,,"RM 2,200 per month",Sarawak - Kuching,Condominium,2,2,2,1192 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Security, Playground, Barbeque area, Parking, Lift, Minimart, Multipurpose hall","Cooking Allowed, Washing Machine, Air-Cond"
105883440,Toorak Park,2019,"RM 3,700 per month",Sarawak - Kuching,Apartment,3,1,3,1295 sq.ft.,Fully Furnished,"Gymnasium, Parking, Swimming Pool",
100246203,Tribeca,2014,"RM 1,200 per month",Sarawak - Kuching,Condominium,1,1,1,250 sq.ft.,Partially Furnished,,"Air-Cond, Cooking Allowed"
105973803,The Ryegates,2011,"RM 2,500 per month",Sarawak - Kuching,Condominium,3,,2,1000 sq.ft.,Fully Furnished,"Security, Swimming Pool, Lift, Playground, Gymnasium, Parking",
105972190,Floridale Condominium,,"RM 1,700 per month",Sarawak - Kuching,Condominium,3,2,2,1350 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Security, Parking, Minimart",
