ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
105933378,D Ambience,,"RM 1,000 per month",Johor - Johor Bahru,Service Residence,1,1,1,513 sq.ft.,Partially Furnished,"Club house, Sauna, Multipurpose hall, Gymnasium, Playground, Swimming Pool, Security, Parking, Lift, Barbeque area","Cooking Allowed, Near KTM/LRT"
105969831,8scape Residences @ Sutera,2018,"RM 1,700 per month",Johor - Johor Bahru,Apartment,2,,2,800 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
105404560,Duta Impian,2003,"RM 1,600 per month",Johor - Johor Bahru,Service Residence,2,1,2,850 sq.ft.,Partially Furnished,"Club house, Security, Gymnasium, Jogging Track, Parking, Playground, Swimming Pool, Minimart",
105969809,Pangsapuri Pulai Mutiara 1,2021,"RM 1,400 per month",Johor - Johor Bahru,Apartment,3,,2,940 sq.ft.,Fully Furnished,"Playground, Lift, Parking, Security",
105938857,Southkey Mosaic Johor Bahru,2017,"RM 1,600 per month",Johor - Johor Bahru,Service Residence,1,,1,500 sq.ft.,Fully Furnished,"Jogging Track, Multipurpose hall, Playground, Barbeque area, Parking, Security, Swimming Pool, Gymnasium","Air-Cond, Washing Machine, Cooking Allowed"
105966711,D' Ambience,2014,"RM 1,800 per month",Johor - Johor Bahru,Service Residence,3,,2,950 sq.ft.,Fully Furnished,"Multipurpose hall, Club house, Minimart, Swimming Pool, Jogging Track, Sauna, Parking, Security, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine"
105966811,The Astaka @ 1 Bukit Senyum,2018,"RM 6,000 per month",Johor - Johor Bahru,Condominium,4,2,4,2207 sq.ft.,Fully Furnished,"Lift, Sauna, Multipurpose hall, Security, Swimming Pool, Gymnasium, Squash Court, Parking, Playground, Barbeque area",
105966249,Wave Marina Cove (Pangsapuri Tepian Bayu),2019,"RM 2,300 per month",Johor - Plentong,Service Residence,3,1,2,1000 sq.ft.,Fully Furnished,"Gymnasium, Jogging Track, Multipurpose hall, Parking, Security, Swimming Pool, Lift, Barbeque area, Playground, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet"
105966317,Country Garden Central Park (Serviced Apartment),2017,"RM 2,600 per month",Johor - Tampoi,Service Residence,4,,3,1631 sq.ft.,Fully Furnished,"Barbeque area, Security, Minimart, Lift, Gymnasium, Playground, Swimming Pool, Jogging Track, Multipurpose hall, Parking",
105966198,Country Garden Central Park (Serviced Apartment),2017,"RM 1,300 per month",Johor - Tampoi,Service Residence,1,1,1,408 sq.ft.,Fully Furnished,"Playground, Jogging Track, Minimart, Gymnasium, Security, Lift, Barbeque area, Multipurpose hall, Parking, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine"
105966129,Seri Danga Apartment,2020,"RM 1,100 per month",Johor - Johor Bahru,Apartment,3,,2,1000 sq.ft.,Partially Furnished,"Security, Lift, Parking, Playground",
105656569,Bay Point @ Country Garden Danga Bay,2017,"RM 2,500 per month",Johor - Johor Bahru,Condominium,3,1,3,1200 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Gymnasium, Barbeque area, Parking, Security, Lift, Multipurpose hall","Air-Cond, Washing Machine"
105960721,D Pristine @ Medini,2017,"RM 1,699 per month",Johor - Iskandar Puteri,Service Residence,2,,2,850 sq.ft.,Fully Furnished,"Gymnasium, Swimming Pool, Parking","Air-Cond, Cooking Allowed, Washing Machine"
105960300,Paragon Suites @ CIQ,2018,"RM 2,600 per month",Johor - Johor Bahru,Condominium,2,,2,909 sq.ft.,Fully Furnished,"Gymnasium, Swimming Pool, Multipurpose hall, Club house, Playground, Barbeque area, Security","Air-Cond, Cooking Allowed, Washing Machine"
105960223,Meridin Bayvue,2018,"RM 1,800 per month",Johor - Masai,Service Residence,3,,2,1097 sq.ft.,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",
105960203,D'Summit Residences,2018,"RM 2,300 per month",Johor - Johor Bahru,Service Residence,4,,3,1200 sq.ft.,Fully Furnished,"Parking, Gymnasium, Jogging Track, Multipurpose hall, Club house, Security, Playground, Barbeque area, Sauna, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Washing Machine"
105960026,Austin Suites,2014,"RM 1,300 per month",Johor - Johor Bahru,Service Residence,2,1,1,658 sq.ft.,Fully Furnished,"Barbeque area, Playground, Tennis Court, Multipurpose hall, Parking, Swimming Pool, Gymnasium, Security, Minimart, Jogging Track, Club house, Sauna, Lift, Squash Court","Air-Cond, Cooking Allowed, Washing Machine"
105902741,Nusa Perdana Service Apartment,,"RM 1,600 per month",Johor - Gelang Patah,Service Residence,3,,2,904 sq.ft.,Partially Furnished,"Parking, Playground, Security, Swimming Pool",
105955937,Puteri Cove Residences @ Puteri Harbour,2017,"RM 3,000 per month",Johor - Iskandar Puteri,Condominium,2,2,2,882 sq.ft.,Fully Furnished,"Tennis Court, Lift, Barbeque area, Playground, Minimart, Gymnasium, Parking, Security, Swimming Pool",
105955395,Seri Danga Apartment,2020,"RM 1,100 per month",Johor - Johor Bahru,Apartment,3,,2,900 sq.ft.,Partially Furnished,"Parking, Security, Lift, Playground",
105955250,Molek Regency,2018,"RM 1,800 per month",Johor - Johor Bahru,Condominium,1,1,1,480 sq.ft.,Fully Furnished,"Parking, Security, Gymnasium, Squash Court, Sauna, Swimming Pool, Jogging Track, Multipurpose hall, Playground, Tennis Court, Barbeque area",
